NUISANCE_PARAMETERS
gamma_stat_c1lep4jex2bex_bin_0  1.00013 +0.00303218 -0.00303218
gamma_stat_c1lep4jex3bex_bin_0  1.02171 +0.0230958 -0.0230958
gamma_stat_c1lep4jex3bex_bin_1  0.991891 +0.0225795 -0.0225795
gamma_stat_c1lep4jex3bex_bin_2  0.990217 +0.0229298 -0.0229298
gamma_stat_c1lep4jex3bex_bin_3  1.02119 +0.0233369 -0.0233369
gamma_stat_c1lep4jex3bex_bin_4  0.985082 +0.0221193 -0.0221193
gamma_stat_c1lep4jex3bex_bin_5  0.985534 +0.0211199 -0.0211199
gamma_stat_c1lep4jex3bex_bin_6  1.00532 +0.0242379 -0.0242379
gamma_stat_c1lep4jex3bex_bin_7  1.00738 +0.0293874 -0.0293874
gamma_stat_c1lep4jex3bex_bin_8  0.980623 +0.0363527 -0.0363527
gamma_stat_c1lep4jex3bex_bin_9  0.960361 +0.0518862 -0.0518862
gamma_stat_c1lep4jex4bin_bin_0  0.984716 +0.0890775 -0.0890775
gamma_stat_c1lep4jex4bin_bin_1  0.984455 +0.108424 -0.108424
gamma_stat_c1lep5jex2bex_bin_0  0.999887 +0.00416369 -0.00416369
gamma_stat_c1lep5jex3bex_bin_0  0.988039 +0.0205644 -0.0205644
gamma_stat_c1lep5jex3bex_bin_1  1.0079 +0.0207117 -0.0207117
gamma_stat_c1lep5jex3bex_bin_2  1.00072 +0.0208124 -0.0208124
gamma_stat_c1lep5jex3bex_bin_3  1.0073 +0.0213807 -0.0213807
gamma_stat_c1lep5jex3bex_bin_4  0.984402 +0.0205535 -0.0205535
gamma_stat_c1lep5jex3bex_bin_5  0.991541 +0.0195697 -0.0195697
gamma_stat_c1lep5jex3bex_bin_6  1.01951 +0.0216245 -0.0216245
gamma_stat_c1lep5jex3bex_bin_7  0.988795 +0.0271234 -0.0271234
gamma_stat_c1lep5jex3bex_bin_8  1.05441 +0.0358591 -0.0358591
gamma_stat_c1lep5jex3bex_bin_9  0.989357 +0.0682681 -0.0682681
gamma_stat_c1lep5jex4bin_bin_0  1.01546 +0.0384731 -0.0384731
gamma_stat_c1lep5jex4bin_bin_1  0.965738 +0.063966 -0.063966
gamma_stat_c1lep6jin2bex_bin_0  0.999568 +0.0050027 -0.0050027
gamma_stat_c1lep6jin3bex_bin_0  0.989075 +0.0172417 -0.0172417
gamma_stat_c1lep6jin3bex_bin_1  1.00704 +0.0184877 -0.0184877
gamma_stat_c1lep6jin3bex_bin_2  1.0149 +0.019562 -0.019562
gamma_stat_c1lep6jin3bex_bin_3  0.983928 +0.0186265 -0.0186265
gamma_stat_c1lep6jin3bex_bin_4  1.01666 +0.0182146 -0.0182146
gamma_stat_c1lep6jin3bex_bin_5  1.00029 +0.018921 -0.018921
gamma_stat_c1lep6jin3bex_bin_6  1.01283 +0.021017 -0.021017
gamma_stat_c1lep6jin3bex_bin_7  1.00351 +0.026623 -0.026623
gamma_stat_c1lep6jin3bex_bin_8  0.989305 +0.0403937 -0.0403937
gamma_stat_c1lep6jin3bex_bin_9  0.931766 +0.0786663 -0.0786663
gamma_stat_c1lep6jin4bin_bin_0  0.99695 +0.0253006 -0.0253006
gamma_stat_c1lep6jin4bin_bin_1  0.971738 +0.0469951 -0.0469951
ttbbNorm  1.16786 +0.146838 -0.146838


CORRELATION_MATRIX
145   145
-0.00603373   -0.00910694   -0.00706954   -0.00876394   -0.00509548   0.00888858   0.0024404   0.0108854   0.00987152   0.0168487   0.0127454   0.015915   -0.0290338   -0.00250661   -0.0106306   0.00756962   -0.00172909   0.00132697   -0.00564153   -0.000526576   0.00109   -0.00373926   0.00121141   0.00818443   0.016155   -0.0215311   -0.000697773   -0.00845593   0.000161952   -0.000974009   -0.00141199   -0.00343053   -0.00660316   -0.0023373   -0.00248777   -0.00634146   -0.00307937   -9.76712e-05   0.0150094   0.00186703   0.00264729   0.00245083   0.0178213   -0.00304395   -0.00222851   -0.0418389   -0.00486328   -0.0104499   0.00711917   0.00713689   0.0034707   0.00730466   0.000954726   0.00037463   0.000596958   -1.27703e-10   -4.42861e-09   -1.38392e-09   3.27057e-06   -3.07905e-06   -1.58992e-05   1.36649e-06   -0.0059067   0.000211728   0.000170999   0.00767018   -0.00351498   1.52503e-05   -0.0225925   -0.0193481   8.15674e-10   0.00105842   0.0151254   0.00171152   -2.98229e-05   0.00211392   0.00242913   0.00344127   0.00605998   0.00434178   -0.00319032   0.00472671   -0.000607066   -0.00151825   -7.99076e-06   -0.000563094   0.00549814   -0.000414694   -0.00111436   0.00494116   -0.00237927   -5.20079e-08   0.000625878   -0.00076607   -0.00193004   -0.00686272   0.00346432   -0.00616554   0.0115796   -0.0128873   -0.00170778   -0.00288709   -0.00659248   -0.00249532   -0.00313965   0.0175222   0.0044716   5.6559e-07   4.62671e-06   -9.3814e-11   -6.5738e-05   1.14955e-06   2.40149e-06   4.21696e-05   -9.08531e-05   2.01696e-05   0.00267438   0.00332278   0.00059053   3.12096e-07   0.00584156   -0.000266714   0.0056164   0.00228261   -0.0146533   -0.00576846   0.0151911   0.00388036   0.000505084   0.0030686   -8.13614e-06   -7.07702e-06   -4.68321e-06   0.000525149   -0.000516005   -0.00141002   0.000588324   -2.42888e-07   -1.17743e-06   8.96349e-07   -0.00012507   -0.000112415   0.000307443   -0.000364454   1   
-0.0241417   -0.00124617   0.0036486   0.00170504   0.00273551   0.00335902   0.00230673   -0.00238802   -0.00234195   -0.00182787   -0.0024746   -0.00186986   -0.000707124   0.000397194   -0.00407815   0.00285834   0.00212239   0.0044692   0.00643752   0.00500724   0.000259328   -0.00193063   -0.00404403   -0.00420807   -0.00277135   -0.00176415   0.000706711   0.00285772   -0.0151361   -0.0408954   -0.0258101   -0.00109463   -0.0188129   0.0319905   0.0244044   -0.0305847   0.00819087   0.0052644   0.00900115   -0.000106966   0.00595276   -0.00467791   -0.0175222   -0.00437386   -0.00634069   0.00855727   -0.000377006   -0.000206968   0.00426339   0.0186407   -0.0141102   0.00789883   -4.22867e-05   -0.000160686   4.76089e-05   9.62723e-09   -1.25106e-08   -1.71911e-08   3.80067e-06   -2.50824e-06   -1.65486e-05   2.74774e-06   -0.000334939   -9.97964e-05   0.00190441   -0.00143439   0.00259369   2.64835e-05   -0.00325372   0.0111365   5.19313e-09   0.00128826   -0.0050256   -0.00567044   -2.92084e-05   -0.00358646   -0.00358497   -0.000844351   -0.000744025   -0.00101076   0.00098321   -0.000628698   0.00289813   -0.000349678   -6.9036e-05   -0.00024799   -0.00158308   5.09025e-05   0.000574635   -2.31447e-05   0.000347908   -1.53024e-08   -0.00142638   0.00143234   -0.00121036   -0.00742059   -0.000873039   0.000386313   -0.00405639   0.00197912   -0.000654997   -0.000136606   0.0070607   -0.00745048   -0.0107492   -0.00100342   0.00388432   3.11205e-06   7.26917e-06   -6.46757e-08   7.37954e-05   3.72135e-06   3.59831e-06   4.23747e-05   8.93059e-05   -0.000269211   0.000672119   0.00255086   8.10174e-05   8.51956e-07   0.0012559   -0.000767184   -0.00217574   -0.000901794   0.000772891   -0.00095896   0.00995155   -0.00059313   -0.000256379   0.00482026   2.5042e-06   -4.51655e-05   2.42505e-06   0.000533077   -0.000526337   0.000651821   0.00320591   1.12579e-06   5.81459e-07   5.47492e-07   1.06691e-05   0.000195553   -0.000365841   1   -0.000364454   
0.00690646   0.0018809   -0.000612063   0.000562979   0.000589573   0.000577557   -0.00040761   0.000204759   -0.00116225   -0.000948634   -0.000413127   -0.000418502   -7.79023e-05   -0.000310677   0.00144016   0.000375196   -0.000198918   0.000717338   0.000645373   0.000896049   0.000591548   -0.000481235   -5.17547e-05   0.000555281   0.000815024   0.00185776   0.000904138   -0.00204518   -0.00248573   -0.00544654   -0.000649696   -0.0027386   0.00163186   0.00128043   0.000579461   0.000311485   0.00118818   -0.000444031   -0.00265656   -0.000683802   0.00234611   -0.00190494   0.00573963   -0.00154651   -0.00273853   -0.0039604   0.00100494   -0.00246736   -0.000209221   0.00222912   -0.000559829   -0.00148713   9.27615e-05   8.42753e-05   2.24534e-05   -7.80042e-10   -7.76378e-09   -4.84015e-09   5.90507e-07   -6.78169e-07   1.44115e-06   -7.39018e-07   9.8843e-05   0.000222915   -0.000289586   0.000325444   0.000223848   -8.63154e-07   0.000499935   -0.00559679   -8.51172e-09   -0.000375971   0.00107881   0.00951445   -4.58774e-06   -0.00227786   -0.00228479   -7.03237e-05   -3.31239e-05   0.00022015   2.98989e-05   0.000323358   -0.000214032   0.000200763   -1.20942e-05   2.55074e-05   0.000441443   2.45776e-05   -9.62923e-05   -0.000166062   -0.000305224   -1.25882e-08   0.000406089   0.00156124   -0.000778516   -0.00113993   -0.00120793   0.000721144   -0.00154597   -0.00158993   0.000231396   0.00305215   0.00909301   -0.00199179   -0.00567624   -0.00632161   0.00295556   -1.39067e-06   -1.1577e-07   3.23155e-08   9.8552e-05   3.90867e-07   1.55118e-07   1.49828e-05   0.000110657   6.41244e-05   -0.000396822   -0.00155286   -0.000525479   3.07135e-07   0.00259002   -8.10153e-05   4.9085e-05   -0.000157645   0.00128786   0.000517616   0.0022566   -0.000273377   -0.000443895   -0.000444938   -1.14547e-06   0.000188184   -4.22498e-06   -4.88784e-05   4.43976e-05   0.000913518   0.00241812   -1.65854e-07   3.5053e-07   4.91779e-08   -0.000103313   0.000262981   1   -0.000365841   0.000307443   
-0.00194753   0.000513627   0.000508483   -0.00048674   -0.00060309   -0.00037614   0.000449424   0.000434686   0.000356282   0.000246879   0.000505874   -3.94182e-05   -0.000562453   0.00117336   -0.0018986   -0.000757462   -0.00372723   -0.000760353   -0.000654845   0.000172737   5.91831e-06   0.000643631   0.00097308   -0.00075657   -0.00199352   -0.000950372   -0.0020632   0.000665898   0.00202657   0.00199314   0.00152641   0.00116304   -0.000105506   -6.60983e-05   -0.000357631   -0.00114068   -0.000805559   -0.00065361   0.0032321   0.000824804   0.00344526   0.00559708   -0.0118978   0.00352504   0.00290436   -0.00135668   -0.00239752   0.0027802   0.00427422   -0.00341417   -0.000344285   -0.000188015   4.55885e-05   4.3288e-05   5.31081e-05   -4.5012e-10   4.4295e-09   5.54783e-09   7.73641e-08   1.83974e-07   -1.91333e-05   -4.25815e-08   -4.63261e-05   -9.15839e-05   0.000171537   -0.000383448   0.000250974   1.81164e-05   -0.000521272   0.00297213   -3.13547e-08   -0.000282377   -0.000263106   -0.00246609   1.41883e-05   0.00100473   0.00104221   -1.502e-05   0.000130542   -0.000161334   0.000210783   -9.65916e-05   0.000452231   -1.38889e-05   1.02718e-05   0.000137834   0.000481599   2.7159e-05   7.99388e-05   2.68402e-05   0.00114651   -3.29563e-08   -0.000204036   -0.00330681   0.000403787   0.0010115   0.0013605   0.000377154   -2.58804e-05   0.00604038   -0.000304956   -0.00348467   -0.0209103   0.00131798   0.00550442   0.00789533   -0.00182028   1.86438e-07   -1.97955e-06   -2.18477e-08   -0.000224825   -2.07174e-07   -1.22749e-07   -9.08435e-06   -0.000243288   -7.17498e-05   0.000634191   -8.48193e-06   0.00151215   -1.35736e-07   0.000906472   -5.02839e-06   -0.000119017   0.000151035   0.000756119   -0.00132847   0.000101352   0.000124478   0.000136427   0.00166679   -7.90491e-09   8.502e-06   1.45554e-06   3.78801e-05   -3.58536e-05   -0.00172947   0.00042847   1.93975e-07   4.43735e-07   2.63707e-07   0.000294262   1   0.000262981   0.000195553   -0.000112415   
