NUISANCE_PARAMETERS
0.00119547   0.000368364   0.000240777   0.00012426   -0.000216654   -0.000265091   -0.000220818   -0.000179046   -0.000234292   -0.00013819   8.2964e-05   7.81846e-05   -0.000262862   0.000722204   -0.000237329   -0.000131155   0.000119467   0.000605289   0.00057064   0.000400354   0.000251915   0.000336979   0.000516774   0.000396889   -0.000162603   -0.000539364   -0.00135689   -0.000182902   -0.000109665   0.000560932   0.000832266   0.000276092   -0.000463802   -0.000563782   -0.00011361   -0.000185082   -0.000375905   -0.000376403   4.90478e-05   0.000518924   0.00135681   0.00372018   -0.00461218   0.00137439   0.00168194   0.000212927   -0.000634059   0.000591682   0.000107612   -0.000436152   0.000119282   -0.00032791   4.5745e-05   3.36288e-05   -1.35073e-05   -6.69149e-10   -9.02691e-09   -8.32025e-09   -4.51575e-08   6.97694e-08   -4.16705e-06   -7.89568e-08   1.33966e-05   -1.56688e-05   0.000117886   0.000110549   0.000177127   4.68798e-06   0.000138615   -0.000467901   -4.31772e-09   -0.000169951   0.000384552   0.000410255   2.28498e-06   -0.000646202   -0.000626269   -7.82084e-05   -7.54764e-05   -4.72345e-06   0.00011203   3.97449e-05   0.000205151   1.50772e-05   -7.50959e-07   6.40754e-05   0.000444592   2.4099e-05   3.79626e-05   -0.000158655   0.000702263   -1.73516e-08   0.000163654   -0.00214096   -5.57958e-05   -0.000271822   0.00083005   0.000237579   -0.000817958   0.00372301   -3.80756e-05   0.00106961   -0.0134169   -0.000116248   -0.00087086   0.0049499   0.000327743   -3.65529e-09   6.86753e-07   5.58321e-09   -0.000187133   -1.21796e-07   -8.06229e-08   5.84072e-07   1   -3.59838e-05   0.000485225   -0.000168611   0.000808371   -1.0088e-07   -0.000393728   5.29171e-05   -0.000111343   5.39482e-05   -0.000591433   0.000296851   -0.000787767   -7.18924e-05   0.000138345   0.00068719   -1.1963e-07   1.67183e-06   3.64231e-07   -8.25844e-06   8.20057e-06   -0.000911118   -0.000220334   2.84318e-08   4.46443e-07   1.14227e-07   0.000153104   -0.000243288   0.000110657   8.93059e-05   -9.08531e-05   
0.000513938   5.0955e-06   -0.000291042   -0.000223974   -0.000304623   -0.000139816   2.91064e-05   2.71839e-05   0.000201148   0.000248927   9.18686e-05   -0.000120786   0.000272948   6.10947e-06   -0.000354652   -0.000101611   -4.54795e-05   -5.86531e-05   -0.000146066   -9.4701e-05   6.0078e-05   -0.000137592   -0.000149507   -0.000196802   5.0396e-05   9.51252e-05   6.32492e-06   0.00252574   0.00138234   9.15687e-05   0.000152476   3.88897e-05   2.21907e-05   3.57108e-05   5.92281e-05   3.38975e-05   -2.56248e-05   -8.52198e-05   -0.000453482   -1.5059e-05   0.000538931   0.000208859   0.000116447   0.000462769   0.000367182   -0.000456985   0.000141997   8.20724e-05   0.00110244   0.00109221   0.000167922   -0.000255378   5.0127e-06   1.22579e-05   -1.5869e-05   7.41096e-09   -2.73569e-11   1.45927e-10   -4.86342e-07   4.81775e-07   3.70192e-07   -1.46234e-06   -6.15275e-05   -4.04453e-05   -8.81523e-05   -0.000192784   0.000182734   -1.28067e-06   -0.00121601   0.000277687   2.57145e-10   -3.4526e-05   3.63291e-05   -0.000118016   -2.43467e-06   0.000423377   0.000416149   2.66684e-05   -0.000137269   -7.59308e-06   -8.89622e-05   -0.000126719   -7.68701e-05   5.05214e-05   8.56431e-06   4.34481e-05   -1.40376e-05   -2.97995e-06   -4.59181e-05   8.05571e-06   6.14937e-06   -7.28602e-09   -5.3515e-05   1.11021e-05   0.000753196   2.13108e-05   -2.19221e-05   -7.51605e-05   0.000363279   3.12096e-05   -5.69618e-05   -0.000278681   6.30544e-05   0.00153232   -0.000506337   -0.000144365   -0.00148925   -9.914e-07   5.04513e-07   1.86231e-08   4.82909e-07   5.19868e-09   -1.50841e-08   1   5.84072e-07   4.50778e-06   4.53961e-05   -5.25505e-05   3.79421e-05   2.02716e-08   -0.000391262   5.6838e-05   -0.000210489   6.78041e-05   0.00080743   0.000121444   -0.000522463   -1.39321e-05   1.19594e-05   -0.000191109   1.42667e-08   -7.26167e-08   -1.12146e-07   -1.46657e-05   1.41904e-05   -6.41712e-05   -0.000395636   6.47806e-09   8.50028e-10   2.03063e-09   8.96414e-06   -9.08435e-06   1.49828e-05   4.23747e-05   4.21696e-05   
5.90968e-06   -3.18751e-07   -2.14393e-06   -3.90705e-06   -2.49197e-06   -6.95823e-07   -3.81443e-07   -4.22379e-07   9.97732e-07   -5.91285e-07   -2.51901e-06   -4.27765e-07   5.21444e-06   -9.63634e-08   7.28288e-06   -1.17188e-06   -1.67067e-06   -4.36391e-06   -4.68443e-06   -4.1396e-06   -3.59332e-06   -2.05447e-06   9.33359e-07   1.70758e-06   4.76273e-06   4.98758e-06   -4.48039e-07   -2.50287e-07   5.09693e-06   6.70925e-05   8.68087e-06   -3.5983e-06   -3.04002e-06   3.46703e-06   3.9206e-06   1.96755e-06   4.55123e-06   7.47201e-06   -2.58837e-06   6.6739e-07   -5.89352e-06   -1.49839e-06   1.31733e-05   2.65855e-06   -8.77791e-07   -1.3765e-05   -1.60962e-06   -4.71263e-06   -1.06285e-05   -1.48022e-05   7.30375e-06   -1.2099e-05   -3.11453e-07   -3.01601e-07   5.13496e-08   -4.66792e-12   -7.6088e-09   -7.59834e-09   4.96408e-07   4.84716e-07   6.79517e-08   -4.84726e-07   1.35005e-06   -4.65674e-07   -4.5898e-06   3.61005e-06   -7.64686e-06   -3.87579e-08   -1.08405e-05   -1.47234e-05   -7.64517e-09   7.25219e-07   8.65032e-08   3.39168e-06   2.16421e-05   1.42625e-07   2.61946e-05   1.67842e-07   -5.41087e-07   2.44558e-08   -6.43786e-07   -4.86814e-07   -2.08255e-06   -3.26134e-07   1.57697e-08   5.38468e-07   -1.35639e-06   4.9439e-07   -3.37992e-07   -3.93959e-07   -1.25589e-07   -3.14632e-12   4.4237e-07   -7.51506e-07   5.71392e-07   -2.31677e-06   1.32251e-06   -7.21457e-07   2.04957e-06   -3.8765e-07   1.20829e-06   -1.35675e-06   -4.52009e-06   2.67034e-06   -5.19305e-06   6.3308e-06   1.29704e-06   9.11715e-09   9.82458e-07   -4.93627e-07   -6.47162e-08   4.87795e-07   1   -1.50841e-08   -8.06229e-08   6.39778e-07   -5.30207e-07   -6.79197e-07   1.12315e-06   6.92393e-10   3.75e-06   9.08489e-07   2.25262e-06   -3.95426e-07   2.24793e-06   3.72309e-07   3.67469e-06   3.9831e-07   5.87821e-07   -4.08594e-06   7.32126e-10   6.42047e-09   -5.06131e-07   -4.26358e-07   4.55094e-07   -1.19214e-06   -8.70966e-07   7.83163e-09   7.55639e-09   7.74196e-09   -5.43984e-08   -1.22749e-07   1.55118e-07   3.59831e-06   2.40149e-06   
-3.44756e-06   -3.36134e-06   2.25639e-07   -2.30411e-06   -1.10187e-06   7.54597e-07   6.47957e-07   -3.55687e-06   1.04009e-06   -1.53641e-07   -4.3596e-06   -1.56449e-06   6.24025e-06   6.66281e-07   2.73567e-06   -1.38927e-06   -1.64774e-06   -5.29288e-06   -4.41485e-06   -2.40269e-06   -8.47418e-07   1.53134e-06   1.44717e-06   2.43986e-07   2.71662e-06   1.94315e-06   -6.92568e-07   -2.61577e-06   4.85626e-06   5.78217e-05   7.72726e-06   -3.68364e-06   -2.50958e-06   -1.82003e-07   2.86457e-06   -1.21258e-06   -1.91532e-06   -7.66742e-06   -2.19145e-06   -5.30217e-07   -2.19599e-06   -1.33268e-05   1.23763e-05   2.76892e-06   6.37121e-06   2.12791e-06   -3.13342e-06   -2.25907e-06   -1.02533e-05   -1.78358e-05   8.94056e-06   -2.74917e-05   -5.56009e-07   -4.60824e-07   -8.91779e-07   -7.59837e-09   7.92554e-12   -5.97375e-13   9.74098e-07   4.63221e-07   1.18221e-08   -9.63089e-07   1.29893e-06   -8.75806e-07   -2.16838e-06   3.16429e-06   -7.30881e-06   -1.73643e-08   -1.44903e-05   -4.80214e-06   -4.91627e-11   -2.61034e-06   2.32082e-06   -1.89803e-05   2.05255e-05   -3.27737e-06   1.85954e-05   8.67853e-08   -1.28064e-07   3.25241e-08   -2.44407e-07   -1.55729e-07   -2.86766e-06   9.28287e-07   1.89428e-08   1.2146e-07   -4.18143e-06   -4.74429e-07   5.69801e-09   -3.21286e-07   5.59069e-07   -7.59817e-09   6.5764e-07   -1.70667e-06   -1.83818e-08   2.09287e-06   -6.60949e-07   -1.45245e-06   1.65299e-06   3.36093e-06   4.2937e-07   -1.76273e-06   -7.7266e-06   1.93539e-06   -1.05428e-05   -5.384e-06   2.34487e-06   -4.84742e-07   4.85004e-07   -4.85918e-07   -9.95707e-08   1   4.87795e-07   5.19868e-09   -1.21796e-07   4.57753e-07   1.00479e-07   4.16586e-06   3.46513e-07   -7.31955e-09   3.40798e-06   4.45814e-07   6.85082e-07   -8.1983e-07   4.98016e-06   -1.77742e-06   -9.27098e-06   -2.73868e-07   1.09276e-06   -2.49576e-06   -3.52479e-08   -4.29923e-07   -2.94646e-09   2.33843e-07   2.86995e-07   -1.90725e-06   3.51517e-06   -1.48331e-08   -1.69348e-10   -1.56356e-08   9.93265e-08   -2.07174e-07   3.90867e-07   3.72135e-06   1.14955e-06   
0.00109458   0.000293815   0.000185202   0.000112691   -0.000179715   -0.000224501   -0.000200734   -0.000169275   -0.000224391   -0.000151733   4.59715e-05   6.45204e-05   -0.000212705   0.000664977   -0.000209617   -0.000110113   7.97169e-05   0.000480869   0.000451149   0.000351754   0.000271005   0.000306022   0.000430813   0.000303865   -0.000152797   -0.00040839   -0.00119365   -0.000150895   -9.32161e-05   0.00046522   0.000689516   0.000264589   -0.000340761   -0.000398451   -8.95181e-05   -0.000192846   -0.000344915   -0.000341285   4.88734e-05   0.000459341   0.00101154   0.00288309   -0.00367952   0.00126407   0.00160619   3.71097e-05   -0.000569337   0.0004097   8.05917e-05   -0.000441613   0.000146365   -0.000265637   2.22391e-05   2.09665e-05   -0.000138492   -5.37596e-10   -8.7783e-09   -8.1518e-09   4.49229e-07   5.43637e-07   -4.70263e-06   -1.03952e-06   -7.48149e-06   -6.70603e-06   8.38779e-05   0.000131441   0.000115716   3.30444e-06   0.000140261   -0.0005075   2.5684e-08   -0.000195112   0.000422274   0.000327428   1.69925e-05   -0.000532081   -0.000533223   -5.63386e-05   -4.53153e-05   3.38192e-05   8.71604e-05   7.74513e-05   8.74229e-05   1.71253e-05   -6.31555e-07   5.67049e-05   0.000440958   1.62896e-05   2.92019e-05   -0.000145338   0.000646661   -1.67753e-08   0.000144273   -0.00181606   -4.63869e-05   -0.000200509   0.000737115   0.000187682   -0.000749495   0.0034287   -3.37052e-05   0.00091316   -0.0122266   -9.74296e-05   -0.00068631   0.00437564   0.000221102   -9.82059e-07   1.47673e-07   1.3206e-09   1   -9.95707e-08   -6.47162e-08   4.82909e-07   -0.000187133   -4.49557e-05   0.000451974   -0.000184972   0.000741514   -8.38065e-08   -0.000500392   4.58585e-05   -0.000119913   4.9274e-05   -0.000561173   0.000328557   -0.00053764   -7.90908e-05   0.00012347   0.00064633   -1.26378e-07   -5.1951e-08   2.67788e-07   -8.82345e-06   9.12118e-06   -0.000829084   -2.07355e-05   -4.68293e-07   4.61577e-07   8.84615e-08   0.000139109   -0.000224825   9.8552e-05   7.37954e-05   -6.5738e-05   
-3.9879e-06   -1.73765e-07   1.59537e-06   -1.41513e-06   -7.46446e-07   -7.09602e-07   -2.80206e-07   -4.93e-07   1.14606e-06   1.14835e-06   -4.48228e-07   3.64598e-07   1.32448e-06   5.42186e-08   1.04491e-06   -6.71965e-07   -3.18784e-07   -1.43245e-06   -1.12562e-06   -1.83441e-06   -2.2163e-06   -9.72487e-07   -8.91332e-08   3.98045e-07   1.16904e-06   8.75386e-07   2.48282e-07   -2.68901e-06   -3.50478e-07   2.40594e-06   -2.33929e-07   -2.79729e-09   -8.4247e-07   -7.92677e-07   1.33101e-06   1.55183e-06   2.22414e-06   1.35439e-06   4.62111e-06   5.96026e-08   -2.00812e-06   4.71531e-06   -2.46116e-06   9.27432e-08   4.82965e-07   1.76926e-07   5.67273e-07   3.09945e-07   -2.52851e-07   2.19129e-06   -1.76792e-06   -1.50997e-05   -6.54562e-07   2.471e-07   1.31986e-06   -7.60346e-09   1.26654e-12   5.73826e-13   4.79418e-07   4.71041e-07   -4.82404e-07   -9.72252e-07   1.01586e-06   2.71091e-07   -1.01893e-06   -1.43344e-06   -1.78076e-06   4.61108e-07   -4.31181e-06   -4.39738e-06   1.34168e-12   -1.41976e-07   -6.48975e-06   -5.22669e-06   8.00251e-07   5.11823e-06   4.87685e-07   3.65095e-07   4.98597e-07   7.88332e-08   3.33041e-07   -2.39986e-07   -4.7256e-07   -2.62409e-07   -3.3278e-09   -8.87818e-07   -9.47704e-07   6.09837e-07   1.35749e-06   6.15876e-08   -2.9615e-08   -7.59664e-09   -1.87516e-07   8.01791e-08   -6.77857e-07   -3.44927e-06   1.68272e-07   1.25515e-06   1.79308e-06   1.87126e-07   1.58085e-07   -1.84825e-06   1.98013e-06   -9.49289e-07   -5.88563e-06   5.15424e-07   -6.54212e-07   -9.79929e-07   -7.10718e-09   1   1.3206e-09   -4.85918e-07   -4.93627e-07   1.86231e-08   5.58321e-09   3.39021e-08   -8.0799e-07   5.76295e-06   1.01857e-06   -7.54731e-09   -1.53442e-06   5.63342e-07   -3.2559e-08   -8.45698e-07   5.03211e-06   -1.67972e-06   5.59243e-07   6.48443e-09   5.57712e-07   -4.02399e-07   -3.64288e-08   2.44244e-07   -4.88984e-07   5.84185e-07   -9.69256e-08   -6.94675e-07   -6.1771e-07   -5.01592e-07   3.03945e-07   2.8901e-07   1.43404e-07   -2.18477e-08   3.23155e-08   -6.46757e-08   -9.3814e-11   
6.56499e-05   5.51633e-05   -1.6889e-05   -7.64105e-06   -5.55567e-06   1.05222e-05   1.50751e-05   1.51572e-05   1.46923e-05   -2.88424e-06   -7.65824e-06   -1.06953e-05   -2.70332e-05   -4.77099e-06   5.22643e-06   -2.86603e-05   -0.000869108   -0.000160136   5.89698e-05   0.000113951   5.89917e-05   2.96873e-05   -3.68732e-05   2.84002e-06   6.49618e-05   0.000116647   2.21589e-06   7.99809e-06   1.33244e-06   7.49211e-05   2.38485e-05   2.47263e-05   2.72945e-06   -1.67912e-05   -1.26678e-05   -8.7729e-06   -1.05537e-05   -1.36165e-05   -4.60353e-05   1.74299e-08   -1.80426e-05   8.73181e-05   -0.000123471   -1.55545e-05   -4.04553e-05   2.46799e-06   -6.07845e-06   -8.65813e-05   -1.03548e-05   -3.05813e-05   0.000106567   2.02911e-05   1.18961e-06   1.26653e-06   9.18027e-07   -4.95536e-12   -7.61226e-09   7.62012e-09   9.83474e-07   4.70626e-07   -2.98204e-06   -4.73073e-07   8.53663e-06   -4.00172e-06   -1.9526e-05   5.0678e-05   -5.10528e-05   3.00083e-06   4.56584e-06   3.86595e-05   -7.59001e-09   7.87608e-06   -3.60394e-06   5.37499e-05   2.23689e-05   5.85094e-05   8.5962e-05   3.43791e-06   1.14069e-05   1.02814e-05   1.4227e-06   1.47762e-05   -1.3844e-05   -5.54584e-06   3.58245e-08   5.01061e-07   8.30039e-07   -1.52172e-07   -2.74041e-06   1.66751e-06   -4.69516e-06   -1.38786e-10   3.05329e-05   5.36763e-06   2.04513e-06   -7.98891e-06   -1.28107e-06   2.14287e-05   -2.52278e-05   -2.48044e-05   8.0107e-07   -0.000202649   2.38447e-05   3.28129e-06   -0.000100069   1.63378e-06   1.224e-05   -4.78147e-07   1   -7.10718e-09   1.47673e-07   4.85004e-07   9.82458e-07   5.04513e-07   6.86753e-07   3.33587e-06   -3.90123e-06   -5.2075e-06   -5.59709e-06   -1.62655e-09   5.71225e-05   -7.62671e-06   5.99266e-06   2.90985e-07   4.8876e-05   -3.59999e-06   3.17119e-05   8.11776e-06   -3.57045e-06   -1.41749e-05   -1.31034e-08   3.93548e-07   -5.12336e-07   -1.81837e-06   2.74215e-06   -4.39338e-06   1.85058e-05   4.79352e-07   4.63428e-07   -3.27323e-09   -8.0807e-07   -1.97955e-06   -1.1577e-07   7.26917e-06   4.62671e-06   
-2.7061e-05   -8.40012e-06   -1.38133e-06   -3.82014e-06   -5.50603e-07   8.42374e-07   1.17005e-06   -3.81546e-06   1.46339e-06   -1.69123e-06   -6.63476e-06   -5.0666e-07   9.95954e-06   5.17313e-07   7.70996e-06   -3.2662e-06   -5.19612e-07   -2.37769e-06   -3.1593e-08   -9.4986e-07   -2.82069e-06   1.34155e-08   1.80614e-06   9.10813e-07   3.47033e-06   3.09518e-06   5.47825e-07   -2.55155e-06   1.03949e-05   6.52475e-05   1.04912e-05   -4.76496e-06   -1.06744e-05   -1.91825e-05   -7.96277e-06   -1.04936e-05   -9.08693e-06   -1.39168e-05   5.11882e-06   -1.01459e-06   1.78468e-06   4.40087e-06   -1.62385e-05   2.69625e-06   7.13254e-06   -7.35919e-06   -1.21227e-06   -4.16167e-06   -2.26743e-05   -2.29093e-05   2.54923e-06   -2.73289e-05   -1.52053e-06   -1.07157e-06   -4.32107e-06   -1.45071e-12   -7.59116e-09   -7.60822e-09   -6.69017e-09   -5.02453e-07   -9.44027e-07   -1.45507e-06   7.98491e-07   -1.49026e-06   -4.00991e-06   3.03823e-06   -8.54271e-06   -5.20038e-07   -1.66958e-05   -7.55213e-06   -7.67056e-09   -8.39273e-06   -8.09113e-06   -4.41951e-05   2.05207e-05   -5.65102e-06   1.67226e-05   1.01108e-06   9.51351e-07   1.70711e-06   -1.31625e-06   1.37053e-06   -8.69445e-06   3.91487e-07   3.53611e-08   -6.20991e-07   -6.54482e-06   -1.0707e-07   -2.02143e-07   -1.41895e-07   4.79814e-07   -1.51961e-08   8.25814e-07   2.31587e-07   6.11197e-07   -6.03877e-06   -9.85146e-07   -4.27738e-06   5.151e-06   2.64842e-06   1.27657e-06   2.97242e-06   4.61204e-06   4.87906e-06   -1.94071e-05   -9.58501e-06   2.49461e-07   1   -4.78147e-07   -9.79929e-07   -9.82059e-07   -4.84742e-07   9.11715e-09   -9.914e-07   -3.65529e-09   -5.67095e-07   -1.7439e-06   -9.69623e-06   -6.09076e-07   -1.55537e-08   1.37092e-06   -1.08569e-06   9.68063e-07   -1.61435e-06   6.89583e-06   -8.76256e-06   3.32865e-06   -5.39314e-07   7.67792e-08   -4.21782e-06   -6.98015e-08   9.39886e-08   -1.46478e-06   3.26752e-07   -7.60893e-07   -3.54524e-06   2.82676e-06   -4.93173e-07   5.52534e-09   -7.66804e-09   -3.0414e-08   1.86438e-07   -1.39067e-06   3.11205e-06   5.6559e-07   
0.0368246   0.00198132   0.0083843   -0.0212868   -0.0247195   -0.0105329   0.0114438   0.0110829   0.0238855   0.0247315   0.010418   -0.0217752   -0.006639   0.00272466   -0.0992866   -0.0473751   0.00134446   -0.00652552   -0.0212648   -0.0321494   -0.0333709   -0.0368564   -0.0134459   -0.0038215   0.0196256   0.0222058   0.00246103   0.14498   0.160419   0.0127785   0.0175419   0.00523902   0.00815965   0.0179881   0.015441   0.0105677   0.00619377   0.00662968   -0.00305273   -0.00137987   0.0626431   0.00359575   -0.0426836   0.0326154   0.0130935   -0.0267691   -0.00283377   -0.00766733   0.139461   -0.0132557   -0.0225624   0.0310045   -0.00124499   0.000229749   0.0039748   -1.31604e-08   -4.39267e-08   6.40042e-09   5.60836e-06   -2.44521e-06   0.000388359   3.14906e-07   -0.00259657   -0.00134187   -0.00495486   -0.0263319   0.0165184   -0.000359159   -0.0972312   0.0866492   -1.89145e-07   0.00267982   -0.0147707   -0.00906013   0.000281453   0.0110903   0.0121498   0.00275842   0.00210081   0.00249906   0.00281213   0.000528431   -0.00522629   0.00218792   0.000838856   0.00505658   -0.0155286   0.000760267   0.00132198   0.00115244   0.00285249   -6.87993e-08   -0.00850004   0.00452929   0.0532673   0.0330293   -0.00238466   0.00316775   -0.00026623   0.0140353   -0.0159449   -0.0397623   0.0255711   0.132596   0.0886337   -0.0122516   1   2.49461e-07   1.224e-05   -6.54212e-07   0.000221102   2.34487e-06   1.29704e-06   -0.00148925   0.000327743   0.00164969   0.00640102   0.0134017   0.00727258   1.11721e-06   -0.0479744   0.00123153   -0.0162888   0.00894268   0.0931502   0.00822892   -0.0227908   -0.000190688   -0.000635817   -0.0116074   -7.82128e-06   1.37374e-06   1.95026e-05   -0.000548981   0.000546461   -0.00963808   -0.0370511   1.50971e-06   -2.70276e-06   3.27546e-06   0.00185241   -0.00182028   0.00295556   0.00388432   0.0044716   
0.191835   0.0491182   -0.007506   0.0110464   0.0224034   0.0203525   -0.0207173   -0.0195379   -0.0546491   -0.0428563   -0.0357908   -0.00895495   0.0439293   -0.00190084   0.0395428   -0.023837   0.00714327   0.0165222   0.00878064   0.0010632   -0.0196012   -0.0488407   -0.0314085   -0.00773425   0.0153857   0.0451452   0.042157   0.010152   0.00131407   0.00572446   0.00716253   -0.00360866   0.0166333   0.0355569   0.0279118   0.0349861   0.0354157   0.0388839   -0.0329099   -0.0393994   0.206144   -0.0784531   0.155649   -0.0132492   -0.0912173   -0.13329   -0.0203659   -0.108372   -0.0409217   0.072044   -0.0152469   -0.126884   -0.00210445   -0.00113524   -0.00878837   -1.24119e-07   -1.44065e-07   1.33156e-07   9.03389e-06   -6.67777e-06   0.000282447   -4.66662e-06   0.00465677   0.00137721   -0.0166365   -0.000175115   0.00139265   -0.000246245   -0.0388822   -0.26667   -3.27881e-07   -0.0300024   0.00851681   0.243402   -0.00156308   -0.0556155   -0.0576035   -0.00334523   -0.00528201   0.00535757   0.00360498   0.00691151   -0.0231939   0.0178928   3.54293e-05   0.00444082   -0.0217833   -8.16795e-05   -0.00117793   -0.0097088   -0.00196216   3.49848e-08   -0.00746766   0.0700847   0.00250455   0.0574935   -0.0660152   0.0210908   -0.038302   -0.00927094   0.00635126   0.00340798   0.420317   0.00383204   0.149717   1   -0.0122516   -9.58501e-06   1.63378e-06   5.15424e-07   0.00437564   -5.384e-06   6.3308e-06   -0.000144365   0.0049499   0.00109316   -0.019686   -0.0604233   -0.0103026   1.16011e-05   0.0526671   8.75434e-05   0.00167215   -0.00665992   0.0375066   -0.00126992   0.06521   -0.00427443   -0.00213241   -0.0156899   -1.32017e-05   -0.000502383   -0.000113731   -0.000743842   0.000650967   0.0147817   0.0508728   -3.09694e-06   8.49506e-06   2.00481e-06   -0.00192137   0.00789533   -0.00632161   -0.00100342   0.0175222   
0.0707478   0.00962191   -0.0394799   0.0149797   -0.0154022   -0.00373998   0.00597461   0.0189512   0.0156392   0.0232977   0.0320591   -0.00941466   -0.0259441   -0.0183949   -0.00677179   0.0661759   -0.0347996   0.00917123   0.0232092   0.0729895   0.10352   0.06686   0.0472954   0.0419512   0.0465505   0.0917009   -0.0101212   0.0540192   0.0241781   -0.0323352   -0.148614   -0.191889   -0.0657793   0.084592   0.0403685   0.00965685   -0.0837585   -0.143125   -0.250956   0.0159726   -0.178043   -0.0252921   0.178212   -0.0378647   0.00490984   -0.000360357   0.11909   0.0845376   0.0490605   0.0866022   0.0380198   -0.024655   0.00969943   0.00386045   -0.00980594   2.66984e-08   1.96084e-07   1.40583e-07   5.12646e-06   4.52027e-06   -0.000447701   -1.67346e-05   -0.00572205   -0.00136309   -0.00825623   0.00653073   0.0111656   0.000413428   0.00334169   0.146826   5.79114e-07   -0.00283888   0.0690611   0.0791073   -0.000345909   -0.125157   -0.126805   -0.00192547   -0.0217297   -0.00622714   -0.0113261   -0.0181312   0.0335042   -0.00900189   0.0001726   0.00133646   0.0561461   -0.00103652   -0.00622294   0.00426262   -0.0179279   3.06938e-07   0.050654   -0.0153398   0.0154484   -0.191482   0.0243174   -0.006006   0.014031   -0.0950102   -0.00108563   0.250235   -0.0986329   0.0298244   1   0.149717   0.0886337   -1.94071e-05   -0.000100069   -5.88563e-06   -0.00068631   -1.05428e-05   -5.19305e-06   -0.000506337   -0.00087086   0.000532472   0.0117013   -0.0287552   -0.0177431   -1.63441e-07   0.00784646   -0.00212648   -0.013416   0.00886853   -0.0185207   0.046811   0.114016   -0.00759736   0.000701303   -0.0500794   -2.628e-05   -0.000473627   -2.13578e-05   -0.00636069   0.00601603   0.0187923   -0.022385   -5.09412e-06   5.56173e-06   -5.48218e-06   -0.00388938   0.00550442   -0.00567624   -0.0107492   -0.00313965   
-0.0688588   -0.00510326   0.0253799   0.0114835   0.0240807   0.016959   0.00502431   -0.00586251   -0.0156806   -0.026021   -0.0204625   -0.00090865   -0.0127058   -0.00079297   0.0492599   0.0153541   -0.000961256   0.00204664   0.0145156   0.0098621   -0.0033954   0.013022   0.0159703   0.0188003   0.00423045   -0.00613295   -0.000386583   -0.0959746   -0.277048   -0.0120743   -0.0187526   -0.0035386   -0.000341984   -0.00645804   -0.00412188   -0.0103871   -0.00212344   -0.00307966   0.0501168   0.000365584   -0.0478543   -0.0141919   -0.0312895   -0.0448229   -0.0338516   0.0265614   -0.00863229   -0.0100433   -0.124037   -0.115114   -0.0177979   0.00224811   -0.000624687   -0.00223173   -0.00236223   6.50011e-08   6.54831e-09   -1.10322e-08   1.47475e-06   -1.42705e-06   -6.58206e-05   4.04709e-06   0.00398335   0.00215804   0.00813059   0.0132645   -0.00746782   6.28083e-05   0.0492763   -0.0205871   -1.10013e-07   0.000846871   -0.00218122   -0.013702   5.21474e-05   -0.00391352   -0.00361775   -0.00174512   0.0154074   0.00252516   0.00731965   0.014717   -0.00239746   -0.0101174   -0.00138271   -0.00694809   0.00914622   0.000123169   0.00400151   -0.00145155   -0.000828604   -1.00587e-07   0.00700633   -0.000857518   -0.0563419   -0.00825479   0.000727185   0.00436925   -0.0374431   -0.00410356   0.00791098   0.032979   -0.0041181   1   0.0298244   0.00383204   0.132596   4.87906e-06   3.28129e-06   -9.49289e-07   -9.74296e-05   1.93539e-06   2.67034e-06   0.00153232   -0.000116248   -0.000302422   -0.00591675   -0.00023587   -0.00415906   -2.14306e-06   0.047357   -0.00699178   0.0228578   -0.0083289   -0.0483434   -0.0161349   0.0489243   0.00219456   -0.000852604   0.0215948   -1.17638e-06   3.26504e-05   6.01349e-06   0.00147547   -0.00143607   0.0065331   0.0481419   3.86402e-07   -1.37064e-06   -8.00202e-07   -0.00101273   0.00131798   -0.00199179   -0.00745048   -0.00249532   
