 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | b-tag extrap. | 0.00302685 / -0.00302685 | 0.0067561 / -0.0067561 | 0.00110705 / -0.00110705 | 0.00338136 / -0.00338136 | 0.00117281 / -0.00117281 | 1.09644e-05 / -1.09644e-05 | 0.021407 / -0.021407 | 0.00382759 / -0.00382759 | 0.000464808 / -0.000464808 | 0.0158988 / -0.0158988 | 0.00174703 / -0.00174703 | 0.00407542 / -0.00407542 | 0.0046018 / -0.0046018 | 0 / 0 | 0 / 0 | 0.00524562 / -0.00524562 | 0.000558451 / -0.000558451 |
 | b-tag extrap. from charm | 0.00529724 / -0.00529724 | 0.00127123 / -0.00127123 | 0.000158272 / -0.000158272 | 0.00277974 / -0.00277974 | 0.000645548 / -0.000645548 | 0.000985754 / -0.000985754 | 7.51717e-05 / -7.51717e-05 | 2.97658e-05 / -2.97658e-05 | 0.0434996 / -0.0434996 | 0.00719728 / -0.00719728 | 0.00153715 / -0.00153715 | 0.00384294 / -0.00384294 | -0.00126854 / 0.00126854 | 0 / 0 | 0 / 0 | 0.000562044 / -0.000562044 | -2.13568e-06 / 2.13568e-06 |
 | JVT uncertainty | 0.00739897 / -0.00739897 | 0.00588093 / -0.00588093 | 0.0052634 / -0.0052634 | 0.00284339 / -0.00284339 | 0.00278168 / -0.00278168 | 0.00881481 / -0.00881481 | 0.00772605 / -0.00772605 | 0.00844811 / -0.00844811 | 0.00894682 / -0.00894682 | 0.0080235 / -0.0080235 | 0.00745822 / -0.00745822 | 0.00615992 / -0.00615992 | 0.00782772 / -0.00782772 | 0 / 0 | 0 / 0 | -0.00691014 / 0.00691014 | 0.00807612 / -0.00807612 |
 | Electron E_{T} res. | -0.000316713 / 0.000316713 | 0.000228369 / -0.000228369 | 0.000191824 / -0.000191824 | -9.73789e-05 / 9.73789e-05 | 0.000435739 / -0.000435665 | 0.000446314 / -0.000446314 | -0.000334767 / 0.000334767 | -9.71391e-05 / 9.72212e-05 | -0.00161511 / 0.00161511 | -0.00266443 / 0.00266434 | 8.64825e-05 / -8.63908e-05 | 0.00053086 / -0.00053086 | 9.32996e-05 / -9.32996e-05 | 0 / 0 | 0 / 0 | 4.93511e-05 / -4.94111e-05 | 0.000440694 / -0.000440688 |
 | Electron E_{T} scale | 0.000600253 / -0.00060033 | 0.000142603 / -0.000142603 | 0.000302761 / -0.000302761 | 0.000218534 / -0.000218534 | 0.00025958 / -0.00025958 | 0.000630773 / -0.000630845 | 0.000275724 / -0.000275787 | 0.000135568 / -0.000135568 | -0.000327727 / 0.000327665 | -0.000877107 / 0.000877107 | 0.000110602 / -0.000110602 | 4.30073e-05 / -4.30947e-05 | 0.000109338 / -0.000109407 | 0 / 0 | 0 / 0 | -5.82367e-06 / 5.76363e-06 | 0.00040859 / -0.000408585 |
 | Muon ID p_{T} res. | -0.00018157 / 0.00018157 | -0.000256464 / 0.000256464 | -0.000330551 / 0.000330438 | 0.000105342 / -0.000105456 | -8.06843e-05 / 8.06843e-05 | -5.45352e-05 / 5.44635e-05 | -9.31865e-05 / 9.31865e-05 | 5.58365e-05 / -5.58365e-05 | 4.33439e-05 / -4.33439e-05 | 0.000115303 / -0.000115303 | -8.2539e-07 / 8.2539e-07 | 0.000387502 / -0.000387502 | 6.86847e-05 / -6.87544e-05 | 0 / 0 | 0 / 0 | 0.0013389 / -0.0013389 | 0.000906165 / -0.00090616 |
 | Muon MS p_{T} res. | -0.000159199 / 0.000159199 | -0.000705438 / 0.000705438 | 5.64852e-06 / -5.64852e-06 | 4.00437e-05 / -4.00437e-05 | 6.87776e-06 / -6.87776e-06 | 0.000184746 / -0.000184818 | 0.000157889 / -0.000157826 | -0.000663387 / 0.000663387 | -0.00044606 / 0.00044606 | -0.00475761 / 0.00475761 | 0.000165445 / -0.000165445 | 0.000252624 / -0.000252711 | -0.000858942 / 0.000858942 | 0 / 0 | 0 / 0 | -0.00133782 / 0.00133782 | -0.000524315 / 0.000524255 |
 | Muon p_{T} scale | -0.000605922 / 0.000605999 | -0.000106929 / 0.000106929 | -0.00015782 / 0.000157707 | 9.60138e-05 / -9.61276e-05 | -5.6797e-05 / 5.6797e-05 | -0.000320618 / 0.000320618 | -0.000180085 / 0.000180085 | -3.40767e-05 / 3.40767e-05 | 0.000555959 / -0.000555959 | 7.54341e-05 / -7.54341e-05 | 1.18306e-05 / -1.18306e-05 | -0.000447468 / 0.00044738 | -1.74327e-06 / 1.67353e-06 | 0 / 0 | 0 / 0 | -1.50094e-06 / 1.50094e-06 | -0.000364777 / 0.000364782 |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 2.11895e-16 / 2.11895e-16 | -2.75502e-16 / -2.75502e-16 | 0 / 0 | 2.34242e-16 / 2.34242e-16 | 0 / 0 | 2.29359e-16 / 2.29359e-16 | 0 / 0 | 0 / 0 | 1.6282e-16 / 1.6282e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 5.59146e-16 / 5.59146e-16 | 2.66211e-09 / 2.66211e-09 |
 | b JES response | 0 / 0 | 0 / 0 | 0 / 0 | 2.11895e-16 / 2.11895e-16 | -2.75502e-16 / -2.75502e-16 | 0 / 0 | 2.34242e-16 / 2.34242e-16 | 0 / 0 | 2.29359e-16 / 2.29359e-16 | 0 / 0 | 0 / 0 | 1.6282e-16 / 1.6282e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 5.59146e-16 / 5.59146e-16 | 2.66211e-09 / 2.66211e-09 |
 | Effective NP 1 | 0.0265822 / -0.0265822 | 0.00743765 / -0.00743765 | 0.0051989 / -0.0051989 | -0.0018618 / 0.0018618 | -0.0110759 / 0.011076 | 0.0666833 / -0.0666833 | 0.0520274 / -0.0520274 | 0.0456801 / -0.0456801 | 0.0566784 / -0.0566784 | 0.0588991 / -0.0588992 | 0.0225859 / -0.0225859 | 0.011047 / -0.0110471 | 0.0406581 / -0.0406581 | 0 / 0 | 0 / 0 | -0.037412 / 0.037412 | 0.0210195 / -0.0210195 |
 | Effective NP 2 | -0.0067007 / 0.0067007 | 0.000274394 / -0.000274394 | -0.0016862 / 0.0016862 | 0.00201106 / -0.00201106 | 0.00416023 / -0.00416016 | -0.0134446 / 0.0134446 | -0.0168134 / 0.0168134 | -0.00780233 / 0.00780233 | -0.0141543 / 0.0141543 | -0.0236134 / 0.0236134 | -0.011802 / 0.011802 | -2.30771e-05 / 2.30771e-05 | -0.00675313 / 0.00675306 | 0 / 0 | 0 / 0 | 0.00210631 / -0.00210631 | -0.00608886 / 0.00608886 |
 | Effective NP 3 | 0.0011026 / -0.0011026 | -0.000230679 / 0.000230679 | 4.34936e-05 / -4.34936e-05 | -0.000373362 / 0.000373362 | -0.000823112 / 0.000823186 | 0.00167475 / -0.00167482 | 0.00208393 / -0.00208399 | 8.49044e-05 / -8.49044e-05 | 0.00178141 / -0.00178141 | 0.000500552 / -0.000500552 | 0.00247406 / -0.00247406 | 0.000616175 / -0.000616263 | 0.00345662 / -0.00345662 | 0 / 0 | 0 / 0 | 0.000120976 / -0.000121036 | 3.18449e-05 / -3.18396e-05 |
 | Effective NP 4 | -0.000883793 / 0.00088387 | 4.32523e-05 / -4.31599e-05 | -0.000133757 / 0.000133757 | 7.54232e-05 / -7.54232e-05 | 0.000461032 / -0.000461032 | -0.000802334 / 0.000802262 | -0.00198106 / 0.00198106 | 0.000258162 / -0.000258162 | -0.000648558 / 0.000648558 | -4.50497e-05 / 4.50497e-05 | -0.00202853 / 0.00202862 | -0.001016 / 0.001016 | -0.00273979 / 0.00273972 | 0 / 0 | 0 / 0 | -2.86981e-05 / 2.8638e-05 | 0.0019937 / -0.0019937 |
 | Effective NP 5 | -0.000629825 / 0.000629825 | -0.000109887 / 0.000109887 | -0.000238932 / 0.000238932 | -4.23189e-05 / 4.23189e-05 | 0.000108121 / -0.000108121 | 0.000704299 / -0.000704299 | -0.00179161 / 0.00179161 | -0.000848387 / 0.000848387 | 0.000366515 / -0.000366576 | -0.000584504 / 0.000584416 | -0.00181677 / 0.00181677 | -0.000795285 / 0.000795285 | -0.00345187 / 0.00345187 | 0 / 0 | 0 / 0 | 0.000852056 / -0.000852056 | 0.00217887 / -0.00217887 |
 | Effective NP 6 | 0.00128639 / -0.00128639 | -0.000238165 / 0.000238165 | 8.56315e-05 / -8.56315e-05 | -0.000310907 / 0.000310794 | -0.000980635 / 0.000980635 | 0.0023415 / -0.00234157 | 0.00635749 / -0.00635756 | 0.000562964 / -0.000562964 | 0.00268818 / -0.00268825 | 0.00228621 / -0.00228621 | 0.00367775 / -0.00367775 | -0.00105717 / 0.00105709 | 0.0051289 / -0.0051289 | 0 / 0 | 0 / 0 | -0.00214557 / 0.00214551 | 7.38871e-05 / -7.39471e-05 |
 | Effective NP 7 | -0.00152626 / 0.00152634 | 0.000661909 / -0.000661909 | 0.000231024 / -0.000231024 | 0.000462322 / -0.000462436 | 0.00137156 / -0.00137156 | -0.00438338 / 0.00438331 | -0.00702577 / 0.00702577 | 3.27629e-05 / -3.27629e-05 | -0.0049244 / 0.0049244 | -0.00283444 / 0.00283444 | -0.00342335 / 0.00342335 | 0.00089074 / -0.00089074 | -0.0049174 / 0.0049174 | 0 / 0 | 0 / 0 | 0.00125653 / -0.00125653 | -0.00011442 / 0.000114425 |
 | Effective NP 8 | 0.000653498 / -0.000653498 | 5.91485e-05 / -5.91485e-05 | 0.000122799 / -0.000122799 | -4.06125e-05 / 4.06125e-05 | -0.000291528 / 0.000291602 | 0.000250604 / -0.000250604 | 0.00197339 / -0.00197339 | 0.000325494 / -0.000325494 | 0.000484479 / -0.000484479 | 0.000377785 / -0.000377873 | 0.00168077 / -0.00168068 | 0.000775092 / -0.00077518 | 0.00322427 / -0.00322434 | 0 / 0 | 0 / 0 | -0.000255281 / 0.000255221 | -0.00193394 / 0.00193394 |
 | #eta intercalib. (model) | 0.00689238 / -0.00689238 | 0.00258987 / -0.00258987 | 0.00188615 / -0.00188627 | -0.000546619 / 0.000546619 | -0.00387521 / 0.00387528 | 0.0162642 / -0.0162643 | 0.0170126 / -0.0170126 | 0.00676665 / -0.00676665 | 0.0119844 / -0.0119844 | 0.027703 / -0.027703 | 0.0130471 / -0.0130471 | 0.00164756 / -0.00164756 | 0.0148226 / -0.0148226 | 0 / 0 | 0 / 0 | -0.00611191 / 0.00611191 | 0.00386958 / -0.00386958 |
 | #eta intercalib. (stat.) | 0.00494652 / -0.00494652 | 0.000454427 / -0.000454334 | 0.001465 / -0.001465 | -0.00180253 / 0.00180242 | -0.00306652 / 0.00306652 | 0.00981848 / -0.00981848 | 0.0148475 / -0.0148475 | 0.00749794 / -0.00749794 | 0.0108141 / -0.0108141 | 0.0126893 / -0.0126894 | 0.0121022 / -0.0121022 | -6.33745e-05 / 6.32871e-05 | 0.00543766 / -0.00543766 | 0 / 0 | 0 / 0 | -0.00294017 / 0.00294011 | 0.00448688 / -0.00448687 |
 | #eta intercalib. (stat.) | -0.00452032 / 0.00452032 | 0.00176059 / -0.00176059 | -0.00210441 / 0.00210441 | -0.000285311 / 0.000285197 | 0.00174 / -0.00174 | -0.00837606 / 0.00837599 | -0.0122069 / 0.0122069 | -0.00220604 / 0.00220604 | -0.00477331 / 0.00477331 | -0.00631609 / 0.006316 | -0.0100088 / 0.0100088 | 0.000946772 / -0.000946772 | 0.00170568 / -0.00170568 | 0 / 0 | 0 / 0 | 0.00757401 / -0.00757401 | -0.00261178 / 0.00261172 |
 | Flavour composition | 0.052148 / -0.052148 | 0.0156536 / -0.0156536 | 0.010361 / -0.010361 | -0.0105179 / 0.0105179 | -0.0224932 / 0.0224932 | 0.131912 / -0.131912 | 0.12723 / -0.12723 | 0.0975667 / -0.0975667 | 0.125715 / -0.125715 | 0.112794 / -0.112794 | 0.0544249 / -0.0544249 | 0.0477763 / -0.0477764 | 0.0788095 / -0.0788095 | 0 / 0 | 0 / 0 | -0.0807809 / 0.0807809 | 0.0477806 / -0.0477806 |
 | Flavor response | -0.0169325 / 0.0169326 | -0.00339106 / 0.00339106 | -0.00336019 / 0.00336019 | 0.000743652 / -0.000743766 | 0.00762773 / -0.00762766 | -0.0397794 / 0.0397793 | -0.0381316 / 0.0381316 | -0.020694 / 0.020694 | -0.0375879 / 0.0375878 | -0.0462621 / 0.0462621 | -0.0276559 / 0.0276559 | -0.00483858 / 0.00483858 | -0.0310535 / 0.0310535 | 0 / 0 | 0 / 0 | 0.0214485 / -0.0214484 | -0.0128886 / 0.0128886 |
 | Pile-up offset mu term | -0.000913366 / 0.000913366 | 0.000670411 / -0.000670411 | -0.00150059 / 0.00150059 | 0.000601907 / -0.000601907 | 0.000637487 / -0.000637487 | -0.00481823 / 0.00481823 | 0.00195679 / -0.00195679 | -0.00716456 / 0.00716456 | -0.00585057 / 0.00585057 | 0.000695504 / -0.000695504 | -0.00644978 / 0.00644978 | -0.00562442 / 0.00562442 | 0.00256232 / -0.00256232 | 0 / 0 | 0 / 0 | -1.80113e-07 / 1.80113e-07 | -0.00391018 / 0.00391019 |
 | Pile-up offset NPV term | 0.00764624 / -0.00764624 | 0.00321564 / -0.00321564 | 0.00262204 / -0.00262204 | -0.00194621 / 0.0019461 | -0.00144196 / 0.00144196 | 0.015371 / -0.015371 | 0.0231866 / -0.0231866 | 0.0142556 / -0.0142556 | 0.0148423 / -0.0148423 | 0.00120176 / -0.00120176 | -0.00345884 / 0.00345884 | 0.00417415 / -0.00417415 | 0.0125023 / -0.0125023 | 0 / 0 | 0 / 0 | 0.00629899 / -0.00629899 | -0.0003874 / 0.00038734 |
 | Pile-up offset p_{T} term | -9.78332e-05 / 9.78332e-05 | 0.000283173 / -0.000283173 | 7.81755e-05 / -7.81755e-05 | 7.94048e-05 / -7.94048e-05 | 1.945e-05 / -1.93761e-05 | -1.48341e-05 / 1.47625e-05 | 0.00102027 / -0.00102027 | 0.00112084 / -0.00112084 | -0.0003047 / 0.000304639 | 0.000411682 / -0.000411682 | 0.000810074 / -0.000810074 | -0.000132868 / 0.000132868 | 0.000961167 / -0.000961167 | 0 / 0 | 0 / 0 | 0.000119956 / -0.000120016 | 0.000305086 / -0.000305081 |
 | #rho topology | 0.0372813 / -0.0372813 | 0.00733266 / -0.00733266 | 0.00690531 / -0.00690531 | -0.00423121 / 0.00423109 | -0.0156058 / 0.0156058 | 0.0934019 / -0.093402 | 0.0876226 / -0.0876226 | 0.0700071 / -0.0700071 | 0.08606 / -0.08606 | 0.080834 / -0.080834 | 0.0503389 / -0.0503389 | 0.0246312 / -0.0246312 | 0.0490556 / -0.0490556 | 0 / 0 | 0 / 0 | -0.0550766 / 0.0550766 | 0.0325253 / -0.0325253 |
 | Punch-through correction | 1.07256e-06 / -1.07256e-06 | -1.84839e-07 / 1.84839e-07 | -4.51882e-07 / 4.51882e-07 | 9.10084e-07 / -9.10084e-07 | -1.64918e-05 / 1.64918e-05 | 2.2717e-05 / -2.2717e-05 | 9.93486e-06 / -9.93486e-06 | 2.21704e-06 / -2.21704e-06 | 1.27446e-05 / -1.27446e-05 | 8.07908e-06 / -8.07908e-06 | -1.92591e-06 / 2.01762e-06 | 4.37066e-07 / -5.24479e-07 | 2.02219e-06 / -2.09192e-06 | 0 / 0 | 0 / 0 | -5.16325e-06 / 5.16325e-06 | 0 / 0 |
 | High-p_{T} term | 0 / 0 | 0 / 0 | 0 / 0 | 2.11895e-16 / 2.11895e-16 | -2.75502e-16 / -2.75502e-16 | 1.43325e-07 / -2.14988e-07 | 6.28789e-08 / -6.28789e-08 | -1.52947e-16 / 3.05893e-16 | 1.14679e-16 / 1.14679e-16 | 0 / 0 | 0 / 0 | 1.6282e-16 / 1.6282e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 5.59146e-16 / 5.59146e-16 | 2.66211e-09 / 2.66211e-09 |
 | JER | 0.00229835 / -0.00229835 | -0.0210076 / 0.0210076 | -0.0218717 / 0.0218717 | 0.0046263 / -0.0046263 | -0.0147575 / 0.0147575 | 0.0669255 / -0.0669255 | 0.00715593 / -0.00715593 | -0.0148436 / 0.0148436 | 0.0906442 / -0.0906442 | 0.0337069 / -0.0337069 | 0.0458709 / -0.0458709 | 0.0257447 / -0.0257447 | 0.0196297 / -0.0196297 | 0 / 0 | 0 / 0 | -0.0227172 / 0.0227172 | -0.0031017 / 0.0031017 |
 | MET TST reso. para. | -1.42701e-16 / 0 | 1.72145e-16 / -3.4429e-16 | 5.82927e-05 / -5.82927e-05 | 4.23791e-16 / -4.23791e-16 | 1.59002e-05 / -1.59002e-05 | 1.33482e-16 / -1.33482e-16 | -1.25758e-07 / 1.25758e-07 | 3.05893e-16 / 0 | 0.000313443 / -0.000313443 | -0.00189639 / 0.00189639 | -4.82394e-05 / 4.82394e-05 | 1.6282e-16 / -1.6282e-16 | -1.39461e-07 / 1.39461e-07 | 0 / 0 | 0 / 0 | 5.59146e-16 / -3.35487e-16 | 2.66211e-09 / -2.66211e-09 |
 | MET TST reso. perp. | -1.42701e-16 / 0 | 0 / 0 | 5.82927e-05 / -5.82927e-05 | 4.23791e-16 / -2.11895e-16 | 1.59002e-05 / -1.59002e-05 | 0 / -2.66964e-16 | -1.25758e-07 / 1.25758e-07 | 1.52947e-16 / -1.52947e-16 | 0.000313443 / -0.000313443 | -0.00189639 / 0.00189639 | -4.82394e-05 / 4.82394e-05 | 3.25639e-16 / -3.25639e-16 | -1.39461e-07 / 1.39461e-07 | 0 / 0 | 0 / 0 | 5.59146e-16 / -3.35487e-16 | 2.66211e-09 / -2.66211e-09 |
 | MET TST scale | 0 / 0 | 0 / 0 | 2.10424e-16 / 0 | 4.23791e-16 / 4.23791e-16 | -4.13252e-16 / -2.75502e-16 | 0 / 1.33482e-16 | 3.51363e-16 / 2.34242e-16 | 1.52947e-16 / 0 | 2.29359e-16 / 2.29359e-16 | 0 / 0 | 0 / 0 | 1.6282e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 5.59146e-16 / 5.59146e-16 | 2.66211e-09 / 2.66211e-09 |
 | t#bar{t}+#geq 1 c generator | 0 / 0 | 0.00735401 / -0.00735401 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 c PS & Had | 0 / 0 | 0.0197868 / -0.0197868 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 c ISR/FSR | 0 / 0 | -0.0241464 / 0.0241464 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+c#bar{c} norm. | 0 / 0 | 0.5 / -0.5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 b generator | 0 / 0 | 0 / 0 | -0.042646 / 0.042646 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 b PS & Had | 0 / 0 | 0 / 0 | -0.0114868 / 0.0114868 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 b ISR/FSR | 0 / 0 | 0 / 0 | -0.0390697 / 0.0390697 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 b 5F vs 4F | 0 / 0 | 0 / 0 | 0.0979332 / -0.0979332 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} scale | 0 / 0 | 0 / 0 | -0.000999731 / 0.000999731 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} CSS KIN | 0 / 0 | 0 / 0 | 0.00285702 / -0.00285702 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} MSTW | 0 / 0 | 0 / 0 | -0.000479333 / 0.000479333 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} NNPDF | 0 / 0 | 0 / 0 | -0.00160859 / 0.00160859 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} Q CMMPS | 0 / 0 | 0 / 0 | -0.00438269 / 0.00438269 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} glo soft | 0 / 0 | 0 / 0 | -0.00494132 / 0.00494132 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} UE modeling | 0 / 0 | 0 / 0 | -0.00163858 / 0.00163858 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | topEW norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0.15 / -0.15 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttH norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.09 / -0.12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | V+jets norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.3 / -0.3 | 0.3 / -0.3 | 0.3 / -0.3 | 0.3 / -0.3 | 0.3 / -0.3 | 0.3 / -0.3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | V+cjets norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.3 / -0.3 | 0 / 0 | 0 / 0 | 0.3 / -0.3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | V+bjets norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.3 / -0.3 | 0 / 0 | 0 / 0 | 0.3 / -0.3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top tW dia. sub. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.192405 / 0.192405 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top s-chan. rad. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00380824 / -0.00380824 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top t-chan. rad. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0649724 / -0.0649724 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top tW rad. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0405357 / -0.0405357 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single-top norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.05 / -0.04 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Dibosons norm. 5j | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.42 / -0.42 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | QCDE norm. 5j3b | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.5 / -0.5 | 0 / 0 | 0 / 0 | 0 / 0 |
 | QCDMU norm. 5j3b | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.5 / -0.5 | 0 / 0 | 0 / 0 |
 | SM 4tops norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.3 / -0.3 | 0 / 0 |
