 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | Muon Isol. (stat.) | 0.000152036 / -0.000152036 | 0.000145191 / -0.000145191 | 0.000149799 / -0.000149799 | 0.000149652 / -0.000149652 | 0.000146134 / -0.000146134 | 0.000176791 / -0.000176791 | 0.000159649 / -0.000159649 | 0.000164636 / -0.000164636 | 0.000125968 / -0.000125968 | 0.000119606 / -0.000119606 | 0.00011771 / -0.00011771 | 0.000153497 / -0.000153497 | 0.000161636 / -0.000161636 | 0 / 0 | 0 / 0 | 0.000135926 / -0.000135926 | 0.000150389 / -0.000150389 |
 | Muon Isol. (syst.) | 0.000339275 / -0.000339275 | 0.000331601 / -0.000331601 | 0.000351959 / -0.000351959 | 0.00039782 / -0.00039782 | 0.000379904 / -0.000379904 | 0.000427503 / -0.000427503 | 0.000424432 / -0.000424432 | 0.000420293 / -0.000420293 | 0.000305131 / -0.000305131 | 0.000373702 / -0.000373702 | 0.000359595 / -0.000359595 | 0.000432782 / -0.000432782 | 0.000482257 / -0.000482257 | 0 / 0 | 0 / 0 | 0.000561083 / -0.000561083 | 0.000364572 / -0.000364572 |
 | Muon TTVA (stat.) | 0.000374785 / -0.000374785 | 0.000361175 / -0.000361175 | 0.000368961 / -0.000368961 | 0.000368299 / -0.000368299 | 0.000371991 / -0.000371991 | 0.000369313 / -0.000369313 | 0.000356429 / -0.000356429 | 0.000379155 / -0.000379155 | 0.000264312 / -0.000264312 | 0.000280265 / -0.000280265 | 0.000296682 / -0.000296682 | 0.000384793 / -0.000384793 | 0.000410434 / -0.000410434 | 0 / 0 | 0 / 0 | 0.000377097 / -0.000377097 | 0.00038636 / -0.00038636 |
 | Muon TTVA (syst.) | 0.000393593 / -0.000393593 | 0.000359789 / -0.000359789 | 0.000366024 / -0.000366024 | 0.000378879 / -0.000378879 | 0.000397135 / -0.000397135 | 0.000232294 / -0.000232294 | 0.000243907 / -0.000243907 | 0.000215176 / -0.000215176 | 0.000169312 / -0.000169312 | 0.00016145 / -0.00016145 | 0.000204513 / -0.000204513 | 0.000376576 / -0.000376576 | 0.000393839 / -0.000393839 | 0 / 0 | 0 / 0 | 0.000410358 / -0.000410358 | 0.00041736 / -0.00041736 |
 | Pile-up uncertainty | 0.0157453 / -0.0157453 | 0.000839631 / -0.000839631 | -0.00953628 / 0.00953628 | -0.00486423 / 0.00486423 | -0.00393419 / 0.00393419 | 0.0186797 / -0.0186797 | 0.0157734 / -0.0157734 | -0.0424293 / 0.0424293 | 0.0047275 / -0.0047275 | -0.0232137 / 0.0232137 | 0.0109949 / -0.0109949 | -0.0147359 / 0.0147359 | 0.0272462 / -0.0272462 | 0 / 0 | 0 / 0 | 0.00580301 / -0.00580301 | -0.0205072 / 0.0205072 |
 | btag B EV 0 | -0.075321 / 0.075321 | -0.0727998 / 0.0727998 | -0.108773 / 0.108773 | -0.0828263 / 0.0828263 | -0.0819885 / 0.0819885 | 0 / 0 | 0 / 0 | -0.127792 / 0.127792 | 0 / 0 | 0 / 0 | -0.127614 / 0.127614 | -0.101224 / 0.101224 | -0.117934 / 0.117934 | 0 / 0 | 0 / 0 | -0.079588 / 0.079588 | -0.117606 / 0.117606 |
 | btag B EV 1 | -0.0172934 / 0.0172934 | -0.0178686 / 0.0178686 | -0.0220304 / 0.0220304 | -0.0236794 / 0.0236794 | -0.0225719 / 0.0225719 | 0 / 0 | 0 / 0 | -0.0161391 / 0.0161391 | 0 / 0 | 0 / 0 | -0.0198882 / 0.0198882 | -0.0204909 / 0.0204909 | -0.0162756 / 0.0162756 | 0 / 0 | 0 / 0 | -0.0385822 / 0.0385822 | -0.0233083 / 0.0233083 |
 | btag B EV 2 | 0.0127541 / -0.0127541 | 0.0119075 / -0.0119075 | 0.0152648 / -0.0152648 | 0.0115633 / -0.0115633 | 0.0124386 / -0.0124386 | 0 / 0 | 0 / 0 | 0.0128527 / -0.0128527 | 0 / 0 | 0 / 0 | 0.0120246 / -0.0120246 | 0.0109796 / -0.0109796 | 0.0126787 / -0.0126787 | 0 / 0 | 0 / 0 | 0.00735049 / -0.00735049 | 0.0180504 / -0.0180504 |
 | btag B EV 3 | 0.000231061 / -0.000231061 | 0.000364503 / -0.000364503 | -0.000340436 / 0.000340436 | 0.000791943 / -0.000791943 | 0.000855689 / -0.000855689 | 0 / 0 | 0 / 0 | -0.00279885 / 0.00279885 | 0 / 0 | 0 / 0 | -0.00182315 / 0.00182315 | -0.000695503 / 0.000695503 | -0.00173068 / 0.00173068 | 0 / 0 | 0 / 0 | 0.00155321 / -0.00155321 | -0.000912649 / 0.000912649 |
 | btag B EV 4 | -0.000416385 / 0.000416385 | -0.000378458 / 0.000378458 | -0.000297225 / 0.000297225 | -0.000421824 / 0.000421824 | -0.00039536 / 0.00039536 | 0 / 0 | 0 / 0 | 0.000198589 / -0.000198589 | 0 / 0 | 0 / 0 | 4.96151e-05 / -4.96151e-05 | -5.34531e-05 / 5.34531e-05 | 0.000172514 / -0.000172514 | 0 / 0 | 0 / 0 | -0.000962466 / 0.000962466 | -0.000359152 / 0.000359152 |
