 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | btag B EV 3 | -0.000586003 / 0.000586003 | -0.000486612 / 0.000486612 | -0.000491321 / 0.000491321 | 0.000114948 / -0.000114948 | -0.000124127 / 0.000124127 | 0 / 0 | 0 / 0 | -0.000903815 / 0.000903815 | 0 / 0 | 0 / 0 | -0.00158355 / 0.00158355 | -0.000261277 / 0.000261277 | -0.000673652 / 0.000673652 | 0 / 0 | 0 / 0 | -0.000351489 / 0.000351489 | -0.000482112 / 0.000482112 |
 | btag B EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag B EV 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 0 | -0.00560629 / 0.00560629 | -0.0168232 / 0.0168232 | -0.0011692 / 0.0011692 | -0.00777179 / 0.00777179 | -0.00282216 / 0.00282216 | -9.9957e-05 / 9.9957e-05 | -0.239486 / 0.239486 | -0.00583637 / 0.00583637 | -0.0144928 / 0.0144928 | -0.248491 / 0.248491 | -0.00663519 / 0.00663519 | -0.00525057 / 0.00525057 | -0.00798416 / 0.00798416 | 0 / 0 | 0 / 0 | -0.00142735 / 0.00142735 | -0.0027833 / 0.0027833 |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 0 | -0.00356522 / 0.00356522 | -0.00160748 / 0.00160748 | -0.00147283 / 0.00147283 | -0.0018611 / 0.0018611 | -0.000733584 / 0.000733584 | -0.813069 / 0.813069 | -0.179813 / 0.179813 | -0.000839353 / 0.000839353 | -0.770577 / 0.770577 | -0.166285 / 0.166285 | -0.00647506 / 0.00647506 | -0.00495857 / 0.00495857 | -0.00230393 / 0.00230393 | 0 / 0 | 0 / 0 | 0.00142071 / -0.00142071 | 0.00450993 / -0.00450993 |
 | btag L EV 1 | 1.49012e-05 / -1.49012e-05 | 6.96778e-05 / -6.96778e-05 | -5.39422e-06 / 5.39422e-06 | 5.30481e-05 / -5.30481e-05 | -1.39475e-05 / 1.39475e-05 | 0.00161743 / -0.00161743 | 0.000224829 / -0.000224829 | 8.22544e-05 / -8.22544e-05 | 0.00206047 / -0.00206047 | -0.000283897 / 0.000283897 | -0.000200659 / 0.000200659 | -2.38419e-06 / 2.38419e-06 | 3.16501e-05 / -3.16501e-05 | 0 / 0 | 0 / 0 | -1.88351e-05 / 1.88351e-05 | -3.97861e-05 / 3.97861e-05 |
 | btag L EV 2 | 8.61287e-06 / -8.61287e-06 | 2.03848e-05 / -2.03848e-05 | 4.91738e-06 / -4.91738e-06 | 2.85208e-05 / -2.85208e-05 | 5.48363e-06 / -5.48363e-06 | 0.000694335 / -0.000694335 | 0.000453383 / -0.000453383 | 7.83205e-05 / -7.83205e-05 | 8.33869e-05 / -8.33869e-05 | 0.000113755 / -0.000113755 | -2.37823e-05 / 2.37823e-05 | 1.7792e-05 / -1.7792e-05 | -0.00126016 / 0.00126016 | 0 / 0 | 0 / 0 | 1.34706e-05 / -1.34706e-05 | -5.40316e-05 / 5.40316e-05 |
 | btag L EV 3 | 1.07288e-06 / -1.07288e-06 | 2.02656e-05 / -2.02656e-05 | 1.37091e-06 / -1.37091e-06 | 1.23382e-05 / -1.23382e-05 | -3.45707e-06 / 3.45707e-06 | -0.00108695 / 0.00108695 | -5.0813e-05 / 5.0813e-05 | 0.000274152 / -0.000274152 | -0.000925362 / 0.000925362 | -0.000444829 / 0.000444829 | 0.00065586 / -0.00065586 | -1.89841e-05 / 1.89841e-05 | -0.000127017 / 0.000127017 | 0 / 0 | 0 / 0 | -3.30806e-06 / 3.30806e-06 | 1.66297e-05 / -1.66297e-05 |
 | btag L EV 4 | -7.7486e-07 / 7.7486e-07 | 1.81794e-06 / -1.81794e-06 | 4.50015e-06 / -4.50015e-06 | -3.8147e-06 / 3.8147e-06 | -1.99676e-06 / 1.99676e-06 | 0.000238299 / -0.000238299 | 0.00013116 / -0.00013116 | 0.000118196 / -0.000118196 | 0.00034529 / -0.00034529 | 3.75807e-05 / -3.75807e-05 | 0.000110626 / -0.000110626 | 1.16527e-05 / -1.16527e-05 | -2.21431e-05 / 2.21431e-05 | 0 / 0 | 0 / 0 | 6.22869e-06 / -6.22869e-06 | -4.17531e-05 / 4.17531e-05 |
 | btag L EV 5 | 0 / 0 | -3.48687e-06 / 3.48687e-06 | -1.2815e-06 / 1.2815e-06 | -9.83477e-07 / 9.83477e-07 | 2.11596e-06 / -2.11596e-06 | -0.000619859 / 0.000619859 | -8.35955e-05 / 8.35955e-05 | -2.36034e-05 / 2.36034e-05 | -0.000163257 / 0.000163257 | -5.06341e-05 / 5.06341e-05 | -0.000101656 / 0.000101656 | -3.30806e-06 / 3.30806e-06 | 2.65241e-05 / -2.65241e-05 | 0 / 0 | 0 / 0 | 4.05312e-06 / -4.05312e-06 | 2.41697e-05 / -2.41697e-05 |
