 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | btag L EV 0 | -0.0558125 / 0.0558125 | -0.0105062 / 0.0105062 | -0.0029726 / 0.0029726 | -0.00957732 / 0.00957732 | -0.00170411 / 0.00170411 | -0.970606 / 0.970606 | -0.279841 / 0.279841 | -0.0467747 / 0.0467747 | -0.970606 / 0.970606 | -0.278666 / 0.278666 | -0.0424355 / 0.0424355 | -0.034458 / 0.034458 | -0.0257587 / 0.0257587 | 0 / 0 | 0 / 0 | 0.000260692 / -0.000260692 | -0.00126448 / 0.00126448 |
 | btag L EV 1 | -1.21452e-05 / 1.21452e-05 | 3.22416e-05 / -3.22416e-05 | -4.25511e-05 / 4.25511e-05 | 0.000169124 / -0.000169124 | 1.42673e-05 / -1.42673e-05 | 0.0033217 / -0.0033217 | 0.000590824 / -0.000590824 | 0.000199705 / -0.000199705 | 0.000433035 / -0.000433035 | -2.0223e-05 / 2.0223e-05 | -0.000194099 / 0.000194099 | 1.51865e-05 / -1.51865e-05 | -5.4372e-05 / 5.4372e-05 | 0 / 0 | 0 / 0 | -1.64266e-05 / 1.64266e-05 | -9.40905e-06 / 9.40905e-06 |
 | btag L EV 2 | -5.87693e-06 / 5.87693e-06 | 5.63186e-05 / -5.63186e-05 | -1.09142e-05 / 1.09142e-05 | -1.1964e-05 / 1.1964e-05 | 2.05167e-05 / -2.05167e-05 | 0.000688877 / -0.000688877 | 0.000290596 / -0.000290596 | 2.19197e-05 / -2.19197e-05 | -0.000236529 / 0.000236529 | -8.10185e-06 / 8.10185e-06 | -0.000135935 / 0.000135935 | 8.50989e-05 / -8.50989e-05 | 5.17402e-05 / -5.17402e-05 | 0 / 0 | 0 / 0 | -1.18842e-05 / 1.18842e-05 | -2.67334e-05 / 2.67334e-05 |
 | btag L EV 3 | -8.0646e-05 / 8.0646e-05 | 6.00072e-06 / -6.00072e-06 | -1.79674e-05 / 1.79674e-05 | -2.77381e-05 / 2.77381e-05 | 3.66456e-06 / -3.66456e-06 | -0.000728079 / 0.000728079 | -0.00023765 / 0.00023765 | -6.82787e-05 / 6.82787e-05 | -0.00125259 / 0.00125259 | -0.000272832 / 0.000272832 | 2.81126e-05 / -2.81126e-05 | -9.19696e-05 / 9.19696e-05 | 2.40809e-05 / -2.40809e-05 | 0 / 0 | 0 / 0 | -2.74215e-07 / 2.74215e-07 | -1.34865e-05 / 1.34865e-05 |
 | btag L EV 4 | 5.27234e-05 / -5.27234e-05 | 2.44416e-05 / -2.44416e-05 | 8.81161e-06 / -8.81161e-06 | -9.94046e-05 / 9.94046e-05 | 1.11529e-05 / -1.11529e-05 | 0.000284779 / -0.000284779 | 7.7362e-05 / -7.7362e-05 | 3.92027e-05 / -3.92027e-05 | 0.000625567 / -0.000625567 | 0.000190736 / -0.000190736 | 1.34577e-05 / -1.34577e-05 | 9.66457e-05 / -9.66457e-05 | -4.21422e-05 / 4.21422e-05 | 0 / 0 | 0 / 0 | -1.13842e-07 / 1.13842e-07 | -1.28389e-05 / 1.28389e-05 |
 | btag L EV 5 | -3.07686e-05 / 3.07686e-05 | -9.24067e-06 / 9.24067e-06 | -5.8226e-06 / 5.8226e-06 | 2.85107e-05 / -2.85107e-05 | -2.78781e-06 / 2.78781e-06 | -0.000340697 / 0.000340697 | 9.58666e-06 / -9.58666e-06 | -2.2361e-05 / 2.2361e-05 | -0.000424258 / 0.000424258 | -0.000139399 / 0.000139399 | -7.61667e-05 / 7.61667e-05 | -3.61923e-05 / 3.61923e-05 | 4.38203e-05 / -4.38203e-05 | 0 / 0 | 0 / 0 | 1.90983e-07 / -1.90983e-07 | 3.10272e-06 / -3.10272e-06 |
 | btag L EV 6 | 1.65402e-05 / -1.65402e-05 | -3.66887e-07 / 3.66887e-07 | 3.18918e-06 / -3.18918e-06 | 2.1336e-05 / -2.1336e-05 | -1.0033e-06 / 1.0033e-06 | 0.000266305 / -0.000266305 | 3.42734e-05 / -3.42734e-05 | 1.51261e-05 / -1.51261e-05 | 0.000302479 / -0.000302479 | 6.2455e-05 / -6.2455e-05 | 6.32013e-06 / -6.32013e-06 | 1.73509e-06 / -1.73509e-06 | 4.58354e-05 / -4.58354e-05 | 0 / 0 | 0 / 0 | -1.85558e-06 / 1.85558e-06 | 5.1512e-06 / -5.1512e-06 |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 11 | -0.0170633 / 0.0170633 | -0.00308587 / 0.00308587 | -0.000496882 / 0.000496882 | -0.00566633 / 0.00566633 | -0.00104126 / 0.00104126 | -0.358959 / 0.358959 | -0.0501696 / 0.0501696 | -0.00806948 / 0.00806948 | -0.288699 / 0.288699 | -0.065216 / 0.065216 | -0.00868694 / 0.00868694 | -0.0183156 / 0.0183156 | -0.0105177 / 0.0105177 | 0 / 0 | 0 / 0 | 0.000237446 / -0.000237446 | -0.000915464 / 0.000915464 |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 13 | 0.012785 / -0.012785 | 0.00231995 / -0.00231995 | 0.000121369 / -0.000121369 | 0.00133413 / -0.00133413 | 0.000649935 / -0.000649935 | 0.328073 / -0.328073 | 0.0600129 / -0.0600129 | 0.00388467 / -0.00388467 | 0.310344 / -0.310344 | 0.0814914 / -0.0814914 | 0.0113989 / -0.0113989 | 0.0123271 / -0.0123271 | 0.0086419 / -0.0086419 | 0 / 0 | 0 / 0 | 9.54856e-06 / -9.54856e-06 | 0.00107583 / -0.00107583 |
 | btag L EV 14 | -0.0132301 / 0.0132301 | -0.00235653 / 0.00235653 | -0.000637563 / 0.000637563 | -0.00424224 / 0.00424224 | -0.0006537 / 0.0006537 | -0.240431 / 0.240431 | -0.03652 / 0.03652 | -0.00978274 / 0.00978274 | -0.198806 / 0.198806 | -0.0432154 / 0.0432154 | -0.00227844 / 0.00227844 | -0.0118478 / 0.0118478 | -0.00810376 / 0.00810376 | 0 / 0 | 0 / 0 | 0.000165186 / -0.000165186 | -0.000451865 / 0.000451865 |
 | btag L EV 15 | -0.00433837 / 0.00433837 | -0.00076128 / 0.00076128 | -0.000247083 / 0.000247083 | -0.000864201 / 0.000864201 | -0.00016341 / 0.00016341 | -0.0702934 / 0.0702934 | -0.0135478 / 0.0135478 | -0.00186281 / 0.00186281 | -0.0657053 / 0.0657053 | -0.0153927 / 0.0153927 | -0.000453213 / 0.000453213 | -0.00357975 / 0.00357975 | -0.0030509 / 0.0030509 | 0 / 0 | 0 / 0 | 2.27746e-05 / -2.27746e-05 | -0.000171854 / 0.000171854 |
 | btag L EV 16 | 0.000466959 / -0.000466959 | 0.000773767 / -0.000773767 | 7.09033e-05 / -7.09033e-05 | -0.000284619 / 0.000284619 | 5.53079e-05 / -5.53079e-05 | 0.0423371 / -0.0423371 | 0.00748113 / -0.00748113 | 0.00133523 / -0.00133523 | 0.0502547 / -0.0502547 | 0.0138288 / -0.0138288 | 0.00341879 / -0.00341879 | 0.00216854 / -0.00216854 | 0.00118832 / -0.00118832 | 0 / 0 | 0 / 0 | -2.84455e-05 / 2.84455e-05 | -0.000260798 / 0.000260798 |
 | b-tag extrap. | 0.00235742 / -0.00235742 | 0.00527298 / -0.00527298 | 0.00117834 / -0.00117834 | 0.00388667 / -0.00388667 | 0.00133746 / -0.00133746 | 8.85238e-06 / -8.85238e-06 | 0.0135594 / -0.0135594 | 0.00319576 / -0.00319576 | 0.000435613 / -0.000435613 | 0.0109692 / -0.0109692 | 0.00127506 / -0.00127506 | 0.00316132 / -0.00316132 | 0.00351614 / -0.00351614 | 0 / 0 | 0 / 0 | 0.00606041 / -0.00606041 | 0.000551586 / -0.000551586 |
 | b-tag extrap. from charm | 0.00821634 / -0.00821634 | 0.00330097 / -0.00330097 | 0.000111959 / -0.000111959 | 0.00305182 / -0.00305182 | 0.000752523 / -0.000752523 | 0.000430398 / -0.000430398 | 9.88573e-05 / -9.88573e-05 | 8.97871e-06 / -8.97871e-06 | 0.0514935 / -0.0514935 | 0.0124875 / -0.0124875 | 0.00201458 / -0.00201458 | 0.00334265 / -0.00334265 | 0.0020473 / -0.0020473 | 0 / 0 | 0 / 0 | 0.0333723 / -0.0333723 | 0 / 0 |
 | JVT uncertainty | 0.00451229 / -0.00451229 | 0.0026488 / -0.0026488 | 0.00154149 / -0.00154149 | -0.00136227 / 0.00136227 | -0.000689686 / 0.000689686 | 0.0072865 / -0.0072865 | 0.00554017 / -0.00554017 | 0.00373466 / -0.00373466 | 0.00782739 / -0.00782739 | 0.00651622 / -0.00651622 | 0.00564229 / -0.00564229 | 0.00510708 / -0.00510708 | 0.00493296 / -0.00493296 | 0 / 0 | 0 / 0 | -0.00829944 / 0.00829944 | 0.00515662 / -0.00515662 |
 | Electron E_{T} res. | 0.000112945 / -0.000112945 | -0.000237946 / 0.000237946 | -3.17636e-05 / 3.17636e-05 | 7.14648e-05 / -7.14648e-05 | 0.000165786 / -0.000165786 | 4.58048e-05 / -4.58048e-05 | -0.000110976 / 0.000110976 | -0.000381221 / 0.000381221 | -0.000250682 / 0.000250682 | -8.82311e-05 / 8.82311e-05 | 0.000327926 / -0.000327926 | -0.000823202 / 0.000823202 | -0.000270759 / 0.000270759 | 0 / 0 | 0 / 0 | -6.68371e-05 / 6.68371e-05 | -0.000249504 / 0.000249504 |
 | Electron E_{T} scale | 0.000431571 / -0.000431571 | 3.96996e-05 / -3.96996e-05 | 0.000374748 / -0.000374748 | 0.000181062 / -0.000181062 | 1.28605e-05 / -1.28605e-05 | 0.000323177 / -0.000323177 | 0.000251556 / -0.000251556 | 0.000207811 / -0.000207811 | 0.000711855 / -0.000711855 | -0.000140352 / 0.000140352 | -0.00019447 / 0.00019447 | 0.000479044 / -0.000479044 | -0.000170454 / 0.000170454 | 0 / 0 | 0 / 0 | 6.68371e-05 / -6.68371e-05 | 0.000310901 / -0.000310901 |
 | Muon ID p_{T} res. | -0.000433763 / 0.000433763 | 8.73159e-05 / -8.73159e-05 | 6.75937e-06 / -6.75937e-06 | -0.000335417 / 0.000335417 | 2.70385e-05 / -2.70385e-05 | -9.83031e-05 / 9.83031e-05 | 3.55704e-05 / -3.55704e-05 | 1.56326e-05 / -1.56326e-05 | -0.000676516 / 0.000676516 | 0.000334493 / -0.000334493 | -0.0044619 / 0.0044619 | 0.000495351 / -0.000495351 | 9.90846e-05 / -9.90846e-05 | 0 / 0 | 0 / 0 | 0 / 0 | -2.65967e-05 / 2.65967e-05 |
 | Muon MS p_{T} res. | 1.14389e-05 / -1.14389e-05 | 7.84966e-05 / -7.84966e-05 | -1.98094e-05 / 1.98094e-05 | 0.000131721 / -0.000131721 | -0.000103394 / 0.000103394 | -0.000214454 / 0.000214454 | 0.000119486 / -0.000119486 | -0.000150506 / 0.000150506 | -0.000104219 / 0.000104219 | -0.000140387 / 0.000140387 | 6.94921e-05 / -6.94921e-05 | -0.00210976 / 0.00210976 | -0.000135374 / 0.000135374 | 0 / 0 | 0 / 0 | 9.38153e-07 / -9.38153e-07 | 0.00066026 / -0.00066026 |
 | Muon p_{T} scale | -0.000134399 / 0.000134399 | 8.21617e-05 / -8.21617e-05 | -0.000317516 / 0.000317516 | -0.000113659 / 0.000113659 | -0.000138855 / 0.000138855 | -0.000284179 / 0.000284179 | -0.000145892 / 0.000145892 | -0.000107449 / 0.000107449 | -0.000769256 / 0.000769256 | 0.000149853 / -0.000149853 | 3.36088e-05 / -3.36088e-05 | 1.04417e-05 / -1.04417e-05 | -2.90048e-05 / 2.90048e-05 | 0 / 0 | 0 / 0 | 0 / 0 | -0.000711871 / 0.000711871 |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | b JES response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Effective NP 1 | 0.00328105 / -0.00328105 | -0.00602518 / 0.00602518 | -0.0101338 / 0.0101338 | -0.0174566 / 0.0174566 | -0.0306813 / 0.0306813 | 0.0575075 / -0.0575075 | 0.0398578 / -0.0398578 | 0.0385356 / -0.0385356 | 0.0624919 / -0.0624919 | 0.0474295 / -0.0474295 | 0.0508824 / -0.0508824 | 0.0175592 / -0.0175592 | 0.00919845 / -0.00919845 | 0 / 0 | 0 / 0 | -0.0617246 / 0.0617246 | -0.00497808 / 0.00497808 |
 | Effective NP 2 | 0.00054556 / -0.00054556 | 0.000650781 / -0.000650781 | 0.00239428 / -0.00239428 | 0.00427513 / -0.00427513 | 0.00577669 / -0.00577669 | -0.01433 / 0.01433 | -0.00833116 / 0.00833116 | -0.00872018 / 0.00872018 | -0.0158186 / 0.0158186 | -0.00698356 / 0.00698356 | -0.00992365 / 0.00992365 | -0.00817847 / 0.00817847 | -0.00274268 / 0.00274268 | 0 / 0 | 0 / 0 | 0.0313503 / -0.0313503 | 0.00160666 / -0.00160666 |
 | Effective NP 3 | -0.000293184 / 0.000293184 | 0.00076422 / -0.00076422 | 5.02235e-05 / -5.02235e-05 | -0.000636792 / 0.000636792 | -0.000307601 / 0.000307601 | 0.00130284 / -0.00130284 | 0.00112552 / -0.00112552 | 0.00279229 / -0.00279229 | 0.00379414 / -0.00379414 | 0.000344683 / -0.000344683 | 0.000881815 / -0.000881815 | 0.00145585 / -0.00145585 | -0.00215293 / 0.00215293 | 0 / 0 | 0 / 0 | 0.000111751 / -0.000111751 | 0.000406348 / -0.000406348 |
 | Effective NP 4 | 0.000275438 / -0.000275438 | -0.000189662 / 0.000189662 | -8.24883e-07 / 8.24883e-07 | 0.000313573 / -0.000313573 | 0.000224636 / -0.000224636 | -0.00160727 / 0.00160727 | -0.000585609 / 0.000585609 | -0.00215621 / 0.00215621 | -0.00190748 / 0.00190748 | -0.000380495 / 0.000380495 | 0.000718259 / -0.000718259 | -0.00115681 / 0.00115681 | 0.0024233 / -0.0024233 | 0 / 0 | 0 / 0 | -3.89326e-05 / 3.89326e-05 | -0.000685722 / 0.000685722 |
 | Effective NP 5 | 0.000204426 / -0.000204426 | -0.000222041 / 0.000222041 | -3.44068e-05 / 3.44068e-05 | 0.000239536 / -0.000239536 | 0.000162263 / -0.000162263 | -0.000275878 / 0.000275878 | -5.2757e-05 / 5.2757e-05 | -0.00272754 / 0.00272754 | -0.000663805 / 0.000663805 | -0.000579042 / 0.000579042 | -9.99767e-06 / 9.99767e-06 | 0.000235494 / -0.000235494 | 0.00171788 / -0.00171788 | 0 / 0 | 0 / 0 | -5.21486e-05 / 5.21486e-05 | -0.00054413 / 0.00054413 |
