 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | -0.0101376 / 0.0101376 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light PS & Had | -0.0461534 / 0.0461534 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light ISR/FSR | -0.0226494 / 0.0226494 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.0213739 / -0.0213739 | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0 / 0 | 0 / 0 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 |
 | t#bar{t} inclusive cross section | 0.0502715 / -0.0502715 | 0.0502715 / -0.0502715 | 0.0502715 / -0.0502715 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0502715 / -0.0502715 |
 | Electron ID | 0.00335412 / -0.00335412 | 0.00352887 / -0.00352887 | 0.00343373 / -0.00343373 | 0.00379617 / -0.00379617 | 0.00370321 / -0.00370321 | 0.00386046 / -0.00386046 | 0.0037191 / -0.0037191 | 0.00429142 / -0.00429142 | 0.00522456 / -0.00522456 | 0.00430725 / -0.00430725 | 0.00513566 / -0.00513566 | 0.00359569 / -0.00359569 | 0.00448782 / -0.00448782 | 0 / 0 | 0 / 0 | 0.00381285 / -0.00381285 | 0.0031269 / -0.0031269 |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon ID (stat.) | 0.00088858 / -0.00088858 | 0.000848484 / -0.000848484 | 0.000891135 / -0.000891135 | 0.000882423 / -0.000882423 | 0.000874814 / -0.000874814 | 0.000934353 / -0.000934353 | 0.000858597 / -0.000858597 | 0.000862141 / -0.000862141 | 0.000612778 / -0.000612778 | 0.000802661 / -0.000802661 | 0.00080209 / -0.00080209 | 0.000909266 / -0.000909266 | 0.000856085 / -0.000856085 | 0 / 0 | 0 / 0 | 0.00107192 / -0.00107192 | 0.00097875 / -0.00097875 |
 | Muon ID (syst.) | 0.00345148 / -0.00345148 | 0.0032775 / -0.0032775 | 0.0034875 / -0.0034875 | 0.00367449 / -0.00367449 | 0.0035834 / -0.0035834 | 0.00400474 / -0.00400474 | 0.00393206 / -0.00393206 | 0.00372859 / -0.00372859 | 0.00266345 / -0.00266345 | 0.00342561 / -0.00342561 | 0.00313073 / -0.00313073 | 0.00360053 / -0.00360053 | 0.00390289 / -0.00390289 | 0 / 0 | 0 / 0 | 0.00494468 / -0.00494468 | 0.0035752 / -0.0035752 |
 | Muon Trig. (stat.) | 0.00268476 / -0.00268476 | 0.00256001 / -0.00256001 | 0.00268527 / -0.00268527 | 0.00279401 / -0.00279401 | 0.00266501 / -0.00266501 | 0.00266491 / -0.00266491 | 0.00265403 / -0.00265403 | 0.00249317 / -0.00249317 | 0.00171351 / -0.00171351 | 0.00221348 / -0.00221348 | 0.00223166 / -0.00223166 | 0.00253932 / -0.00253932 | 0.00243692 / -0.00243692 | 0 / 0 | 0 / 0 | 0.00364884 / -0.00364884 | 0.00282688 / -0.00282688 |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon TTVA (syst.) | 0.000378333 / -0.000378333 | 0.000386529 / -0.000386529 | 0.00034649 / -0.00034649 | 0.000377595 / -0.000377595 | 0.000370749 / -0.000370749 | 0.000231462 / -0.000231462 | 0.000188491 / -0.000188491 | 0.00025863 / -0.00025863 | 0.000172033 / -0.000172033 | 0.000272622 / -0.000272622 | 0.000333777 / -0.000333777 | 0.000426712 / -0.000426712 | 0.000314275 / -0.000314275 | 0 / 0 | 0 / 0 | 0.000411848 / -0.000411848 | 0.000342045 / -0.000342045 |
 | Pile-up uncertainty | -0.00192698 / 0.00192698 | -0.0106506 / 0.0106506 | -0.00301578 / 0.00301578 | 0.0081845 / -0.0081845 | -0.0104804 / 0.0104804 | 0.0078276 / -0.0078276 | 0.0522748 / -0.0522748 | 0.00701214 / -0.00701214 | 0.0139332 / -0.0139332 | -0.00769338 / 0.00769338 | -0.0112175 / 0.0112175 | 0.00186931 / -0.00186931 | -0.0214728 / 0.0214728 | 0 / 0 | 0 / 0 | 0.0674063 / -0.0674063 | -0.0108403 / 0.0108403 |
 | btag B EV 0 | -0.0455431 / 0.0455431 | -0.044369 / 0.044369 | -0.0675484 / 0.0675484 | -0.0528713 / 0.0528713 | -0.05431 / 0.05431 | 0 / 0 | 0 / 0 | -0.079455 / 0.079455 | 0 / 0 | 0 / 0 | -0.0783471 / 0.0783471 | -0.057243 / 0.057243 | -0.0710554 / 0.0710554 | 0 / 0 | 0 / 0 | -0.0561292 / 0.0561292 | -0.06924 / 0.06924 |
 | btag B EV 1 | -0.01614 / 0.01614 | -0.016729 / 0.016729 | -0.0228518 / 0.0228518 | -0.0253195 / 0.0253195 | -0.0249102 / 0.0249102 | 0 / 0 | 0 / 0 | -0.0131804 / 0.0131804 | 0 / 0 | 0 / 0 | -0.0118347 / 0.0118347 | -0.0182392 / 0.0182392 | -0.0146836 / 0.0146836 | 0 / 0 | 0 / 0 | -0.0290919 / 0.0290919 | -0.0219201 / 0.0219201 |
 | btag B EV 2 | 0.0129178 / -0.0129178 | 0.0123165 / -0.0123165 | 0.0163395 / -0.0163395 | 0.012767 / -0.012767 | 0.0139536 / -0.0139536 | 0 / 0 | 0 / 0 | 0.013267 / -0.013267 | 0 / 0 | 0 / 0 | 0.0134424 / -0.0134424 | 0.0132373 / -0.0132373 | 0.0137891 / -0.0137891 | 0 / 0 | 0 / 0 | 0.00992276 / -0.00992276 | 0.0195211 / -0.0195211 |
 | btag B EV 3 | -9.10559e-05 / 9.10559e-05 | 0.000262834 / -0.000262834 | -0.000347263 / 0.000347263 | 0.000921584 / -0.000921584 | 0.00112046 / -0.00112046 | 0 / 0 | 0 / 0 | -0.00249532 / 0.00249532 | 0 / 0 | 0 / 0 | -0.00237706 / 0.00237706 | -0.000658566 / 0.000658566 | -0.00235837 / 0.00235837 | 0 / 0 | 0 / 0 | -0.00136261 / 0.00136261 | -0.00152977 / 0.00152977 |
 | btag B EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag B EV 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 0 | -0.131649 / 0.131649 | -0.152844 / 0.152844 | -0.00470151 / 0.00470151 | -0.0333741 / 0.0333741 | -0.00440685 / 0.00440685 | -0.00027541 / 0.00027541 | -0.39179 / 0.39179 | -0.0386434 / 0.0386434 | -0.034005 / 0.034005 | -0.386566 / 0.386566 | -0.024403 / 0.024403 | -0.0767675 / 0.0767675 | -0.0353051 / 0.0353051 | 0 / 0 | 0 / 0 | -0.0315538 / 0.0315538 | -0.0013781 / 0.0013781 |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
