 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | Muon Isol. (stat.) | 0.000128717 / -0.000128717 | 0.000173903 / -0.000173903 | 0.00014529 / -0.00014529 | 0.00014268 / -0.00014268 | 0.000149184 / -0.000149184 | 0.000177387 / -0.000177387 | 0.000159559 / -0.000159559 | 0.000184802 / -0.000184802 | 0.000129909 / -0.000129909 | 0.000140358 / -0.000140358 | 9.11658e-05 / -9.11658e-05 | 0.000123876 / -0.000123876 | 0.000119677 / -0.000119677 | 0 / 0 | 0 / 0 | 0.000134274 / -0.000134274 | 0.000111635 / -0.000111635 |
 | Muon Isol. (syst.) | 0.000232099 / -0.000232099 | 0.000444204 / -0.000444204 | 0.000338551 / -0.000338551 | 0.000383246 / -0.000383246 | 0.000366467 / -0.000366467 | 0.000432864 / -0.000432864 | 0.000442202 / -0.000442202 | 0.000426197 / -0.000426197 | 0.000312706 / -0.000312706 | 0.000403796 / -0.000403796 | 0.000240065 / -0.000240065 | 0.000510579 / -0.000510579 | 0.000309461 / -0.000309461 | 0 / 0 | 0 / 0 | 0.000451402 / -0.000451402 | 0.000161345 / -0.000161345 |
 | Muon TTVA (stat.) | 0.000414024 / -0.000414024 | 0.000407882 / -0.000407882 | 0.000368003 / -0.000368003 | 0.000362136 / -0.000362136 | 0.000370259 / -0.000370259 | 0.000368164 / -0.000368164 | 0.000376765 / -0.000376765 | 0.000383483 / -0.000383483 | 0.000272696 / -0.000272696 | 0.000323455 / -0.000323455 | 0.000189739 / -0.000189739 | 0.000405906 / -0.000405906 | 0.000341378 / -0.000341378 | 0 / 0 | 0 / 0 | 0.00032012 / -0.00032012 | 0.0003443 / -0.0003443 |
 | Muon TTVA (syst.) | 0.000575735 / -0.000575735 | 0.000365507 / -0.000365507 | 0.000420751 / -0.000420751 | 0.000363448 / -0.000363448 | 0.000390829 / -0.000390829 | 0.00023202 / -0.00023202 | 0.000270728 / -0.000270728 | 0.000157371 / -0.000157371 | 0.000177451 / -0.000177451 | 0.000129179 / -0.000129179 | 0.000166458 / -0.000166458 | 0.000374149 / -0.000374149 | 0.000351781 / -0.000351781 | 0 / 0 | 0 / 0 | 0.000237698 / -0.000237698 | 0.000467702 / -0.000467702 |
 | Pile-up uncertainty | -0.0738044 / 0.0738044 | 0.191968 / -0.191968 | 0.00808045 / -0.00808045 | -0.0151026 / 0.0151026 | -0.0291878 / 0.0291878 | 0.0189895 / -0.0189895 | 0.00868517 / -0.00868517 | -0.0743947 / 0.0743947 | 0.00163051 / -0.00163051 | -0.0344683 / 0.0344683 | 0.199388 / -0.199388 | 0.055072 / -0.055072 | 0.0120479 / -0.0120479 | 0 / 0 | 0 / 0 | -0.0865048 / 0.0865048 | -0.0943543 / 0.0943543 |
 | btag B EV 0 | -0.0783161 / 0.0783161 | -0.0871928 / 0.0871928 | -0.154944 / 0.154944 | -0.145493 / 0.145493 | -0.144995 / 0.144995 | 0 / 0 | 0 / 0 | -0.193103 / 0.193103 | 0 / 0 | 0 / 0 | -0.171926 / 0.171926 | -0.171315 / 0.171315 | -0.185706 / 0.185706 | 0 / 0 | 0 / 0 | -0.1357 / 0.1357 | -0.125044 / 0.125044 |
 | btag B EV 1 | -0.0181583 / 0.0181583 | -0.0144079 / 0.0144079 | -0.0304806 / 0.0304806 | -0.0388374 / 0.0388374 | -0.0372248 / 0.0372248 | 0 / 0 | 0 / 0 | -0.0247592 / 0.0247592 | 0 / 0 | 0 / 0 | -0.037608 / 0.037608 | -0.0280364 / 0.0280364 | -0.0268065 / 0.0268065 | 0 / 0 | 0 / 0 | -0.0590782 / 0.0590782 | -0.0356983 / 0.0356983 |
 | btag B EV 2 | 0.0134525 / -0.0134525 | 0.0123931 / -0.0123931 | 0.0210727 / -0.0210727 | 0.0205445 / -0.0205445 | 0.0224424 / -0.0224424 | 0 / 0 | 0 / 0 | 0.0173546 / -0.0173546 | 0 / 0 | 0 / 0 | 0.0159562 / -0.0159562 | 0.0197005 / -0.0197005 | 0.0189795 / -0.0189795 | 0 / 0 | 0 / 0 | 0.00991452 / -0.00991452 | 0.0270527 / -0.0270527 |
 | btag B EV 3 | -0.000556507 / 0.000556507 | -0.00292378 / 0.00292378 | -9.17545e-05 / 9.17545e-05 | 0.000721593 / -0.000721593 | 0.000856095 / -0.000856095 | 0 / 0 | 0 / 0 | -0.00441134 / 0.00441134 | 0 / 0 | 0 / 0 | -0.00240194 / 0.00240194 | -0.0027862 / 0.0027862 | -0.00302521 / 0.00302521 | 0 / 0 | 0 / 0 | 0.00305832 / -0.00305832 | -0.000293229 / 0.000293229 |
 | btag B EV 4 | -0.00046162 / 0.00046162 | -0.000187156 / 0.000187156 | -0.000355592 / 0.000355592 | -0.000517262 / 0.000517262 | -0.000687847 / 0.000687847 | 0 / 0 | 0 / 0 | 0.000517765 / -0.000517765 | 0 / 0 | 0 / 0 | -0.000123344 / 0.000123344 | -0.000314476 / 0.000314476 | 0.00124087 / -0.00124087 | 0 / 0 | 0 / 0 | -0.000659715 / 0.000659715 | -0.00126263 / 0.00126263 |
 | btag B EV 5 | 0.000133912 / -0.000133912 | -7.19091e-05 / 7.19091e-05 | -7.95403e-05 / 7.95403e-05 | -9.79383e-05 / 9.79383e-05 | -5.05938e-05 / 5.05938e-05 | 0 / 0 | 0 / 0 | -0.000156946 / 0.000156946 | 0 / 0 | 0 / 0 | -0.000264796 / 0.000264796 | -0.000154601 / 0.000154601 | -0.000196597 / 0.000196597 | 0 / 0 | 0 / 0 | -0.000303978 / 0.000303978 | 0.000193387 / -0.000193387 |
 | btag C EV 0 | -0.265893 / 0.265893 | -0.532941 / 0.532941 | -0.0473139 / 0.0473139 | -0.0215684 / 0.0215684 | -0.0159331 / 0.0159331 | -0.00136642 / 0.00136642 | -0.881381 / 0.881381 | -0.0402874 / 0.0402874 | -0.059495 / 0.059495 | -0.938566 / 0.938566 | -0.00545752 / 0.00545752 | -0.0287053 / 0.0287053 | -0.0349071 / 0.0349071 | 0 / 0 | 0 / 0 | -0.018945 / 0.018945 | -0.0391054 / 0.0391054 |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 0 | -0.481788 / 0.481788 | -0.0184348 / 0.0184348 | -0.00454227 / 0.00454227 | -0.00926833 / 0.00926833 | -0.00425965 / 0.00425965 | -0.99 / 0.99 | -0.434924 / 0.434924 | -0.0246331 / 0.0246331 | -0.99 / 0.99 | -0.36255 / 0.36255 | -0.0325461 / 0.0325461 | -0.00837103 / 0.00837103 | -0.00745144 / 0.00745144 | 0 / 0 | 0 / 0 | 0.000259418 / -0.000259418 | 0.0495055 / -0.0495055 |
 | btag L EV 1 | 0.0072184 / -0.0072184 | 1.38498e-05 / -1.38498e-05 | 0.000305848 / -0.000305848 | 0.000103295 / -0.000103295 | 0.000107629 / -0.000107629 | 0.00475891 / -0.00475891 | 0.00256505 / -0.00256505 | 0.000155509 / -0.000155509 | 0.00418938 / -0.00418938 | 1.90832e-05 / -1.90832e-05 | 0.000349612 / -0.000349612 | -0.000710407 / 0.000710407 | 0.000199349 / -0.000199349 | 0 / 0 | 0 / 0 | -1.37733e-05 / 1.37733e-05 | 0.00232511 / -0.00232511 |
 | btag L EV 2 | 2.23377e-05 / -2.23377e-05 | -0.000145653 / 0.000145653 | -5.1418e-05 / 5.1418e-05 | -5.98658e-06 / 5.98658e-06 | 2.992e-05 / -2.992e-05 | 0.00125999 / -0.00125999 | 0.000768744 / -0.000768744 | 9.95036e-05 / -9.95036e-05 | 0.00131027 / -0.00131027 | -0.00101118 / 0.00101118 | -0.00272235 / 0.00272235 | 0.000633308 / -0.000633308 | 0.000221768 / -0.000221768 | 0 / 0 | 0 / 0 | -4.58071e-06 / 4.58071e-06 | -0.000520971 / 0.000520971 |
 | btag L EV 3 | 0.00177882 / -0.00177882 | -0.000442736 / 0.000442736 | 1.69916e-05 / -1.69916e-05 | -1.38111e-05 / 1.38111e-05 | 3.73999e-06 / -3.73999e-06 | -0.00167409 / 0.00167409 | -5.12771e-05 / 5.12771e-05 | 3.61178e-05 / -3.61178e-05 | -0.000985052 / 0.000985052 | -0.00122404 / 0.00122404 | 0.000165909 / -0.000165909 | -0.000233535 / 0.000233535 | 0.00111985 / -0.00111985 | 0 / 0 | 0 / 0 | -4.20677e-06 / 4.20677e-06 | 0.000316818 / -0.000316818 |
 | btag L EV 4 | -0.00122345 / 0.00122345 | -0.000139828 / 0.000139828 | -6.28935e-05 / 6.28935e-05 | -2.0743e-05 / 2.0743e-05 | -1.64144e-05 / 1.64144e-05 | 0.000513543 / -0.000513543 | 0.000304959 / -0.000304959 | 8.11182e-05 / -8.11182e-05 | 0.000494085 / -0.000494085 | -0.000141092 / 0.000141092 | -0.00127918 / 0.00127918 | 0.000721528 / -0.000721528 | -4.66491e-06 / 4.66491e-06 | 0 / 0 | 0 / 0 | 2.4929e-07 / -2.4929e-07 | -0.000900653 / 0.000900653 |
