 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | Effective NP 2 | -2.09344e-05 / 2.09344e-05 | -0.000167941 / 0.000167941 | 0.0015191 / -0.0015191 | 0.000761031 / -0.000761031 | 0.00314502 / -0.00314502 | -0.0139371 / 0.0139371 | -0.0163555 / 0.0163555 | -0.00621246 / 0.00621246 | -0.0130693 / 0.0130693 | -0.0151909 / 0.0151909 | -0.00314636 / 0.00314636 | 0.0021784 / -0.0021784 | 0.00518537 / -0.00518537 | 0 / 0 | 0 / 0 | 0.0260939 / -0.0260939 | -0.00522082 / 0.00522078 |
 | Effective NP 3 | -1.82039e-06 / 1.82039e-06 | 7.5211e-05 / -7.5211e-05 | -0.0012029 / 0.0012029 | 0.000637098 / -0.000637098 | 0.00019261 / -0.00019261 | 0.00169744 / -0.00169744 | 0.00113653 / -0.00113653 | 0.000391614 / -0.000391614 | 0.00160888 / -0.00160888 | 6.77511e-06 / -6.77511e-06 | 0.000281493 / -0.000281493 | 8.3692e-05 / -8.3692e-05 | 0.000260698 / -0.000260698 | 0 / 0 | 0 / 0 | 0.000186594 / -0.000186594 | 0.000198803 / -0.000198848 |
 | Effective NP 4 | 9.10193e-07 / -9.10193e-07 | 2.09123e-05 / -2.09123e-05 | 0.00121344 / -0.00121344 | 1.48089e-05 / -1.48089e-05 | -0.000124251 / 0.000124355 | -0.000884102 / 0.000884102 | -0.00144318 / 0.00144318 | 0.000538894 / -0.000538894 | -0.000662344 / 0.000662344 | 0.00014239 / -0.00014239 | 0.000268872 / -0.000268872 | -4.66612e-05 / 4.66612e-05 | 0.000291775 / -0.000291775 | 0 / 0 | 0 / 0 | -7.46624e-05 / 7.46624e-05 | -4.34913e-05 / 4.35282e-05 |
 | Effective NP 5 | -2.88228e-06 / 2.95813e-06 | -0.000150789 / 0.000150789 | 0.0014792 / -0.0014792 | -6.95284e-05 / 6.95284e-05 | -0.000227205 / 0.000227205 | 0.000971867 / -0.000971867 | -0.0015461 / 0.0015461 | -0.000978316 / 0.000978316 | 0.00054029 / -0.00054029 | -0.000248646 / 0.000248646 | -0.000602885 / 0.000602885 | -0.000344513 / 0.000344513 | -0.000799747 / 0.000799747 | 0 / 0 | 0 / 0 | -3.53369e-05 / 3.53369e-05 | -0.000175414 / 0.000175368 |
 | Effective NP 6 | 8.04004e-06 / -8.04004e-06 | 0.00011034 / -0.00011034 | -0.00214202 / 0.00214202 | -0.000259629 / 0.000259629 | -0.000343976 / 0.000343976 | 0.00238569 / -0.00238569 | 0.00428326 / -0.00428326 | 0.000725034 / -0.000725034 | 0.00253534 / -0.00253534 | 0.0012561 / -0.0012561 | 0.000815475 / -0.000815475 | 0.000364576 / -0.000364576 | 0.000695709 / -0.000695709 | 0 / 0 | 0 / 0 | 3.66457e-05 / -3.66457e-05 | 0.000231497 / -0.00023146 |
 | Effective NP 7 | 9.10193e-07 / -9.10193e-07 | -5.4849e-05 / 5.4849e-05 | 0.00181362 / -0.00181362 | 0.000579543 / -0.000579543 | 0.00169598 / -0.00169598 | -0.00482474 / 0.00482474 | -0.00471502 / 0.00471502 | 0.000102671 / -0.000102671 | -0.00511215 / 0.00511215 | -0.00163653 / 0.00163664 | -0.000799484 / 0.000799484 | -5.38839e-06 / 5.38839e-06 | -7.77262e-05 / 7.77262e-05 | 0 / 0 | 0 / 0 | 1.62662e-05 / -1.62662e-05 | 0.000147591 / -0.000147636 |
 | Effective NP 8 | -3.10983e-06 / 3.18568e-06 | -1.1832e-05 / 1.1832e-05 | -0.00116843 / 0.00116843 | 0.000288931 / -0.000288931 | 0.000229698 / -0.000229698 | 0.00023163 / -0.00023163 | 0.00172583 / -0.00172583 | 0.000596042 / -0.000596042 | 0.000544907 / -0.000544907 | 0.000230579 / -0.000230579 | 0.000337776 / -0.000337776 | 2.94642e-05 / -2.94642e-05 | 0.000439307 / -0.000439307 | 0 / 0 | 0 / 0 | -2.00679e-05 / 2.00679e-05 | 0.000100722 / -0.000100685 |
 | #eta intercalib. (model) | -0.000138804 / 0.000138804 | -0.000827321 / 0.000827321 | -0.00252382 / 0.00252382 | -0.00453846 / 0.00453846 | -0.000849083 / 0.000849083 | 0.0156481 / -0.0156481 | 0.0211412 / -0.0211413 | 0.00670289 / -0.00670289 | 0.00911172 / -0.00911172 | 0.017108 / -0.017108 | 0.00525461 / -0.00525461 | -0.0106079 / 0.0106078 | 0.0345552 / -0.0345552 | 0 / 0 | 0 / 0 | -0.0106736 / 0.0106736 | 0.0349531 / -0.0349531 |
 | #eta intercalib. (stat.) | 2.58647e-05 / -2.58647e-05 | 0.00042641 / -0.00042641 | -0.00207425 / 0.00207425 | -0.00124731 / 0.00124731 | -0.00313682 / 0.00313692 | 0.0102073 / -0.0102073 | 0.0148002 / -0.0148002 | 0.00671027 / -0.00671027 | 0.00976791 / -0.00976791 | 0.00725343 / -0.00725343 | 0.00311249 / -0.00311249 | -0.0186153 / 0.0186153 | -0.00542123 / 0.00542123 | 0 / 0 | 0 / 0 | -0.0130857 / 0.0130857 | 0.00991581 / -0.00991578 |
 | #eta intercalib. (stat.) | 1.98726e-05 / -1.98726e-05 | 0.00746598 / -0.00746598 | 0.000749993 / -0.000749993 | 0.00318402 / -0.00318402 | -0.000159677 / 0.000159677 | -0.00907851 / 0.00907851 | -0.0125025 / 0.0125025 | -0.00267148 / 0.00267148 | -0.00246374 / 0.00246374 | -0.00531213 / 0.00531213 | -0.00114259 / 0.00114259 | -0.00799075 / 0.00799075 | -0.000793975 / 0.000793975 | 0 / 0 | 0 / 0 | 0.00190819 / -0.00190819 | -0.00446772 / 0.00446776 |
 | Flavour composition | 0.182627 / -0.182627 | 0.0391687 / -0.0391687 | 0.000168832 / -0.000168832 | -0.00745676 / 0.00745676 | -0.0164044 / 0.0164046 | 0.132428 / -0.132428 | 0.126299 / -0.126299 | 0.0839516 / -0.0839516 | 0.121244 / -0.121244 | 0.0905845 / -0.0905845 | -0.102046 / 0.102046 | 0.00567971 / -0.00567971 | 0.0691322 / -0.0691322 | 0 / 0 | 0 / 0 | -0.0221082 / 0.0221082 | -0.124213 / 0.124213 |
 | Flavor response | -0.000292324 / 0.000292324 | 0.000299285 / -0.000299285 | 0.00401484 / -0.00401484 | 0.00449928 / -0.00449928 | 0.0048436 / -0.0048436 | -0.0407785 / 0.0407785 | -0.0406949 / 0.0406948 | -0.0530683 / 0.0530683 | -0.0351686 / 0.0351686 | -0.0356045 / 0.0356046 | -0.00947936 / 0.00947936 | -0.0310216 / 0.0310216 | -0.0403239 / 0.0403239 | 0 / 0 | 0 / 0 | 0.0414997 / -0.0414997 | -0.045974 / 0.0459741 |
 | Pile-up offset mu term | -1.8659e-05 / 1.8659e-05 | -2.22881e-05 / 2.22881e-05 | -0.00047734 / 0.00047734 | -0.00020974 / 0.00020974 | -0.00160591 / 0.00160602 | -0.00523717 / 0.00523717 | 0.00256001 / -0.0025601 | -0.00207733 / 0.00207733 | -0.00619346 / 0.00619346 | 0.000542008 / -0.000542008 | -0.001333 / 0.001333 | -0.0269876 / 0.0269876 | -0.000553748 / 0.000553748 | 0 / 0 | 0 / 0 | 1.83228e-05 / -1.83228e-05 | -0.0231831 / 0.023183 |
 | Pile-up offset NPV term | 0.0153105 / -0.0153105 | 0.00447661 / -0.00447661 | 9.85019e-05 / -9.85019e-05 | -0.00295853 / 0.00295853 | -0.000958997 / 0.000958997 | 0.0163333 / -0.0163333 | 0.0216378 / -0.0216378 | 0.0138297 / -0.0138297 | 0.0130432 / -0.0130432 | 0.00607264 / -0.00607264 | 0.00475732 / -0.00475732 | -0.00216109 / 0.00216109 | -0.0240867 / 0.0240867 | 0 / 0 | 0 / 0 | -0.0261365 / 0.0261365 | -0.107222 / 0.107222 |
 | Pile-up offset p_{T} term | 8.0097e-05 / -8.0097e-05 | 0.000435307 / -0.000435307 | -0.000136524 / 0.000136524 | -1.72245e-05 / 1.72245e-05 | 0.000119472 / -0.000119472 | -0.0001294 / 0.0001294 | 0.00144877 / -0.00144877 | 0.00147966 / -0.00147966 | -0.000509514 / 0.000509514 | 0.000174459 / -0.000174459 | 0.00093925 / -0.00093925 | 0.00036813 / -0.00036813 | 0.00124986 / -0.00124986 | 0 / 0 | 0 / 0 | -0.000314854 / 0.000314854 | 0.00477183 / -0.00477188 |
 | #rho topology | 0.188466 / -0.188466 | 0.0294815 / -0.0294815 | -0.00579408 / 0.00579408 | -0.0022227 / 0.0022227 | -0.0119012 / 0.0119012 | 0.094886 / -0.094886 | 0.0832968 / -0.0832968 | 0.0752458 / -0.0752458 | 0.0842234 / -0.0842234 | 0.0617714 / -0.0617714 | 0.0100916 / -0.0100916 | 0.0481487 / -0.0481487 | 0.0375547 / -0.0375547 | 0 / 0 | 0 / 0 | -0.0177678 / 0.0177678 | -0.13285 / 0.13285 |
 | Punch-through correction | 0 / 0 | 0 / 0 | -9.85019e-08 / 1.97004e-07 | 0 / 0 | -1.03889e-07 / 2.07777e-07 | 3.11771e-05 / -3.11771e-05 | 8.06503e-06 / -8.06503e-06 | -1.95938e-07 / 1.95938e-07 | 1.8142e-05 / -1.8142e-05 | 4.17798e-06 / -4.17798e-06 | -7.05496e-07 / 7.05496e-07 | 0 / 0 | -4.69847e-07 / 4.69847e-07 | 0 / 0 | 0 / 0 | -2.82944e-05 / 2.82944e-05 | 0 / 0 |
 | High-p_{T} term | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 3.90936e-07 / -3.90936e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 1.84272e-08 / 1.84272e-08 |
 | JER | -0.446153 / 0.446153 | 0.0198489 / -0.0198489 | -0.0315462 / 0.0315462 | -0.0110736 / 0.0110736 | -0.0197152 / 0.0197152 | 0.0630204 / -0.0630204 | 0.000693318 / -0.000693318 | -0.0295202 / 0.0295202 | 0.109387 / -0.109387 | -0.00420158 / 0.00420158 | -0.0462671 / 0.0462671 | 0.0288041 / -0.0288041 | -0.0622319 / 0.0622319 | 0 / 0 | 0 / 0 | -0.00251135 / 0.00251135 | 0.303351 / -0.303351 |
 | MET TST reso. para. | 0 / 0 | 0 / 0 | -0.000772846 / 0.000772846 | 0.000117841 / -0.000117841 | 7.02288e-05 / -7.02288e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000553492 / -0.000553492 | -0.00175983 / 0.00175983 | -2.09297e-05 / 2.09297e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0206193 / -0.0206193 | 1.84272e-08 / -1.84272e-08 |
 | MET TST reso. perp. | 0 / 0 | 0 / 0 | -0.000772846 / 0.000772846 | 0.000117841 / -0.000117841 | 7.02288e-05 / -7.02288e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000553492 / -0.000553492 | -0.00175983 / 0.00175983 | -2.09297e-05 / 2.09297e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0206193 / -0.0206193 | 1.84272e-08 / -1.84272e-08 |
 | MET TST scale | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 1.84272e-08 / 1.84272e-08 |
 | t#bar{t}+#geq 1 c generator | 0 / 0 | 0.102648 / -0.102648 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 c PS & Had | 0 / 0 | 0.0868204 / -0.0868204 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 c ISR/FSR | 0 / 0 | -0.0329436 / 0.0329436 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+c#bar{c} norm. | 0 / 0 | 0.5 / -0.5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 b generator | 0 / 0 | 0 / 0 | -0.0893122 / 0.0893122 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 b PS & Had | 0 / 0 | 0 / 0 | 0.00195812 / -0.00195812 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 b ISR/FSR | 0 / 0 | 0 / 0 | -0.0598153 / 0.0598153 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 b 5F vs 4F | 0 / 0 | 0 / 0 | 0.141315 / -0.141315 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} scale | 0 / 0 | 0 / 0 | -0.0308168 / 0.0308168 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} CSS KIN | 0 / 0 | 0 / 0 | 0.0538947 / -0.0538947 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} MSTW | 0 / 0 | 0 / 0 | 0.00345899 / -0.00345899 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} NNPDF | 0 / 0 | 0 / 0 | -0.00596222 / 0.00596222 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} Q CMMPS | 0 / 0 | 0 / 0 | -0.0230503 / 0.0230503 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} glo soft | 0 / 0 | 0 / 0 | -0.032371 / 0.032371 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} UE modeling | 0 / 0 | 0 / 0 | -0.0110652 / 0.0110652 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | topEW norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0.15 / -0.15 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttH norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.09 / -0.12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | V+jets norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.3 / -0.3 | 0.3 / -0.3 | 0.3 / -0.3 | 0.3 / -0.3 | 0.3 / -0.3 | 0.3 / -0.3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | V+cjets norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.3 / -0.3 | 0 / 0 | 0 / 0 | 0.3 / -0.3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | V+bjets norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.3 / -0.3 | 0 / 0 | 0 / 0 | 0.3 / -0.3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top tW dia. sub. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.144062 / 0.144062 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top s-chan. rad. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00324805 / -0.00324805 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top t-chan. rad. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.114196 / -0.114196 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top tW rad. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0327306 / -0.0327306 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single-top norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.05 / -0.04 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Dibosons norm. 5j | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.42 / -0.42 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | QCDE norm. 5j4b | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.5 / -0.5 | 0 / 0 | 0 / 0 | 0 / 0 |
 | QCDMU norm. 5j4b | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.5 / -0.5 | 0 / 0 | 0 / 0 |
 | SM 4tops norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.3 / -0.3 | 0 / 0 |
 | signal generator | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0646373 / -0.0646373 |
 | signal PS & Had | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0217977 / -0.0217977 |
 | signal ISR/FSR | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0369826 / 0.0369826 |
