 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | Muon ID (syst.) | 0.00276399 / -0.00276399 | 0.00388384 / -0.00388384 | 0.00332316 / -0.00332316 | 0.00353769 / -0.00353769 | 0.00330055 / -0.00330055 | 0.00401623 / -0.00401623 | 0.00461435 / -0.00461435 | 0.00326087 / -0.00326087 | 0.00272292 / -0.00272292 | 0.00390057 / -0.00390057 | 0.0059553 / -0.0059553 | 0.00454895 / -0.00454895 | 0.00327092 / -0.00327092 | 0 / 0 | 0 / 0 | 0.00157976 / -0.00157976 | 0.00283264 / -0.00283264 |
 | Muon Trig. (stat.) | 0.00124642 / -0.00124642 | 0.0026838 / -0.0026838 | 0.00247635 / -0.00247635 | 0.00278037 / -0.00278037 | 0.00244445 / -0.00244445 | 0.00266911 / -0.00266911 | 0.00310513 / -0.00310513 | 0.00188938 / -0.00188938 | 0.00174007 / -0.00174007 | 0.00234874 / -0.00234874 | 0.00316767 / -0.00316767 | 0.00271486 / -0.00271486 | 0.00234084 / -0.00234084 | 0 / 0 | 0 / 0 | 0.00128692 / -0.00128692 | 0.00187564 / -0.00187564 |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon TTVA (syst.) | 0.000159021 / -0.000159021 | 8.49371e-05 / -8.49371e-05 | 0.000395489 / -0.000395489 | 0.000334158 / -0.000334158 | 0.000396058 / -0.000396058 | 0.000229648 / -0.000229648 | 0.000179457 / -0.000179457 | 0.000137133 / -0.000137133 | 0.000177443 / -0.000177443 | 0.000349018 / -0.000349018 | 0.000629926 / -0.000629926 | 0.000518513 / -0.000518513 | 7.26608e-05 / -7.26608e-05 | 0 / 0 | 0 / 0 | 4.82707e-06 / -4.82707e-06 | 4.4813e-05 / -4.4813e-05 |
 | Pile-up uncertainty | -0.0859637 / 0.0859637 | -0.0238031 / 0.0238031 | -0.0579693 / 0.0579693 | 0.00684644 / -0.00684644 | -0.015489 / 0.015489 | 0.00615508 / -0.00615508 | 0.0749794 / -0.0749794 | 0.0261971 / -0.0261971 | 0.0159277 / -0.0159277 | 0.0108805 / -0.0108805 | -0.114414 / 0.114414 | 0.0394441 / -0.0394441 | -0.0548374 / 0.0548374 | 0 / 0 | 0 / 0 | -0.145573 / 0.145573 | 0.228114 / -0.228114 |
 | btag B EV 0 | -0.0473255 / 0.0473255 | -0.0487422 / 0.0487422 | -0.0913679 / 0.0913679 | -0.0841717 / 0.0841717 | -0.085308 / 0.085308 | 0 / 0 | 0 / 0 | -0.115371 / 0.115371 | 0 / 0 | 0 / 0 | -0.126269 / 0.126269 | -0.090288 / 0.090288 | -0.104531 / 0.104531 | 0 / 0 | 0 / 0 | -0.0752522 / 0.0752522 | -0.0999871 / 0.0999871 |
 | btag B EV 1 | -0.0133477 / 0.0133477 | -0.0206658 / 0.0206658 | -0.0287477 / 0.0287477 | -0.0374846 / 0.0374846 | -0.0367579 / 0.0367579 | 0 / 0 | 0 / 0 | -0.0153731 / 0.0153731 | 0 / 0 | 0 / 0 | -0.00936326 / 0.00936326 | -0.0275091 / 0.0275091 | -0.0237225 / 0.0237225 | 0 / 0 | 0 / 0 | -0.0552536 / 0.0552536 | -0.0152897 / 0.0152897 |
 | btag B EV 2 | 0.0150915 / -0.0150915 | 0.0100335 / -0.0100335 | 0.0214665 / -0.0214665 | 0.0219457 / -0.0219457 | 0.0230539 / -0.0230539 | 0 / 0 | 0 / 0 | 0.0178897 / -0.0178897 | 0 / 0 | 0 / 0 | 0.021884 / -0.021884 | 0.0177228 / -0.0177228 | 0.0226416 / -0.0226416 | 0 / 0 | 0 / 0 | 0.00988354 / -0.00988354 | 0.0195747 / -0.0195747 |
 | btag B EV 3 | -0.00127696 / 0.00127696 | 0.00260007 / -0.00260007 | -0.00106661 / 0.00106661 | 0.00164102 / -0.00164102 | 0.000505909 / -0.000505909 | 0 / 0 | 0 / 0 | -0.00292408 / 0.00292408 | 0 / 0 | 0 / 0 | -0.00658132 / 0.00658132 | -0.00135826 / 0.00135826 | -0.00542332 / 0.00542332 | 0 / 0 | 0 / 0 | 0.00262682 / -0.00262682 | -0.00619415 / 0.00619415 |
 | btag B EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag B EV 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 0 | -0.113941 / 0.113941 | -0.30642 / 0.30642 | -0.0342242 / 0.0342242 | -0.011262 / 0.011262 | -0.00694511 / 0.00694511 | -0.000428299 / 0.000428299 | -0.56442 / 0.56442 | -0.0324107 / 0.0324107 | -0.04065 / 0.04065 | -0.549816 / 0.549816 | -0.0143821 / 0.0143821 | -0.0653132 / 0.0653132 | -0.0168807 / 0.0168807 | 0 / 0 | 0 / 0 | -0.0417509 / 0.0417509 | -0.00506409 / 0.00506409 |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 0 | -0.764351 / 0.764351 | 0 / 0 | -0.0162338 / 0.0162338 | -0.00469979 / 0.00469979 | -0.00118971 / 0.00118971 | -0.970606 / 0.970606 | -0.321736 / 0.321736 | -0.0389687 / 0.0389687 | -0.970606 / 0.970606 | -0.362072 / 0.362072 | -0.0242917 / 0.0242917 | -0.0212705 / 0.0212705 | -0.0118954 / 0.0118954 | 0 / 0 | 0 / 0 | 0 / 0 | -0.337678 / 0.337678 |
 | btag L EV 1 | -0.00425718 / 0.00425718 | 0 / 0 | -4.84737e-05 / 4.84737e-05 | -4.47899e-06 / 4.47899e-06 | -0.000114019 / 0.000114019 | 0.00438465 / -0.00438465 | 0.00126105 / -0.00126105 | 0.000353076 / -0.000353076 | 0.000644207 / -0.000644207 | -0.000106556 / 0.000106556 | -7.52826e-05 / 7.52826e-05 | 0.000259751 / -0.000259751 | 6.50876e-06 / -6.50876e-06 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00497758 / 0.00497758 |
 | btag L EV 2 | 0.00162828 / -0.00162828 | 0 / 0 | 6.49623e-05 / -6.49623e-05 | 3.12016e-05 / -3.12016e-05 | 0.000164972 / -0.000164972 | 0.000939742 / -0.000939742 | 0.000780793 / -0.000780793 | -7.13679e-05 / 7.13679e-05 | -0.000270218 / 0.000270218 | -2.26372e-05 / 2.26372e-05 | 1.41609e-05 / -1.41609e-05 | 0.000316989 / -0.000316989 | 6.30516e-05 / -6.30516e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00170532 / -0.00170532 |
 | btag L EV 3 | -0.000881114 / 0.000881114 | 0 / 0 | 5.11264e-05 / -5.11264e-05 | -5.84779e-05 / 5.84779e-05 | -1.04005e-05 / 1.04005e-05 | -0.00120773 / 0.00120773 | 0.000131684 / -0.000131684 | -7.04863e-05 / 7.04863e-05 | -0.0017218 / 0.0017218 | -0.000293188 / 0.000293188 | -2.21824e-05 / 2.21824e-05 | 0.000177412 / -0.000177412 | -1.7954e-05 / 1.7954e-05 | 0 / 0 | 0 / 0 | 0 / 0 | -0.000586332 / 0.000586332 |
 | btag L EV 4 | 0.00242892 / -0.00242892 | 0 / 0 | 7.00143e-06 / -7.00143e-06 | -0.000139573 / 0.000139573 | 4.04539e-05 / -4.04539e-05 | 0.000347821 / -0.000347821 | 0.000123913 / -0.000123913 | -7.80718e-05 / 7.80718e-05 | 0.000810653 / -0.000810653 | 0.000286959 / -0.000286959 | 2.82613e-05 / -2.82613e-05 | 5.65505e-05 / -5.65505e-05 | -3.32388e-06 / 3.32388e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00217437 / -0.00217437 |
 | btag L EV 5 | -0.00110407 / 0.00110407 | 0 / 0 | 1.44151e-05 / -1.44151e-05 | -4.25763e-05 / 4.25763e-05 | 1.71214e-05 / -1.71214e-05 | -0.000436697 / 0.000436697 | -4.66034e-05 / 4.66034e-05 | 1.47657e-05 / -1.47657e-05 | -0.000608444 / 0.000608444 | -0.000171227 / 0.000171227 | -1.21765e-05 / 1.21765e-05 | 2.28288e-06 / -2.28288e-06 | 1.36981e-05 / -1.36981e-05 | 0 / 0 | 0 / 0 | 0 / 0 | -0.000911505 / 0.000911505 |
 | btag L EV 6 | 5.98943e-06 / -5.98943e-06 | 0 / 0 | -1.31876e-05 / 1.31876e-05 | 3.94585e-05 / -3.94585e-05 | 9.33404e-06 / -9.33404e-06 | 0.000386339 / -0.000386339 | 1.96112e-05 / -1.96112e-05 | 7.91381e-06 / -7.91381e-06 | 0.000456691 / -0.000456691 | 4.47413e-05 / -4.47413e-05 | 5.90936e-06 / -5.90936e-06 | -4.91424e-05 / 4.91424e-05 | 1.34272e-05 / -1.34272e-05 | 0 / 0 | 0 / 0 | 0 / 0 | -2.89098e-05 / 2.89098e-05 |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 11 | 0.0268301 / -0.0268301 | 0 / 0 | -0.00416804 / 0.00416804 | -0.000886116 / 0.000886116 | -0.00222413 / 0.00222413 | -0.492519 / 0.492519 | -0.0748318 / 0.0748318 | -0.0157846 / 0.0157846 | -0.399084 / 0.399084 | -0.0761846 / 0.0761846 | -0.00467565 / 0.00467565 | -0.0139217 / 0.0139217 | -0.00481355 / 0.00481355 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0163778 / 0.0163778 |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 13 | -0.00594094 / 0.00594094 | 0 / 0 | -0.000527714 / 0.000527714 | -0.000424575 / 0.000424575 | -6.39461e-05 / 6.39461e-05 | 0.43904 / -0.43904 | 0.0688007 / -0.0688007 | 0.00924488 / -0.00924488 | 0.426215 / -0.426215 | 0.102686 / -0.102686 | 0.0074946 / -0.0074946 | 0.0601308 / -0.0601308 | 0.00288271 / -0.00288271 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00833386 / 0.00833386 |
 | btag L EV 14 | -0.0523046 / 0.0523046 | 0 / 0 | -0.00514869 / 0.00514869 | -0.000559282 / 0.000559282 | -0.00144626 / 0.00144626 | -0.325674 / 0.325674 | -0.0555112 / 0.0555112 | -0.0112727 / 0.0112727 | -0.267657 / 0.267657 | -0.0498833 / 0.0498833 | -0.00301798 / 0.00301798 | 0.00971946 / -0.00971946 | -0.00327356 / 0.00327356 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0519609 / 0.0519609 |
 | btag L EV 15 | -0.0210458 / 0.0210458 | 0 / 0 | -0.00179573 / 0.00179573 | 0.000300648 / -0.000300648 | -6.60425e-05 / 6.60425e-05 | -0.0933114 / 0.0933114 | -0.015808 / 0.015808 | -0.00284178 / 0.00284178 | -0.086943 / 0.086943 | -0.0175392 / 0.0175392 | -0.00123313 / 0.00123313 | 0.00225078 / -0.00225078 | -0.000713285 / 0.000713285 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0210692 / 0.0210692 |
 | btag L EV 16 | -0.0349061 / 0.0349061 | 0 / 0 | -0.00198977 / 0.00198977 | 0.000115538 / -0.000115538 | -0.000391846 / 0.000391846 | 0.0548997 / -0.0548997 | 0.0120146 / -0.0120146 | 0.000560459 / -0.000560459 | 0.0631388 / -0.0631388 | 0.014481 / -0.014481 | 0.00132341 / -0.00132341 | -0.00159038 / 0.00159038 | 0.000358637 / -0.000358637 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0372412 / 0.0372412 |
 | b-tag extrap. | 0.00159067 / -0.00159067 | 0.00528092 / -0.00528092 | 0.00193753 / -0.00193753 | 0.00183044 / -0.00183044 | 0.00205007 / -0.00205007 | 1.30414e-05 / -1.30414e-05 | 0.0141189 / -0.0141189 | 0.0031126 / -0.0031126 | 0.000472188 / -0.000472188 | 0.0260653 / -0.0260653 | 0.000410555 / -0.000410555 | 0.00388814 / -0.00388814 | 0.00530014 / -0.00530014 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000582244 / -0.000582244 |
 | b-tag extrap. from charm | 0 / 0 | 0.0554882 / -0.0554882 | 0.0048436 / -0.0048436 | 0.00224711 / -0.00224711 | 0.00148325 / -0.00148325 | 0.000657379 / -0.000657379 | 4.981e-05 / -4.981e-05 | 2.27415e-06 / -2.27415e-06 | 0.0614085 / -0.0614085 | 0.0160383 / -0.0160383 | 0.00255987 / -0.00255987 | 0.0097929 / -0.0097929 | 0.000624173 / -0.000624173 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JVT uncertainty | 0.00375138 / -0.00375138 | 0.00151297 / -0.00151297 | -0.000462914 / 0.000462914 | -0.00095293 / 0.00095293 | -0.000547177 / 0.000547177 | 0.00727041 / -0.00727041 | 0.00506662 / -0.00506662 | 0.00865972 / -0.00865972 | 0.00788251 / -0.00788251 | 0.00193437 / -0.00193437 | 0.00878499 / -0.00878499 | 0.00553817 / -0.00553817 | 0.00533763 / -0.00533763 | 0 / 0 | 0 / 0 | -0.00490275 / 0.00490275 | 0.00616831 / -0.00616831 |
 | Electron E_{T} res. | 0 / 0 | 0 / 0 | -1.13471e-06 / 1.13471e-06 | -0.00108697 / 0.00108697 | -0.000456275 / 0.000456275 | 0.000116474 / -0.000116474 | -0.000119189 / 0.000119189 | 0.00198795 / -0.00198795 | -7.55489e-05 / 7.55489e-05 | 3.70873e-05 / -3.70873e-05 | 2.11298e-05 / -2.11298e-05 | 0 / 0 | -4.13358e-05 / 4.13358e-05 | 0 / 0 | 0 / 0 | 0.00054872 / -0.00054872 | -0.000232277 / 0.000232277 |
 | Electron E_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 0.000572476 / -0.000572476 | 0.000230803 / -0.000230803 | 0.000376045 / -0.000376045 | 0.00015696 / -0.00015696 | 6.79477e-05 / -6.79477e-05 | 0.000769734 / -0.000769734 | -5.75384e-05 / 5.75384e-05 | -6.72046e-06 / 6.72046e-06 | 0 / 0 | -3.38428e-06 / 3.38428e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 5.09505e-05 / -5.09505e-05 |
 | Muon ID p_{T} res. | 0 / 0 | 0.000253328 / -0.000253328 | -9.02788e-06 / 9.02788e-06 | 0.00072799 / -0.00072799 | 0.000360058 / -0.000360058 | -0.000132092 / 0.000132092 | -0.000105181 / 0.000105181 | -5.67968e-06 / 5.67968e-06 | -0.000926942 / 0.000926942 | 0.00020158 / -0.00020158 | -0.0662313 / 0.0662313 | 5.01772e-05 / -5.01772e-05 | 5.17168e-05 / -5.17168e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon MS p_{T} res. | 0 / 0 | 0 / 0 | -3.89653e-07 / 3.89653e-07 | 0.000723767 / -0.000723767 | -7.23055e-05 / 7.23055e-05 | -0.000104769 / 0.000104769 | -4.13683e-05 / 4.13683e-05 | -1.81951e-05 / 1.81951e-05 | -0.000980467 / 0.000980467 | 3.76569e-05 / -3.76569e-05 | 6.19882e-06 / -6.19882e-06 | 0 / 0 | -3.38428e-06 / 3.38428e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | -0.000737849 / 0.000737849 | 0.000401133 / -0.000401133 | -0.000457461 / 0.000457461 | -9.69497e-05 / 9.69497e-05 | -1.2026e-05 / 1.2026e-05 | -0.000954986 / 0.000954986 | 7.93304e-05 / -7.93304e-05 | 2.89089e-06 / -2.89089e-06 | 0 / 0 | -6.42463e-07 / 6.42463e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | b JES response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Effective NP 1 | -0.0389579 / 0.0389579 | -0.194968 / 0.194968 | -0.0232067 / 0.0232067 | -0.00608063 / 0.00608063 | -0.0274093 / 0.0274093 | 0.0584408 / -0.0584408 | 0.0395951 / -0.0395951 | 0.0220299 / -0.0220299 | 0.0661347 / -0.0661347 | 0.037559 / -0.037559 | 0.0291217 / -0.0291217 | -0.0465489 / 0.0465489 | -0.0154512 / 0.0154512 | 0 / 0 | 0 / 0 | -0.138977 / 0.138977 | 0.0952702 / -0.0952702 |
 | Effective NP 2 | -0.000174463 / 0.000174463 | -0.000222653 / 0.000222653 | 0.00754041 / -0.00754041 | 0.00154339 / -0.00154339 | 0.00690855 / -0.00690855 | -0.0142698 / 0.0142698 | -0.0107389 / 0.0107389 | -0.00371571 / 0.00371571 | -0.0160168 / 0.0160168 | -0.00491198 / 0.00491198 | -0.00775351 / 0.00775351 | -0.000270575 / 0.000270575 | -0.00935213 / 0.00935213 | 0 / 0 | 0 / 0 | -0.00336972 / 0.00336972 | 0.0049733 / -0.0049733 |
 | Effective NP 3 | 2.88486e-05 / -2.88486e-05 | 0.000214559 / -0.000214559 | -0.00013711 / 0.00013711 | -0.000627071 / 0.000627071 | -0.00097061 / 0.00097061 | 0.00109147 / -0.00109147 | 0.000538081 / -0.000538081 | 0.000407056 / -0.000407056 | 0.00342423 / -0.00342423 | -0.000340521 / 0.000340521 | 0.000700951 / -0.000700951 | 6.56876e-05 / -6.56876e-05 | -1.19278e-05 / 1.19278e-05 | 0 / 0 | 0 / 0 | 0.000154465 / -0.000154465 | 0.000169635 / -0.000169635 |
 | Effective NP 4 | 0.000109188 / -0.000109188 | -0.000112074 / 0.000112074 | 0.00135851 / -0.00135851 | 0.000739843 / -0.000739843 | 0.000728735 / -0.000728735 | -0.00170711 / 0.00170711 | -0.000388473 / 0.000388473 | 0.00011991 / -0.00011991 | -0.00169533 / 0.00169533 | 8.02245e-05 / -8.02245e-05 | 0.000485375 / -0.000485375 | -6.69393e-05 / 6.69393e-05 | 0.000395159 / -0.000395159 | 0 / 0 | 0 / 0 | -0.000138551 / 0.000138551 | -2.59601e-05 / 2.59601e-05 |
 | Effective NP 5 | -0.000142179 / 0.000142179 | -3.86183e-06 / 3.86183e-06 | -0.000192076 / 0.000192076 | -0.00043467 / 0.00043467 | 0.000858393 / -0.000858393 | -4.27408e-05 / 4.27408e-05 | -7.64547e-05 / 7.64547e-05 | -0.000876025 / 0.000876025 | -0.000146478 / 0.000146478 | -0.000273887 / 0.000273887 | -0.000774562 / 0.000774562 | -8.43206e-05 / 8.43206e-05 | -0.000465738 / 0.000465738 | 0 / 0 | 0 / 0 | -0.000158548 / 0.000158548 | -0.000438002 / 0.000438002 |
 | Effective NP 6 | 0.000138634 / -0.000138634 | 6.16014e-05 / -6.16014e-05 | -0.000110713 / 0.000110713 | -0.000687766 / 0.000687766 | -0.0012721 / 0.0012721 | 0.00239406 / -0.00239406 | -0.000678024 / 0.000678024 | 0.0007596 / -0.0007596 | 0.00335541 / -0.00335541 | 0.00040904 / -0.00040904 | 0.0014483 / -0.0014483 | 8.55592e-05 / -8.55592e-05 | 0.000221964 / -0.000221964 | 0 / 0 | 0 / 0 | 0.000144959 / -0.000144959 | 0.000419316 / -0.000419316 |
