 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.0297306 / -0.0297306 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light PS & Had | -0.046719 / 0.046719 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light ISR/FSR | -0.0241936 / 0.0241936 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0.0213739 / -0.0213739 | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0.0213737 / -0.0213737 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0 / 0 | 0 / 0 | 0.0213739 / -0.0213739 | 0.0213739 / -0.0213739 |
 | t#bar{t} inclusive cross section | 0.0502715 / -0.0502715 | 0.0502714 / -0.0502714 | 0.0502715 / -0.0502715 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0502715 / -0.0502715 |
 | Electron ID | 0.0083643 / -0.0083643 | 0.00516369 / -0.00516369 | 0.00332122 / -0.00332122 | 0.00368169 / -0.00368169 | 0.0035978 / -0.0035978 | 0.00389377 / -0.00389377 | 0.00336418 / -0.00336418 | 0.00610178 / -0.00610178 | 0.00520942 / -0.00520942 | 0.00328113 / -0.00328113 | 0.00814923 / -0.00814923 | 0.00224873 / -0.00224873 | 0.00704857 / -0.00704857 | 0 / 0 | 0 / 0 | 0.00352835 / -0.00352835 | 0.00256641 / -0.00256641 |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon ID (stat.) | 0.000664625 / -0.000664625 | 0.000887965 / -0.000887965 | 0.000902863 / -0.000902863 | 0.000881029 / -0.000881029 | 0.000847619 / -0.000847619 | 0.000932 / -0.000932 | 0.00111292 / -0.00111292 | 0.000681589 / -0.000681589 | 0.000620306 / -0.000620306 | 0.000943544 / -0.000943544 | 0.00230674 / -0.00230674 | 0.000974022 / -0.000974022 | 0.000906341 / -0.000906341 | 0 / 0 | 0 / 0 | 0.000360331 / -0.000360331 | 0.000743178 / -0.000743178 |
