 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | t#bar{t}+light generator | 0.0529638 / -0.0529638 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+light PS & Had | 0.0175874 / -0.0175874 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+light ISR/FSR | -0.0308374 / 0.0308374 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Luminosity | 0.0213535 / -0.0213535 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213535 / -0.0213535 | 0.0213534 / -0.0213534 | 0.0213535 / -0.0213535 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0 / 0 | 0 / 0 | 0.0213534 / -0.0213534 |
 | t#bar{t} inclusive cross section | 0.0501229 / -0.0501229 | 0.050123 / -0.050123 | 0.050123 / -0.050123 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0501229 / -0.0501229 |
 | Electron ID | 0.00265316 / -0.00265316 | 0.00296069 / -0.00296069 | 0.00359045 / -0.00359045 | 0.00374844 / -0.00374844 | 0.0037288 / -0.0037288 | 0.00419169 / -0.00419169 | 0.0044671 / -0.0044671 | 0.00429728 / -0.00429728 | 0.00541082 / -0.00541082 | 0.00520592 / -0.00520592 | 0.00719852 / -0.00719852 | 0.00313229 / -0.00313229 | 0.00956713 / -0.00956713 | 0.00467677 / -0.00467677 | 0 / 0 | 0 / 0 | 0.0034442 / -0.0034442 |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon ID (stat.) | 0.000858825 / -0.000858825 | 0.000998495 / -0.000998495 | 0.000847323 / -0.000847323 | 0.000814521 / -0.000814521 | 0.000879028 / -0.000879028 | 0.000915921 / -0.000915921 | 0.00089979 / -0.00089979 | 0.00102927 / -0.00102927 | 0.000632117 / -0.000632117 | 0.000823821 / -0.000823821 | 0.000456443 / -0.000456443 | 0.00125761 / -0.00125761 | 0.000734233 / -0.000734233 | 0.00072103 / -0.00072103 | 0 / 0 | 0 / 0 | 0.00129276 / -0.00129276 |
 | Muon ID (syst.) | 0.00296014 / -0.00296014 | 0.0038784 / -0.0038784 | 0.00331961 / -0.00331961 | 0.00358712 / -0.00358712 | 0.00351029 / -0.00351029 | 0.00414453 / -0.00414453 | 0.0040703 / -0.0040703 | 0.00452336 / -0.00452336 | 0.00300761 / -0.00300761 | 0.00416903 / -0.00416903 | 0.00258119 / -0.00258119 | 0.00402749 / -0.00402749 | 0.00304107 / -0.00304107 | 0.00320561 / -0.00320561 | 0 / 0 | 0 / 0 | 0.00550962 / -0.00550962 |
 | Muon Trig. (stat.) | 0.00290905 / -0.00290905 | 0.00257294 / -0.00257294 | 0.00250008 / -0.00250008 | 0.0027051 / -0.0027051 | 0.00264622 / -0.00264622 | 0.0025469 / -0.0025469 | 0.00273622 / -0.00273622 | 0.00247047 / -0.00247047 | 0.00182775 / -0.00182775 | 0.00198571 / -0.00198571 | 0.00115555 / -0.00115555 | 0.00290783 / -0.00290783 | 0.00277562 / -0.00277562 | 0.00284876 / -0.00284876 | 0 / 0 | 0 / 0 | 0.00279921 / -0.00279921 |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon TTVA (syst.) | 0.000578044 / -0.000578044 | 0.000364137 / -0.000364137 | 0.00041542 / -0.00041542 | 0.000361087 / -0.000361087 | 0.000388269 / -0.000388269 | 0.000230378 / -0.000230378 | 0.000269024 / -0.000269024 | 0.000156662 / -0.000156662 | 0.000176172 / -0.000176172 | 0.000128353 / -0.000128353 | 0.000160962 / -0.000160962 | 0.000373604 / -0.000373604 | 0.00034976 / -0.00034976 | 0.000235172 / -0.000235172 | 0 / 0 | 0 / 0 | 0.000224558 / -0.000224558 |
 | Pile-up uncertainty | -0.0623702 / 0.0623702 | 0.182498 / -0.182498 | 0.00758243 / -0.00758243 | -0.0140963 / 0.0140963 | -0.0271849 / 0.0271849 | 0.0175139 / -0.0175139 | 0.00833534 / -0.00833534 | -0.0690348 / 0.0690348 | 0.00140976 / -0.00140976 | -0.0321027 / 0.0321027 | 0.188706 / -0.188706 | 0.0554743 / -0.0554743 | 0.0113643 / -0.0113643 | -0.0805445 / 0.0805445 | 0 / 0 | 0 / 0 | -0.0280159 / 0.0280159 |
 | btag B EV 0 | -0.0461281 / 0.0461281 | -0.0512205 / 0.0512205 | -0.0887368 / 0.0887368 | -0.0843072 / 0.0843072 | -0.0839453 / 0.0839453 | 0 / 0 | 0 / 0 | -0.110493 / 0.110493 | 0 / 0 | 0 / 0 | -0.0985531 / 0.0985531 | -0.0973026 / 0.0973026 | -0.106418 / 0.106418 | -0.0788123 / 0.0788123 | 0 / 0 | 0 / 0 | -0.075388 / 0.075388 |
 | btag B EV 1 | -0.0173893 / 0.0173893 | -0.0139569 / 0.0139569 | -0.0299855 / 0.0299855 | -0.0374496 / 0.0374496 | -0.0359827 / 0.0359827 | 0 / 0 | 0 / 0 | -0.0238808 / 0.0238808 | 0 / 0 | 0 / 0 | -0.0365271 / 0.0365271 | -0.0277609 / 0.0277609 | -0.0259455 / 0.0259455 | -0.0568782 / 0.0568782 | 0 / 0 | 0 / 0 | -0.0354831 / 0.0354831 |
