 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | btag B EV 2 | 0.0133792 / -0.0133792 | 0.0122478 / -0.0122478 | 0.0207261 / -0.0207261 | 0.020327 / -0.020327 | 0.0221715 / -0.0221715 | 0 / 0 | 0 / 0 | 0.0171767 / -0.0171767 | 0 / 0 | 0 / 0 | 0.0157655 / -0.0157655 | 0.0195449 / -0.0195449 | 0.018751 / -0.018751 | 0.00979803 / -0.00979803 | 0 / 0 | 0 / 0 | 0.0194109 / -0.0194109 |
 | btag B EV 3 | -0.000599173 / 0.000599173 | -0.00294058 / 0.00294058 | 0.000104521 / -0.000104521 | 0.000690689 / -0.000690689 | 0.000851867 / -0.000851867 | 0 / 0 | 0 / 0 | -0.00438609 / 0.00438609 | 0 / 0 | 0 / 0 | -0.0023642 / 0.0023642 | -0.00273602 / 0.00273602 | -0.00300206 / 0.00300206 | 0.00298898 / -0.00298898 | 0 / 0 | 0 / 0 | -0.000709286 / 0.000709286 |
 | btag B EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag B EV 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag C EV 0 | -0.141287 / 0.141287 | -0.291967 / 0.291967 | -0.024045 / 0.024045 | -0.0109597 / 0.0109597 | -0.00807303 / 0.00807303 | -0.000694395 / 0.000694395 | -0.496304 / 0.496304 | -0.0205926 / 0.0205926 | -0.0305584 / 0.0305584 | -0.528809 / 0.528809 | -0.00268048 / 0.00268048 | -0.0150614 / 0.0150614 | -0.0177396 / 0.0177396 | -0.00990181 / 0.00990181 | 0 / 0 | 0 / 0 | -0.0598031 / 0.0598031 |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 0 | -0.425784 / 0.425784 | -0.01507 / 0.01507 | -0.00375275 / 0.00375275 | -0.00762784 / 0.00762784 | -0.00349025 / 0.00349025 | -0.958273 / 0.958273 | -0.377189 / 0.377189 | -0.0203755 / 0.0203755 | -0.975685 / 0.975685 | -0.312005 / 0.312005 | -0.02666 / 0.02666 | -0.00710749 / 0.00710749 | -0.00609318 / 0.00609318 | 0.000212069 / -0.000212069 | 0 / 0 | 0 / 0 | 0.00745082 / -0.00745082 |
 | btag L EV 1 | 0.00735321 / -0.00735321 | 1.75843e-05 / -1.75843e-05 | 0.000310131 / -0.000310131 | 0.000100493 / -0.000100493 | 0.000106929 / -0.000106929 | 0.00480853 / -0.00480853 | 0.00251711 / -0.00251711 | 0.000157446 / -0.000157446 | 0.00462065 / -0.00462065 | 2.82356e-07 / -2.82356e-07 | 0.000351148 / -0.000351148 | -0.000729255 / 0.000729255 | 0.000196879 / -0.000196879 | -1.36728e-05 / 1.36728e-05 | 0 / 0 | 0 / 0 | -2.24063e-05 / 2.24063e-05 |
 | btag L EV 2 | -4.66117e-05 / 4.66117e-05 | -0.000137975 / 0.000137975 | -4.73953e-05 / 4.73953e-05 | -5.97026e-06 / 5.97026e-06 | 2.97666e-05 / -2.97666e-05 | 0.00126272 / -0.00126272 | 0.000761381 / -0.000761381 | 0.000108992 / -0.000108992 | 0.00147919 / -0.00147919 | -0.00101153 / 0.00101153 | -0.00271446 / 0.00271446 | 0.000650218 / -0.000650218 | 0.000219816 / -0.000219816 | -4.59765e-06 / 4.59765e-06 | 0 / 0 | 0 / 0 | 0.000363873 / -0.000363873 |
 | btag L EV 3 | 0.00176596 / -0.00176596 | -0.000430495 / 0.000430495 | 1.92226e-05 / -1.92226e-05 | -1.38874e-05 / 1.38874e-05 | 3.69007e-06 / -3.69007e-06 | -0.00165892 / 0.00165892 | -5.41863e-05 / 5.41863e-05 | 3.7705e-05 / -3.7705e-05 | -0.000947802 / 0.000947802 | -0.00122028 / 0.00122028 | 0.00016666 / -0.00016666 | -0.000239745 / 0.000239745 | 0.00110919 / -0.00110919 | -4.23743e-06 / 4.23743e-06 | 0 / 0 | 0 / 0 | 0.000258831 / -0.000258831 |
 | btag L EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 5 | 0.000354394 / -0.000354394 | -1.24106e-05 / 1.24106e-05 | 8.18298e-06 / -8.18298e-06 | 1.84372e-06 / -1.84372e-06 | 2.9931e-06 / -2.9931e-06 | -0.00050764 / 0.00050764 | -0.00021427 / 0.00021427 | -2.65534e-06 / 2.65534e-06 | -0.000344837 / 0.000344837 | -0.000134274 / 0.000134274 | -9.30651e-05 / 9.30651e-05 | -0.000118949 / 0.000118949 | -0.000113204 / 0.000113204 | -5.58836e-07 / 5.58836e-07 | 0 / 0 | 0 / 0 | -6.34257e-05 / 6.34257e-05 |
 | btag L EV 6 | -0.000379214 / 0.000379214 | 0.000211336 / -0.000211336 | 4.80897e-06 / -4.80897e-06 | 1.0161e-05 / -1.0161e-05 | 6.33827e-06 / -6.33827e-06 | 0.000457203 / -0.000457203 | -7.49395e-06 / 7.49395e-06 | 3.74459e-05 / -3.74459e-05 | 0.000241327 / -0.000241327 | 0.000235419 / -0.000235419 | -0.00143202 / 0.00143202 | 1.40038e-06 / -1.40038e-06 | -2.49972e-07 / 2.49972e-07 | 9.65666e-07 / -9.65666e-07 | 0 / 0 | 0 / 0 | -0.000257639 / 0.000257639 |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 11 | -0.0797342 / 0.0797342 | -0.0184168 / 0.0184168 | -0.00366986 / 0.00366986 | -0.00279821 / 0.00279821 | -0.00216337 / 0.00216337 | -0.513423 / 0.513423 | -0.132084 / 0.132084 | -0.0095119 / 0.0095119 | -0.489803 / 0.489803 | -0.0873132 / 0.0873132 | -0.0032344 / 0.0032344 | -0.00423016 / 0.00423016 | -0.00563114 / 0.00563114 | 0.000193155 / -0.000193155 | 0 / 0 | 0 / 0 | -0.0292847 / 0.0292847 |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 13 | 0.0668961 / -0.0668961 | 0.0284867 / -0.0284867 | 0.00124188 / -0.00124188 | -6.77825e-05 / 6.77825e-05 | 0.000365234 / -0.000365234 | 0.363076 / -0.363076 | 0.0918582 / -0.0918582 | 0.010195 / -0.010195 | 0.406129 / -0.406129 | 0.0809845 / -0.0809845 | 0.0207715 / -0.0207715 | -0.00091236 / 0.00091236 | 0.0014058 / -0.0014058 | -4.60869e-05 / 4.60869e-05 | 0 / 0 | 0 / 0 | 0.0204972 / -0.0204972 |
 | btag L EV 14 | -0.0718353 / 0.0718353 | -0.00347017 / 0.00347017 | -0.00253992 / 0.00253992 | -0.00275996 / 0.00275996 | -0.00168218 / 0.00168218 | -0.352286 / 0.352286 | -0.0918545 / 0.0918545 | -0.00522967 / 0.00522967 | -0.317815 / 0.317815 | -0.0594764 / 0.0594764 | -0.00455287 / 0.00455287 | -0.00296877 / 0.00296877 | -0.00541978 / 0.00541978 | 0.000137595 / -0.000137595 | 0 / 0 | 0 / 0 | -0.0117861 / 0.0117861 |
 | btag L EV 15 | -0.0198745 / 0.0198745 | -0.00124864 / 0.00124864 | -0.000468234 / 0.000468234 | -0.000756929 / 0.000756929 | -0.000375542 / 0.000375542 | -0.0895096 / 0.0895096 | -0.0239132 / 0.0239132 | -0.00111455 / 0.00111455 | -0.0889999 / 0.0889999 | -0.018615 / 0.018615 | -0.00616538 / 0.00616538 | 0.000603117 / -0.000603117 | -8.12711e-05 / 8.12711e-05 | 2.98311e-05 / -2.98311e-05 | 0 / 0 | 0 / 0 | -0.00317177 / 0.00317177 |
 | btag L EV 16 | -0.00332657 / 0.00332657 | 0.0058599 / -0.0058599 | -0.00110589 / 0.00110589 | 7.31543e-05 / -7.31543e-05 | 1.4457e-05 / -1.4457e-05 | 0.0430511 / -0.0430511 | 0.00423572 / -0.00423572 | -0.000544047 / 0.000544047 | 0.0569601 / -0.0569601 | 0.0237895 / -0.0237895 | 0.00130661 / -0.00130661 | -0.00132782 / 0.00132782 | 0.00146617 / -0.00146617 | -5.01395e-06 / 5.01395e-06 | 0 / 0 | 0 / 0 | 0.00208692 / -0.00208692 |
 | b-tag extrap. | 0.00239842 / -0.00239842 | 0.00877129 / -0.00877129 | 0.00129583 / -0.00129583 | 0.0027566 / -0.0027566 | 0.00188899 / -0.00188899 | 1.57652e-05 / -1.57652e-05 | 0.0254502 / -0.0254502 | 0.00352859 / -0.00352859 | 0.000664764 / -0.000664764 | 0.0214205 / -0.0214205 | 0.00055857 / -0.00055857 | 0.00346488 / -0.00346488 | 0.00341632 / -0.00341632 | 0.0108934 / -0.0108934 | 0 / 0 | 0 / 0 | 0.00153282 / -0.00153282 |
 | b-tag extrap. from charm | 0 / 0 | 0 / 0 | 0.000954866 / -0.000954866 | 0.00116825 / -0.00116825 | 0.000703157 / -0.000703157 | 0.0013038 / -0.0013038 | 8.03693e-05 / -8.03693e-05 | 6.48753e-06 / -6.48753e-06 | 0.051905 / -0.051905 | 0.011642 / -0.011642 | 0.00108738 / -0.00108738 | 0 / 0 | 0.000813269 / -0.000813269 | -0.000218405 / 0.000218405 | 0 / 0 | 0 / 0 | -0 / -0 |
 | JVT uncertainty | 0.00532352 / -0.00532352 | 0.00386757 / -0.00386757 | 0.00467582 / -0.00467582 | 0.00277447 / -0.00277447 | 0.00257676 / -0.00257676 | 0.00869807 / -0.00869807 | 0.00785292 / -0.00785292 | 0.00938407 / -0.00938407 | 0.00866982 / -0.00866982 | 0.00825304 / -0.00825304 | 0.0088886 / -0.0088886 | 0.00909675 / -0.00909675 | 0.00155135 / -0.00155135 | -0.00820611 / 0.00820611 | 0 / 0 | 0 / 0 | 0.008494 / -0.008494 |
 | Electron E_{T} res. | 0 / 0 | -7.7188e-06 / 7.7188e-06 | 0.000442539 / -0.000442539 | -0.00074246 / 0.00074246 | -0.000145094 / 0.000145094 | 0.000487356 / -0.000487356 | -0.000297536 / 0.000297536 | -5.92547e-05 / 5.92547e-05 | -0.00137885 / 0.00137885 | -0.00180715 / 0.00180715 | -5.10216e-05 / 5.10216e-05 | -0.000130884 / 0.000130884 | 1.43159e-06 / -1.43159e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00795978 / -0.00795978 |
 | Electron E_{T} scale | 0 / 0 | 0 / 0 | -0.000463422 / 0.000463422 | -0.000601196 / 0.000601196 | 0.000684717 / -0.000684717 | 0.000603947 / -0.000603947 | 0.000144848 / -0.000144848 | 7.39098e-05 / -7.39098e-05 | -0.000167375 / 0.000167375 | -0.00086365 / 0.00086365 | 6.79473e-05 / -6.79473e-05 | 0 / 0 | 4.79817e-06 / -4.79817e-06 | 0.000376786 / -0.000376786 | 0 / 0 | 0 / 0 | 0.000605851 / -0.000605851 |
 | Muon ID p_{T} res. | 0 / 0 | 0 / 0 | -0.000110168 / 0.000110168 | -0.000775933 / 0.000775933 | 0.000325143 / -0.000325143 | -3.64043e-05 / 3.64043e-05 | -8.32677e-05 / 8.32677e-05 | 5.4615e-06 / -5.4615e-06 | 7.51589e-05 / -7.51589e-05 | 4.11868e-05 / -4.11868e-05 | -5.04625e-07 / 5.04625e-07 | 0 / 0 | 3.69657e-06 / -3.69657e-06 | -6.01414e-06 / 6.01414e-06 | 0 / 0 | 0 / 0 | 0.00534588 / -0.00534588 |
 | Muon MS p_{T} res. | 0 / 0 | 0 / 0 | -5.68394e-05 / 5.68394e-05 | -0.000192493 / 0.000192493 | 0.000247492 / -0.000247492 | 0.000215467 / -0.000215467 | 6.20089e-05 / -6.20089e-05 | -0.00130317 / 0.00130317 | -0.000635065 / 0.000635065 | -0.0153585 / 0.0153585 | 1.62125e-05 / -1.62125e-05 | 0 / 0 | -2.86472e-05 / 2.86472e-05 | -6.07375e-06 / 6.07375e-06 | 0 / 0 | 0 / 0 | 0.00631962 / -0.00631962 |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | -0.00043774 / 0.00043774 | -0.000234829 / 0.000234829 | -0.000155036 / 0.000155036 | -0.000319289 / 0.000319289 | -7.96221e-05 / 7.96221e-05 | -1.18531e-06 / 1.18531e-06 | 0.000515273 / -0.000515273 | 2.95884e-05 / -2.95884e-05 | 3.25811e-07 / -3.25811e-07 | 0 / 0 | -9.76653e-08 / 9.76653e-08 | 0 / 0 | 0 / 0 | 0 / 0 | 3.1177e-06 / -3.1177e-06 |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | b JES response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Effective NP 1 | 0.130414 / -0.130414 | 0.0235687 / -0.0235687 | -0.00354148 / 0.00354148 | -0.00438839 / 0.00438839 | -0.00567645 / 0.00567645 | 0.0656662 / -0.0656662 | 0.0443321 / -0.0443321 | 0.0509774 / -0.0509774 | 0.0498783 / -0.0498783 | 0.0425649 / -0.0425649 | 0.0130173 / -0.0130173 | 0.0421019 / -0.0421019 | 0.0183403 / -0.0183403 | -0.0337236 / 0.0337236 | 0 / 0 | 0 / 0 | -0.0351925 / 0.0351925 |
 | Effective NP 2 | -2.07534e-05 / 2.07534e-05 | -0.000166104 / 0.000166104 | 0.00155613 / -0.00155613 | 0.000734505 / -0.000734505 | 0.00311113 / -0.00311113 | -0.0137201 / 0.0137201 | -0.0161728 / 0.0161728 | -0.00614423 / 0.00614423 | -0.0117617 / 0.0117617 | -0.0150215 / 0.0150215 | -0.00311193 / 0.00311193 | 0.00215469 / -0.00215469 | 0.00512937 / -0.00512937 | 0.0258214 / -0.0258214 | 0 / 0 | 0 / 0 | 0.0171986 / -0.0171986 |
 | Effective NP 3 | -1.84774e-06 / 1.84774e-06 | 7.46846e-05 / -7.46846e-05 | -0.0011319 / 0.0011319 | 0.000652532 / -0.000652532 | 0.000191491 / -0.000191491 | 0.0016611 / -0.0016611 | 0.00112878 / -0.00112878 | 0.000388987 / -0.000388987 | 0.0013346 / -0.0013346 | 6.73532e-06 / -6.73532e-06 | 0.000279518 / -0.000279518 | 8.30749e-05 / -8.30749e-05 | 0.000258945 / -0.000258945 | 0.000185288 / -0.000185288 | 0 / 0 | 0 / 0 | 0.00023824 / -0.00023824 |
 | Effective NP 4 | 8.95648e-07 / -8.95648e-07 | 2.07443e-05 / -2.07443e-05 | 0.00115114 / -0.00115114 | 8.23801e-06 / -8.23801e-06 | -0.0001234 / 0.0001234 | -0.000894253 / 0.000894253 | -0.00143325 / 0.00143325 | 0.000535235 / -0.000535235 | -0.000599921 / 0.000599921 | 0.000141442 / -0.000141442 | 0.000267114 / -0.000267114 | -4.63347e-05 / 4.63347e-05 | 0.000289791 / -0.000289791 | -7.41497e-05 / 7.41497e-05 | 0 / 0 | 0 / 0 | -0.000100118 / 0.000100118 |
 | Effective NP 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Effective NP 6 | 7.95564e-06 / -7.95564e-06 | 0.000109626 / -0.000109626 | -0.00205108 / 0.00205108 | -0.000263853 / 0.000263853 | -0.000341222 / 0.000341222 | 0.00233942 / -0.00233942 | 0.00425466 / -0.00425466 | 0.000720166 / -0.000720166 | 0.0021167 / -0.0021167 | 0.00124764 / -0.00124764 | 0.000810053 / -0.000810053 | 0.000362144 / -0.000362144 | 0.000691025 / -0.000691025 | 3.62739e-05 / -3.62739e-05 | 0 / 0 | 0 / 0 | -0.0124642 / 0.0124642 |
