NUISANCE_PARAMETERS
ttbarlight_generator  -0.200063 +0.781639 -0.781639
ttbarlight_isr  -0.22427 +0.832305 -0.832305
gamma_stat_c1lep4jex2bex_bin_0  1.00013 +0.00303244 -0.00303244
gamma_stat_c1lep4jex3bex_bin_0  1.02149 +0.0231658 -0.0231658
gamma_stat_c1lep4jex3bex_bin_1  0.991845 +0.0227099 -0.0227099
gamma_stat_c1lep4jex3bex_bin_2  0.991071 +0.0230434 -0.0230434
gamma_stat_c1lep4jex3bex_bin_3  1.02083 +0.0234242 -0.0234242
gamma_stat_c1lep4jex3bex_bin_4  0.98553 +0.0221637 -0.0221637
gamma_stat_c1lep4jex3bex_bin_5  0.985151 +0.0211024 -0.0211024
gamma_stat_c1lep4jex3bex_bin_6  1.00597 +0.0243582 -0.0243582
gamma_stat_c1lep4jex3bex_bin_7  1.00609 +0.0295533 -0.0295533
gamma_stat_c1lep4jex3bex_bin_8  0.981378 +0.0362666 -0.0362666
gamma_stat_c1lep4jex3bex_bin_9  0.960715 +0.0521197 -0.0521197
gamma_stat_c1lep4jex4bin_bin_0  0.984811 +0.0884638 -0.0884638
gamma_stat_c1lep4jex4bin_bin_1  0.981385 +0.116383 -0.116383
gamma_stat_c1lep5jex2bex_bin_0  0.999886 +0.00416451 -0.00416451
gamma_stat_c1lep5jex3bex_bin_0  0.987194 +0.0206281 -0.0206281
gamma_stat_c1lep5jex3bex_bin_1  1.00853 +0.0207837 -0.0207837
gamma_stat_c1lep5jex3bex_bin_2  1.00104 +0.0208245 -0.0208245
gamma_stat_c1lep5jex3bex_bin_3  1.00724 +0.0212516 -0.0212516
gamma_stat_c1lep5jex3bex_bin_4  0.984084 +0.0205043 -0.0205043
gamma_stat_c1lep5jex3bex_bin_5  0.990844 +0.0195442 -0.0195442
gamma_stat_c1lep5jex3bex_bin_6  1.02033 +0.0217253 -0.0217253
gamma_stat_c1lep5jex3bex_bin_7  0.98959 +0.0273103 -0.0273103
gamma_stat_c1lep5jex3bex_bin_8  1.05645 +0.0363773 -0.0363773
gamma_stat_c1lep5jex3bex_bin_9  0.989768 +0.0702011 -0.0702011
gamma_stat_c1lep5jex4bin_bin_0  1.01588 +0.0389528 -0.0389528
gamma_stat_c1lep5jex4bin_bin_1  0.964785 +0.0646645 -0.0646645
gamma_stat_c1lep6jin2bex_bin_0  0.999573 +0.005007 -0.005007
gamma_stat_c1lep6jin3bex_bin_0  0.989208 +0.0172666 -0.0172666
