 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | Muon Isol. (stat.) | 0.000151528 / -0.000151528 | 0.000151021 / -0.000151021 | 0.000148495 / -0.000148495 | 0.000152488 / -0.000152488 | 0.000147879 / -0.000147879 | 0.000166474 / -0.000166474 | 0.0001855 / -0.0001855 | 0.000171595 / -0.000171595 | 0.000108601 / -0.000108601 | 0.000113415 / -0.000113415 | 0.000114425 / -0.000114425 | 0.000159648 / -0.000159648 | 0.000154826 / -0.000154826 | 0.000149887 / -0.000149887 | 0 / 0 | 0 / 0 | 0.000157003 / -0.000157003 |
 | Muon Isol. (syst.) | 0.000354845 / -0.000354845 | 0.000368424 / -0.000368424 | 0.000402775 / -0.000402775 | 0.000460598 / -0.000460598 | 0.000425383 / -0.000425383 | 0.000496676 / -0.000496676 | 0.000554352 / -0.000554352 | 0.000531423 / -0.000531423 | 0.000341293 / -0.000341293 | 0.000367325 / -0.000367325 | 0.000334453 / -0.000334453 | 0.000489221 / -0.000489221 | 0.00052894 / -0.00052894 | 0.000526224 / -0.000526224 | 0 / 0 | 0 / 0 | 0.000417948 / -0.000417948 |
 | Muon TTVA (stat.) | 0.000378734 / -0.000378734 | 0.000378824 / -0.000378824 | 0.000366604 / -0.000366604 | 0.000363739 / -0.000363739 | 0.000373827 / -0.000373827 | 0.000369935 / -0.000369935 | 0.000406801 / -0.000406801 | 0.000359237 / -0.000359237 | 0.000247944 / -0.000247944 | 0.000239725 / -0.000239725 | 0.000269432 / -0.000269432 | 0.000383261 / -0.000383261 | 0.000350928 / -0.000350928 | 0.0003642 / -0.0003642 | 0 / 0 | 0 / 0 | 0.000411077 / -0.000411077 |
 | Muon TTVA (syst.) | 0.000404671 / -0.000404671 | 0.000389826 / -0.000389826 | 0.000358757 / -0.000358757 | 0.000351306 / -0.000351306 | 0.000394362 / -0.000394362 | 0.000232816 / -0.000232816 | 0.000288555 / -0.000288555 | 0.000173914 / -0.000173914 | 0.000171385 / -0.000171385 | 0.000144025 / -0.000144025 | 0.000285162 / -0.000285162 | 0.00038492 / -0.00038492 | 0.000316887 / -0.000316887 | 0.000346953 / -0.000346953 | 0 / 0 | 0 / 0 | 0.000480108 / -0.000480108 |
 | Pile-up uncertainty | 0.00853462 / -0.00853462 | -0.00349494 / 0.00349494 | -0.00178351 / 0.00178351 | 0.000303243 / -0.000303243 | -0.00452574 / 0.00452574 | 0.00670394 / -0.00670394 | -0.0202972 / 0.0202972 | 0.023935 / -0.023935 | 0.00100898 / -0.00100898 | -0.0116416 / 0.0116416 | 0.0424805 / -0.0424805 | 0.00728896 / -0.00728896 | 0.0191567 / -0.0191567 | -0.000853602 / 0.000853602 | 0 / 0 | 0 / 0 | -0.000424858 / 0.000424858 |
 | btag B EV 0 | -0.0769304 / 0.0769304 | -0.0685614 / 0.0685614 | -0.0244939 / 0.0244939 | -0.0563154 / 0.0563154 | -0.0178345 / 0.0178345 | 0 / 0 | 0 / 0 | -0.0799568 / 0.0799568 | 0 / 0 | 0 / 0 | -0.0818509 / 0.0818509 | -0.0714778 / 0.0714778 | -0.0750735 / 0.0750735 | -0.00445527 / 0.00445527 | 0 / 0 | 0 / 0 | -0.0319414 / 0.0319414 |
 | btag B EV 1 | -0.0145431 / 0.0145431 | -0.0131221 / 0.0131221 | -0.00397895 / 0.00397895 | -0.0146339 / 0.0146339 | -0.00308036 / 0.00308036 | 0 / 0 | 0 / 0 | -0.0140495 / 0.0140495 | 0 / 0 | 0 / 0 | -0.01259 / 0.01259 | -0.0188044 / 0.0188044 | -0.0182024 / 0.0182024 | 0.000377934 / -0.000377934 | 0 / 0 | 0 / 0 | -0.00581508 / 0.00581508 |
 | btag B EV 2 | 0.0111242 / -0.0111242 | 0.0096827 / -0.0096827 | 0.00270893 / -0.00270893 | 0.00724867 / -0.00724867 | 0.00174885 / -0.00174885 | 0 / 0 | 0 / 0 | 0.00810485 / -0.00810485 | 0 / 0 | 0 / 0 | 0.00952319 / -0.00952319 | 0.00802089 / -0.00802089 | 0.00763856 / -0.00763856 | 0.000881937 / -0.000881937 | 0 / 0 | 0 / 0 | 0.00372637 / -0.00372637 |
 | btag B EV 3 | -0.000590029 / 0.000590029 | -0.000489814 / 0.000489814 | -0.000494548 / 0.000494548 | 0.000115724 / -0.000115724 | -0.000124844 / 0.000124844 | 0 / 0 | 0 / 0 | -0.000909887 / 0.000909887 | 0 / 0 | 0 / 0 | -0.00159422 / 0.00159422 | -0.000263019 / 0.000263019 | -0.000678134 / 0.000678134 | -0.000353751 / 0.000353751 | 0 / 0 | 0 / 0 | -0.000284173 / 0.000284173 |
 | btag B EV 4 | -0.000207924 / 0.000207924 | -0.000190267 / 0.000190267 | -8.70644e-06 / 8.70644e-06 | -0.000227382 / 0.000227382 | 2.61315e-05 / -2.61315e-05 | 0 / 0 | 0 / 0 | -4.37739e-05 / 4.37739e-05 | 0 / 0 | 0 / 0 | 0.000151666 / -0.000151666 | -0.00025424 / 0.00025424 | -0.000256577 / 0.000256577 | -8.76507e-05 / 8.76507e-05 | 0 / 0 | 0 / 0 | -5.27285e-05 / 5.27285e-05 |
 | btag B EV 5 | -2.73876e-05 / 2.73876e-05 | -3.07405e-05 / 3.07405e-05 | -1.67776e-05 / 1.67776e-05 | -4.07969e-05 / 4.07969e-05 | -1.57549e-05 / 1.57549e-05 | 0 / 0 | 0 / 0 | -8.85478e-05 / 8.85478e-05 | 0 / 0 | 0 / 0 | -4.70765e-05 / 4.70765e-05 | -6.25889e-05 / 6.25889e-05 | -7.25618e-05 / 7.25618e-05 | -1.28214e-05 / 1.28214e-05 | 0 / 0 | 0 / 0 | -3.93967e-05 / 3.93967e-05 |
 | btag C EV 0 | -0.0102708 / 0.0102708 | -0.0307236 / 0.0307236 | -0.00214485 / 0.00214485 | -0.0142296 / 0.0142296 | -0.00517441 / 0.00517441 | -0.000183429 / 0.000183429 | -0.416037 / 0.416037 | -0.0106917 / 0.0106917 | -0.0264849 / 0.0264849 | -0.430988 / 0.430988 | -0.0121524 / 0.0121524 | -0.00962025 / 0.00962025 | -0.0146176 / 0.0146176 | -0.00261811 / 0.00261811 | 0 / 0 | 0 / 0 | -0.0147261 / 0.0147261 |
