 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | b JES response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Effective NP 1 | 0.043459 / -0.043459 | 0.0352349 / -0.0352349 | 0.0390477 / -0.0390477 | 0.0235282 / -0.0235282 | 0.0226888 / -0.0226888 | 0.084034 / -0.084034 | 0.0739559 / -0.0739559 | 0.051433 / -0.051433 | 0.069603 / -0.069603 | 0.0681102 / -0.0681102 | 0.0590879 / -0.0590879 | 0.0501409 / -0.0501409 | 0.034879 / -0.034879 | 0.000652704 / -0.000652704 | 0 / 0 | 0 / 0 | 0.0399855 / -0.0399855 |
 | Effective NP 2 | -0.0121644 / 0.0121644 | -0.00973392 / 0.00973392 | -0.00988674 / 0.00988674 | -0.00614193 / 0.00614193 | -0.00448592 / 0.00448592 | -0.0149744 / 0.0149744 | -0.015519 / 0.015519 | -0.00958584 / 0.00958584 | -0.0392088 / 0.0392088 | -0.00500636 / 0.00500636 | -0.00476272 / 0.00476272 | -0.0140503 / 0.0140503 | -0.0092912 / 0.0092912 | -4.03805e-05 / 4.03805e-05 | 0 / 0 | 0 / 0 | -0.00640356 / 0.00640356 |
 | Effective NP 3 | 0.00197059 / -0.00197059 | 0.00164113 / -0.00164113 | 0.000789595 / -0.000789595 | 0.00150612 / -0.00150612 | -9.73546e-05 / 9.73546e-05 | 0.00754343 / -0.00754343 | 0.00369545 / -0.00369545 | 0.00140899 / -0.00140899 | 0.0109793 / -0.0109793 | -0.00335574 / 0.00335574 | -0.00553941 / 0.00553941 | 0.00170993 / -0.00170993 | 0.00158649 / -0.00158649 | -0.000158419 / 0.000158419 | 0 / 0 | 0 / 0 | -0.00394665 / 0.00394665 |
 | Effective NP 4 | -0.00163451 / 0.00163451 | -0.000754968 / 0.000754968 | 0.000559379 / -0.000559379 | -0.00127334 / 0.00127334 | 0.000527138 / -0.000527138 | -0.00388154 / 0.00388154 | -0.003293 / 0.003293 | -0.00147454 / 0.00147454 | -0.00450952 / 0.00450952 | 0.0051115 / -0.0051115 | 0.00407092 / -0.00407092 | 0.00100381 / -0.00100381 | -0.00165646 / 0.00165646 | -0.00125408 / 0.00125408 | 0 / 0 | 0 / 0 | 4.48835e-06 / -4.48835e-06 |
 | Effective NP 5 | 0.000121581 / -0.000121581 | -0.000373878 / 0.000373878 | -0.000971496 / 0.000971496 | -0.000644117 / 0.000644117 | -0.000955129 / 0.000955129 | -0.00203552 / 0.00203552 | 0.00136865 / -0.00136865 | 0.00257302 / -0.00257302 | -0.00439856 / 0.00439856 | 0.000679198 / -0.000679198 | -0.000726457 / 0.000726457 | -0.00196219 / 0.00196219 | -0.00146994 / 0.00146994 | 0.00115228 / -0.00115228 | 0 / 0 | 0 / 0 | 0.000108854 / -0.000108854 |
 | Effective NP 6 | 0.00175976 / -0.00175976 | 0.00202194 / -0.00202194 | 0.00276035 / -0.00276035 | 0.00194702 / -0.00194702 | 0.000985281 / -0.000985281 | 0.00372542 / -0.00372542 | 0.000505991 / -0.000505991 | -0.00503031 / 0.00503031 | 0.0116835 / -0.0116835 | 0.00463809 / -0.00463809 | -0.000492989 / 0.000492989 | 0.00273283 / -0.00273283 | 0.0038609 / -0.0038609 | 0.00128205 / -0.00128205 | 0 / 0 | 0 / 0 | 0.00150298 / -0.00150298 |
 | Effective NP 7 | -0.00267951 / 0.00267951 | -0.00238759 / 0.00238759 | -0.00133014 / 0.00133014 | -0.00201048 / 0.00201048 | -0.00110784 / 0.00110784 | -0.00590883 / 0.00590883 | -0.0052985 / 0.0052985 | -0.00225333 / 0.00225333 | -0.0116439 / 0.0116439 | -0.00263701 / 0.00263701 | -0.0029413 / 0.0029413 | -0.00438681 / 0.00438681 | -0.00143278 / 0.00143278 | -0.000177263 / 0.000177263 | 0 / 0 | 0 / 0 | -0.000103878 / 0.000103878 |
 | Effective NP 8 | 0.000952552 / -0.000952552 | 0.000896836 / -0.000896836 | 0.00137584 / -0.00137584 | 0.00135186 / -0.00135186 | 0.000544088 / -0.000544088 | 0.000762347 / -0.000762347 | -0.00120913 / 0.00120913 | -0.000800248 / 0.000800248 | 0.000389238 / -0.000389238 | 0.00142956 / -0.00142956 | -0.000771544 / 0.000771544 | 0.00168116 / -0.00168116 | -0.000179575 / 0.000179575 | -1.0905e-05 / 1.0905e-05 | 0 / 0 | 0 / 0 | 0.00515502 / -0.00515502 |
 | #eta intercalib. (model) | 0.0133108 / -0.0133108 | 0.00949853 / -0.00949853 | 0.0113742 / -0.0113742 | 0.00792655 / -0.00792655 | 0.00763251 / -0.00763251 | 0.0262144 / -0.0262144 | 0.0327712 / -0.0327712 | 0.0141095 / -0.0141095 | 0.0419916 / -0.0419916 | 0.0223444 / -0.0223444 | 0.0102863 / -0.0102863 | 0.0150111 / -0.0150111 | 0.0151885 / -0.0151885 | 0.00496853 / -0.00496853 | 0 / 0 | 0 / 0 | 0.010105 / -0.010105 |
 | #eta intercalib. (stat.) | 0.00727026 / -0.00727026 | 0.00717169 / -0.00717169 | 0.0090075 / -0.0090075 | 0.0047104 / -0.0047104 | 0.00474799 / -0.00474799 | 0.00948367 / -0.00948367 | 0.013136 / -0.013136 | 0.00709732 / -0.00709732 | 0.030294 / -0.030294 | 0.0148309 / -0.0148309 | 0.00848706 / -0.00848706 | 0.00971775 / -0.00971775 | 0.0072216 / -0.0072216 | 0.0028432 / -0.0028432 | 0 / 0 | 0 / 0 | 0.0053618 / -0.0053618 |
 | #eta intercalib. (stat.) | -0.00498574 / 0.00498574 | -0.00302856 / 0.00302856 | -0.00744796 / 0.00744796 | -0.00371008 / 0.00371008 | -0.00226844 / 0.00226844 | -0.00530019 / 0.00530019 | -0.0123612 / 0.0123612 | -0.00649103 / 0.00649103 | -0.0124159 / 0.0124159 | -0.0165552 / 0.0165552 | 0.00155709 / -0.00155709 | -0.00479556 / 0.00479556 | -0.0109658 / 0.0109658 | -0.00465229 / 0.00465229 | 0 / 0 | 0 / 0 | 0.0041791 / -0.0041791 |
 | Flavour composition | 0.0904391 / -0.0904391 | 0.0700896 / -0.0700896 | 0.0723736 / -0.0723736 | 0.0496578 / -0.0496578 | 0.0450253 / -0.0450253 | 0.184712 / -0.184712 | 0.175802 / -0.175802 | 0.126415 / -0.126415 | 0.143799 / -0.143799 | 0.138283 / -0.138283 | 0.157018 / -0.157018 | 0.113902 / -0.113902 | 0.10588 / -0.10588 | 0.00671867 / -0.00671867 | 0 / 0 | 0 / 0 | 0.0919021 / -0.0919021 |
 | Flavor response | -0.0238423 / 0.0238423 | -0.0190214 / 0.0190214 | -0.0212384 / 0.0212384 | -0.0139189 / 0.0139189 | -0.0116399 / 0.0116399 | -0.0471836 / 0.0471836 | -0.0517121 / 0.0517121 | -0.0351501 / 0.0351501 | -0.0531476 / 0.0531476 | -0.0494503 / 0.0494503 | -0.0254186 / 0.0254186 | -0.0314294 / 0.0314294 | -0.0270363 / 0.0270363 | 3.20762e-05 / -3.20762e-05 | 0 / 0 | 0 / 0 | -0.025236 / 0.025236 |
 | Pile-up offset mu term | -0.00169957 / 0.00169957 | -0.00282304 / 0.00282304 | -0.00318872 / 0.00318872 | -0.00250617 / 0.00250617 | -0.00142984 / 0.00142984 | -0.0023017 / 0.0023017 | -0.00357769 / 0.00357769 | 0.00792698 / -0.00792698 | -0.0115207 / 0.0115207 | 0.00112481 / -0.00112481 | 8.20272e-05 / -8.20272e-05 | -0.00179004 / 0.00179004 | -0.00191658 / 0.00191658 | -0.000648916 / 0.000648916 | 0 / 0 | 0 / 0 | -0.000948359 / 0.000948359 |
 | Pile-up offset NPV term | 0.00979714 / -0.00979714 | 0.0068438 / -0.0068438 | 0.0065991 / -0.0065991 | 0.00378457 / -0.00378457 | 0.00619761 / -0.00619761 | 0.0213819 / -0.0213819 | 0.0253327 / -0.0253327 | 0.0209142 / -0.0209142 | -0.000689621 / 0.000689621 | 0.0275928 / -0.0275928 | 0.0256887 / -0.0256887 | 0.0137822 / -0.0137822 | 0.0103262 / -0.0103262 | -0.00131941 / 0.00131941 | 0 / 0 | 0 / 0 | 0.0144143 / -0.0144143 |
 | Pile-up offset p_{T} term | -0.00161011 / 0.00161011 | -0.00204898 / 0.00204898 | -0.000396722 / 0.000396722 | 0.00148822 / -0.00148822 | 0.001327 / -0.001327 | 0.00104199 / -0.00104199 | 0.00484446 / -0.00484446 | -0.00776743 / 0.00776743 | 0.00275157 / -0.00275157 | 0.00854685 / -0.00854685 | 0.00219777 / -0.00219777 | 8.14425e-05 / -8.14425e-05 | 0.0037284 / -0.0037284 | -0.00156261 / 0.00156261 | 0 / 0 | 0 / 0 | 0.000434779 / -0.000434779 |
 | #rho topology | 0.0637245 / -0.0637245 | 0.0484182 / -0.0484182 | 0.0516126 / -0.0516126 | 0.0327827 / -0.0327827 | 0.0324275 / -0.0324275 | 0.11936 / -0.11936 | 0.133837 / -0.133837 | 0.075061 / -0.075061 | 0.0800899 / -0.0800899 | 0.0992194 / -0.0992194 | 0.1002 / -0.1002 | 0.0775317 / -0.0775317 | 0.0641528 / -0.0641528 | 0.00203691 / -0.00203691 | 0 / 0 | 0 / 0 | 0.0738436 / -0.0738436 |
 | Punch-through correction | -2.22684e-05 / 2.22684e-05 | -2.2882e-05 / 2.2882e-05 | -3.8525e-05 / 3.8525e-05 | 1.92985e-05 / -1.92985e-05 | 0.000136525 / -0.000136525 | -8.70383e-05 / 8.70383e-05 | -1.3043e-05 / 1.3043e-05 | 9.89117e-05 / -9.89117e-05 | 0.000169257 / -0.000169257 | 0.000115994 / -0.000115994 | 3.04833e-05 / -3.04833e-05 | -8.9696e-05 / 8.9696e-05 | 5.50894e-06 / -5.50894e-06 | 0.000456505 / -0.000456505 | 0 / 0 | 0 / 0 | 0 / 0 |
 | High-p_{T} term | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 3.72288e-05 / -3.72288e-05 | -3.75723e-07 / 3.75723e-07 | 1.9546e-06 / -1.9546e-06 | 0 / 0 | 0 / 0 | 2.25246e-07 / -2.25246e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JER | 0.0366715 / -0.0366715 | 0.0151524 / -0.0151524 | 0.0134652 / -0.0134652 | 0.0134899 / -0.0134899 | 0.00867195 / -0.00867195 | 0.140795 / -0.140795 | 0.120198 / -0.120198 | 0.0279518 / -0.0279518 | 0.131485 / -0.131485 | 0.0489385 / -0.0489385 | 0.0287429 / -0.0287429 | 0.0398362 / -0.0398362 | 0.0218946 / -0.0218946 | 0.0276177 / -0.0276177 | 0 / 0 | 0 / 0 | 0.0123408 / -0.0123408 |
 | MET TST reso. para. | -0.00102768 / 0.00102768 | 0.000488982 / -0.000488982 | -0.00225172 / 0.00225172 | -0.00111931 / 0.00111931 | 0.000441464 / -0.000441464 | 0.000313881 / -0.000313881 | 0.00112899 / -0.00112899 | -0.000492013 / 0.000492013 | -0.00301033 / 0.00301033 | 0.00487581 / -0.00487581 | -0.00789841 / 0.00789841 | 0.00433138 / -0.00433138 | -0.000676942 / 0.000676942 | -0.00111842 / 0.00111842 | 0 / 0 | 0 / 0 | 0.0013871 / -0.0013871 |
 | MET TST reso. perp. | -0.00188693 / 0.00188693 | 0.000141637 / -0.000141637 | -0.000779768 / 0.000779768 | -0.00138136 / 0.00138136 | 0.00136242 / -0.00136242 | 0.00169907 / -0.00169907 | 0.00103839 / -0.00103839 | 0.00141331 / -0.00141331 | -0.00760646 / 0.00760646 | 0.0104956 / -0.0104956 | -0.0164567 / 0.0164567 | 0.00473491 / -0.00473491 | 0.00490033 / -0.00490033 | 0.00255971 / -0.00255971 | 0 / 0 | 0 / 0 | -0.00593399 / 0.00593399 |
 | MET TST scale | -0.000722018 / 0.000722018 | -0.000307821 / 0.000307821 | -0.00102441 / 0.00102441 | -0.00102325 / 0.00102325 | -0.000153583 / 0.000153583 | -0.00450122 / 0.00450122 | 0.00247779 / -0.00247779 | -0.000720019 / 0.000720019 | -0.00127153 / 0.00127153 | -0.00553532 / 0.00553532 | -0.000597729 / 0.000597729 | -0.000419188 / 0.000419188 | -0.00242414 / 0.00242414 | -0.00169507 / 0.00169507 | 0 / 0 | 0 / 0 | 0.00404911 / -0.00404911 |
 | t#bar{t}+#geq 1 c generator | 0 / 0 | 0.190046 / -0.190046 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 c PS & Had | 0 / 0 | 0.135839 / -0.135839 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 c ISR/FSR | 0 / 0 | 0.0833369 / -0.0833369 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+c#bar{c} norm. | 0 / 0 | 0.5 / -0.5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 b generator | 0 / 0 | 0 / 0 | 0.0445962 / -0.0445962 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 b PS & Had | 0 / 0 | 0 / 0 | -0.0406653 / 0.0406653 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 b ISR/FSR | 0 / 0 | 0 / 0 | 0.0699489 / -0.0699489 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 b 5F vs 4F | 0 / 0 | 0 / 0 | -0.0124321 / 0.0124321 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} scale | 0 / 0 | 0 / 0 | -0.00164294 / 0.00164294 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} CSS KIN | 0 / 0 | 0 / 0 | 0.00467853 / -0.00467853 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} MSTW | 0 / 0 | 0 / 0 | -7.32387e-05 / 7.32387e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} NNPDF | 0 / 0 | 0 / 0 | -0.00150535 / 0.00150535 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} Q CMMPS | 0 / 0 | 0 / 0 | -0.00499921 / 0.00499921 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} glo soft | 0 / 0 | 0 / 0 | -0.00561606 / 0.00561606 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} UE modeling | 0 / 0 | 0 / 0 | -0.00192326 / 0.00192326 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | topEW norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0.15 / -0.15 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttH norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.09 / -0.12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | V+jets norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.3 / -0.3 | 0.3 / -0.3 | 0.3 / -0.3 | 0.3 / -0.3 | 0.3 / -0.3 | 0.3 / -0.3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | V+cjets norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.3 / -0.3 | 0 / 0 | 0 / 0 | 0.3 / -0.3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | V+bjets norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.3 / -0.3 | 0 / 0 | 0 / 0 | 0.3 / -0.3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top tW dia. sub. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.271142 / 0.271142 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top s-chan. rad. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00296074 / -0.00296074 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top t-chan. rad. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0343752 / -0.0343752 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top tW rad. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0558118 / -0.0558118 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single-top norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.05 / -0.04 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Dibosons norm. 6j | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.48 / -0.48 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | SM 4tops norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.3 / -0.3 | 0 / 0 | 0 / 0 | 0 / 0 |
 | QCDE norm. 6j2b | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.5 / -0.5 | 0 / 0 | 0 / 0 |
 | QCDMU norm. 6j2b | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.5 / -0.5 | 0 / 0 |
 | signal generator | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.146566 / -0.146566 |
 | signal PS & Had | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.222459 / -0.222459 |
 | signal ISR/FSR | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.107128 / -0.107128 |
