NUISANCE_PARAMETERS
SigXsecOverSM  0.033694 +0.568937 -0.568937
ttbarlight_PS  0.179023 +0.845509 -0.845509
ttbarlight_generator  -0.20573 +0.823448 -0.823448
ttbarlight_isr  -0.21933 +0.839418 -0.839418
gamma_stat_c1lep4jex2bex_bin_0  1.00013 +0.00303306 -0.00303306
gamma_stat_c1lep4jex3bex_bin_0  1.02157 +0.0232148 -0.0232148
gamma_stat_c1lep4jex3bex_bin_1  0.992059 +0.0229816 -0.0229816
gamma_stat_c1lep4jex3bex_bin_2  0.991127 +0.023058 -0.023058
gamma_stat_c1lep4jex3bex_bin_3  1.02082 +0.0234294 -0.0234294
gamma_stat_c1lep4jex3bex_bin_4  0.985455 +0.0221942 -0.0221942
gamma_stat_c1lep4jex3bex_bin_5  0.985178 +0.021114 -0.021114
gamma_stat_c1lep4jex3bex_bin_6  1.00598 +0.0243634 -0.0243634
gamma_stat_c1lep4jex3bex_bin_7  1.00617 +0.0295898 -0.0295898
gamma_stat_c1lep4jex3bex_bin_8  0.980669 +0.0382417 -0.0382417
gamma_stat_c1lep4jex3bex_bin_9  0.959407 +0.0566618 -0.0566618
gamma_stat_c1lep4jex4bin_bin_0  0.984752 +0.0884788 -0.0884788
gamma_stat_c1lep4jex4bin_bin_1  0.980472 +0.11749 -0.11749
gamma_stat_c1lep5jex2bex_bin_0  0.999892 +0.00416626 -0.00416626
gamma_stat_c1lep5jex3bex_bin_0  0.987308 +0.0207236 -0.0207236
gamma_stat_c1lep5jex3bex_bin_1  1.00862 +0.0208278 -0.0208278
gamma_stat_c1lep5jex3bex_bin_2  1.00106 +0.020825 -0.020825
gamma_stat_c1lep5jex3bex_bin_3  1.00721 +0.0212568 -0.0212568
gamma_stat_c1lep5jex3bex_bin_4  0.984104 +0.0204997 -0.0204997
gamma_stat_c1lep5jex3bex_bin_5  0.990883 +0.0195635 -0.0195635
gamma_stat_c1lep5jex3bex_bin_6  1.0204 +0.0217579 -0.0217579
gamma_stat_c1lep5jex3bex_bin_7  0.989538 +0.0273444 -0.0273444
gamma_stat_c1lep5jex3bex_bin_8  1.05595 +0.0374342 -0.0374342
gamma_stat_c1lep5jex3bex_bin_9  0.988279 +0.0745791 -0.0745791
gamma_stat_c1lep5jex4bin_bin_0  1.01582 +0.0389653 -0.0389653
gamma_stat_c1lep5jex4bin_bin_1  0.964746 +0.0646498 -0.0646498
gamma_stat_c1lep6jin2bex_bin_0  0.999571 +0.00500762 -0.00500762
gamma_stat_c1lep6jin3bex_bin_0  0.989086 +0.0173831 -0.0173831
