NUISANCE_PARAMETERS
SigXsecOverSM  -0.0429933 +0.476988 -0.476988
gamma_stat_c1lep4jex2bex_bin_0  1.00013 +0.00303208 -0.00303208
gamma_stat_c1lep4jex3bex_bin_0  1.0215 +0.023171 -0.023171
gamma_stat_c1lep4jex3bex_bin_1  0.991781 +0.0225798 -0.0225798
gamma_stat_c1lep4jex3bex_bin_2  0.99024 +0.0229246 -0.0229246
gamma_stat_c1lep4jex3bex_bin_3  1.02128 +0.0233543 -0.0233543
gamma_stat_c1lep4jex3bex_bin_4  0.985163 +0.0221381 -0.0221381
gamma_stat_c1lep4jex3bex_bin_5  0.985423 +0.0211378 -0.0211378
gamma_stat_c1lep4jex3bex_bin_6  1.00525 +0.0242706 -0.0242706
gamma_stat_c1lep4jex3bex_bin_7  1.00754 +0.0294519 -0.0294519
gamma_stat_c1lep4jex3bex_bin_8  0.98116 +0.0368205 -0.0368205
gamma_stat_c1lep4jex3bex_bin_9  0.962351 +0.0564662 -0.0564662
gamma_stat_c1lep4jex4bin_bin_0  0.983919 +0.0894804 -0.0894804
gamma_stat_c1lep4jex4bin_bin_1  0.986199 +0.109857 -0.109857
gamma_stat_c1lep5jex2bex_bin_0  0.999882 +0.00416338 -0.00416338
gamma_stat_c1lep5jex3bex_bin_0  0.98781 +0.0206801 -0.0206801
gamma_stat_c1lep5jex3bex_bin_1  1.00786 +0.0207152 -0.0207152
gamma_stat_c1lep5jex3bex_bin_2  1.00077 +0.0208249 -0.0208249
gamma_stat_c1lep5jex3bex_bin_3  1.00723 +0.0213976 -0.0213976
gamma_stat_c1lep5jex3bex_bin_4  0.98437 +0.0205684 -0.0205684
gamma_stat_c1lep5jex3bex_bin_5  0.991328 +0.0197197 -0.0197197
gamma_stat_c1lep5jex3bex_bin_6  1.01942 +0.0216669 -0.0216669
gamma_stat_c1lep5jex3bex_bin_7  0.988764 +0.0271496 -0.0271496
gamma_stat_c1lep5jex3bex_bin_8  1.05534 +0.0373048 -0.0373048
gamma_stat_c1lep5jex3bex_bin_9  0.992046 +0.0743265 -0.0743265
gamma_stat_c1lep5jex4bin_bin_0  1.01549 +0.0384776 -0.0384776
gamma_stat_c1lep5jex4bin_bin_1  0.966357 +0.0644316 -0.0644316
gamma_stat_c1lep6jin2bex_bin_0  0.999573 +0.00500279 -0.00500279
gamma_stat_c1lep6jin3bex_bin_0  0.989231 +0.0173539 -0.0173539
gamma_stat_c1lep6jin3bex_bin_1  1.0071 +0.0184973 -0.0184973
gamma_stat_c1lep6jin3bex_bin_2  1.01482 +0.0195826 -0.0195826
gamma_stat_c1lep6jin3bex_bin_3  0.983818 +0.018673 -0.018673
gamma_stat_c1lep6jin3bex_bin_4  1.01655 +0.0182521 -0.0182521
gamma_stat_c1lep6jin3bex_bin_5  1.0001 +0.0189979 -0.0189979
gamma_stat_c1lep6jin3bex_bin_6  1.01262 +0.0211364 -0.0211364
gamma_stat_c1lep6jin3bex_bin_7  1.00376 +0.0267784 -0.0267784
gamma_stat_c1lep6jin3bex_bin_8  0.990021 +0.0411374 -0.0411374
gamma_stat_c1lep6jin3bex_bin_9  0.933274 +0.0802847 -0.0802847
gamma_stat_c1lep6jin4bin_bin_0  0.996994 +0.0253125 -0.0253125
gamma_stat_c1lep6jin4bin_bin_1  0.971755 +0.0470846 -0.0470846
ttbbNorm  1.17218 +0.153463 -0.153463


CORRELATION_MATRIX
146   146
-0.336666   0.0202661   0.00219725   -0.195203   -0.185349   -0.102197   0.106667   0.0915045   0.0606861   0.0690234   0.0405957   -0.0369479   -0.110106   -0.013468   -0.118277   -0.00476484   -0.392357   -0.269542   0.0254063   0.0562873   0.119288   0.0340139   0.0382662   -0.0293724   0.00937151   0.0983682   0.0145495   -0.166125   0.100873   -0.390429   -0.153212   -0.0588299   0.0429792   0.0431696   -0.0416845   -0.034653   -0.0159688   0.0426446   0.0983949   0.00996272   -0.00628371   -0.170485   -0.476658   -0.0785273   -0.0430451   0.228486   0.0568345   -0.207075   -0.0749914   0.311613   0.0527396   0.20387   0.0010908   0.00101569   0.00660592   0.0418676   0.0828767   -0.0170582   6.91672e-06   -2.87186e-05   -0.00198261   1.32727e-05   0.0118357   -0.00209054   0.00463204   -0.0183581   -0.0260722   0.00179356   0.185999   0.607212   1.72966e-07   0.0367678   -0.0289343   -0.038352   0.000958047   -0.0668132   -0.0678986   0.00543401   0.0214213   0.017765   0.00436435   0.0273052   -0.000535647   -0.0148257   0.000431597   -0.00542127   -0.00164229   -0.000697288   0.000343619   -0.0138782   -0.0131525   -1.75423e-07   0.0326449   0.0243096   -0.0266684   -0.126928   0.017328   0.0101085   -0.121562   -0.0705837   -0.0192007   -0.12723   0.142526   0.00355997   -0.165465   0.0951632   -0.0150791   1.53864e-05   -0.00049276   -5.60805e-06   0.00142673   1.32573e-05   1.91056e-05   0.000420119   0.00166774   0.00260879   0.011378   0.0643217   -0.0111   1.66085e-05   0.216036   0.0137946   0.0700002   0.0205461   0.128077   -0.143594   0.330367   0.000623457   -6.99313e-05   0.0476216   1.64267e-06   -0.00270119   0.00109819   0.00516171   -0.0048941   -0.0066237   0.0739586   -8.07295e-06   8.61672e-06   1.26999e-05   -0.00279209   0.000327676   -0.00161468   -0.0278551   -0.0140932   1   
-0.00306262   -0.00998902   -0.00701679   -0.00592239   -0.00223942   0.0102508   0.000843963   0.00940933   0.0090475   0.0157549   0.0119006   0.0165918   -0.0267712   -0.00231815   -0.00876867   0.00732086   0.00392077   0.00486184   -0.00612093   -0.00144732   -0.00063948   -0.00416632   0.000709944   0.00863996   0.0161694   -0.0224784   -0.000911699   -0.00607056   -0.00116286   0.00455597   0.000638396   -0.00267047   -0.00742217   -0.00309567   -0.00207462   -0.0062138   -0.00299457   -0.000736827   0.0143147   0.00170643   0.00265333   0.00395248   0.0223418   -0.00167724   -0.00119425   -0.0442597   -0.00523284   -0.0070413   0.00717458   0.00254395   0.00215067   0.00258422   0.000737455   0.000244197   0.000476608   -0.000756706   -0.0011901   0.000533571   2.33564e-06   -9.87232e-07   1.3534e-05   1.61133e-06   -0.00611605   0.000186354   -8.23518e-05   0.00764111   -0.0034778   -1.22086e-05   -0.025172   -0.0245536   6.47397e-08   0.000160979   0.0147582   -0.000722526   -5.3016e-05   0.00266257   0.00291671   0.00347322   0.00600509   0.00426061   -0.00329816   0.00455568   -0.00130409   -0.00135735   -1.40343e-05   -0.000486603   0.00522853   -0.000469389   -0.0011076   0.00515024   -0.00224149   -1.63254e-08   0.000224956   -0.00150754   -0.00157323   -0.00544636   0.00271524   -0.00657348   0.0136247   -0.0118767   -0.00142462   -0.00092055   -0.00885064   -0.00253823   -0.000971283   0.0156295   0.0044718   2.09604e-06   1.09165e-05   4.7468e-07   -9.42804e-05   2.06532e-06   2.11009e-06   3.71754e-05   -0.000112522   -5.27065e-05   0.00244925   0.00166735   0.000738093   -5.48756e-07   0.0020162   -0.000491709   0.00453901   0.00183497   -0.0162514   -0.00421721   0.0102921   0.00391655   0.000438526   0.00239712   -3.77205e-08   3.84634e-05   -1.65922e-05   0.000483321   -0.000487831   -0.00134263   -0.000623315   1.71546e-07   -1.18902e-06   1.88148e-06   -7.95932e-05   -0.000135018   0.000283194   -2.83299e-05   1   -0.0140932   
